unit_id,doc_id,actor,sentence_id,start,end,text,text_hl,before,after
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::1::overheidsinstanties,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,overheidsinstanties,1,1,11,’’Tofik Dibi ging niet in de fout’.,’**’Tofik Dibi** ging niet in de fout’.,NA,Dibi is dankbaar voor de ruimte die hij krijgt van de gemeente.
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::34::overheidsinstanties,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,overheidsinstanties,2,34,38,Dibi is dankbaar voor de ruimte die hij krijgt van de gemeente.,**Dibi** is dankbaar voor de ruimte die hij krijgt van de gemeente.,’Tofik Dibi ging niet in de fout’.  .,Foto ANP/hh.
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::88::overheidsinstanties,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,overheidsinstanties,2,88,96,Dibi is dankbaar voor de ruimte die hij krijgt van de  gemeente.,Dibi is dankbaar voor de ruimte die hij krijgt van de  **gemeente**.,’Tofik Dibi ging niet in de fout’.,Foto ANP/hh.
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::103::media,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,media,3,103,109,Foto  ANP/hh.,Foto  **ANP/hh**.,Dibi is dankbaar voor de ruimte die hij krijgt van de gemeente.,Verbazing om uitleg van de wethouder.
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::137::overheidsinstanties,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,overheidsinstanties,4,137,146,Verbazing om uitleg van de  wethouder.,Verbazing om uitleg van de  **wethouder**.,Foto ANP/hh.,AMSTERDAM Tofik Dibi ging niet over de schreef met berichten over de oorlog tussen Israël en Hamas.
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::157::overheidsinstanties,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,overheidsinstanties,5,157,167,AMSTERDAM  Tofik Dibi ging niet over de schreef met berichten over de oorlog tussen Israël en Hamas.,AMSTERDAM  **Tofik Dibi** ging niet over de schreef met berichten over de oorlog tussen Israël en Hamas.,Verbazing om uitleg van de wethouder.,Dat vindt wethouder Hester van Buren (Personeel en Organisatie).
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::230::landen,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,landen,5,230,236,AMSTERDAM Tofik Dibi ging niet over de schreef met berichten over de oorlog tussen  Israël en Hamas.,AMSTERDAM Tofik Dibi ging niet over de schreef met berichten over de oorlog tussen  **Israël** en Hamas.,Verbazing om uitleg van de wethouder.,Dat vindt wethouder Hester van Buren (Personeel en Organisatie).
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::240::activisten,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,activisten,5,240,245,AMSTERDAM Tofik Dibi ging niet over de schreef met berichten over de oorlog tussen Israël en  Hamas.,AMSTERDAM Tofik Dibi ging niet over de schreef met berichten over de oorlog tussen Israël en  **Hamas**.,Verbazing om uitleg van de wethouder.,Dat vindt wethouder Hester van Buren (Personeel en Organisatie).
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::257::overheidsinstanties,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,overheidsinstanties,6,257,309,Dat vindt  wethouder Hester van Buren (Personeel en Organisatie).,Dat vindt  **wethouder Hester van Buren (Personeel en Organisatie**).,AMSTERDAM Tofik Dibi ging niet over de schreef met berichten over de oorlog tussen Israël en Hamas.,"De voormalige GL-politicus is bestuursadviseur in stadsdeel Nieuw-West, maar laat regelmatig zijn mening horen op X."
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::312::politiek,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,politiek,7,312,338,"De voormalige GL-politicus is bestuursadviseur in stadsdeel Nieuw-West, maar laat regelmatig zijn mening horen op X.","**De voormalige GL-politicus** is bestuursadviseur in stadsdeel Nieuw-West, maar laat regelmatig zijn mening horen op X.",Dat vindt wethouder Hester van Buren (Personeel en Organisatie).  .,"Tijdens de terreuraanval van Hamas, vroeg hij zich af waar de verontwaardiging was over het lot van de Palestijnen."
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::342::overheidsinstanties,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,overheidsinstanties,7,342,358,"De voormalige GL-politicus is  bestuursadviseur in stadsdeel Nieuw-West, maar laat regelmatig zijn mening horen op X.","De voormalige GL-politicus is  **bestuursadviseur** in stadsdeel Nieuw-West, maar laat regelmatig zijn mening horen op X.",Dat vindt wethouder Hester van Buren (Personeel en Organisatie).,"Tijdens de terreuraanval van Hamas, vroeg hij zich af waar de verontwaardiging was over het lot van de Palestijnen."
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::458::activisten,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,activisten,8,458,463,"Tijdens de terreuraanval van  Hamas, vroeg hij zich af waar de verontwaardiging was over het lot van de Palestijnen.","Tijdens de terreuraanval van  **Hamas**, vroeg hij zich af waar de verontwaardiging was over het lot van de Palestijnen.","De voormalige GL-politicus is bestuursadviseur in stadsdeel Nieuw-West, maar laat regelmatig zijn mening horen op X.","„Als wij bezet waren zoals de Palestijnen zijn, hadden we állang de wapens opgepakt.”."
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::532::burgers,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,burgers,8,532,543,"Tijdens de terreuraanval van Hamas, vroeg hij zich af waar de verontwaardiging was over het lot van de  Palestijnen.","Tijdens de terreuraanval van Hamas, vroeg hij zich af waar de verontwaardiging was over het lot van de  **Palestijnen**.","De voormalige GL-politicus is bestuursadviseur in stadsdeel Nieuw-West, maar laat regelmatig zijn mening horen op X.","„Als wij bezet waren zoals de Palestijnen zijn, hadden we állang de wapens opgepakt.”."
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::575::burgers,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,burgers,9,575,586,"„Als wij bezet waren zoals de  Palestijnen zijn, hadden we állang de wapens opgepakt.”.","„Als wij bezet waren zoals de  **Palestijnen** zijn, hadden we állang de wapens opgepakt.”.","Tijdens de terreuraanval van Hamas, vroeg hij zich af waar de verontwaardiging was over het lot van de Palestijnen.",JA21-fractievoorzitter Annabel Nanninga noemde ook een bericht waarin Dibi een vals alarm ’een denkbeeldige aanval’ noemde.
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::631::politiek,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,politiek,10,631,670,JA21-fractievoorzitter Annabel Nanninga noemde ook een bericht waarin Dibi een vals alarm ’een denkbeeldige aanval’ noemde.,**JA21-fractievoorzitter Annabel Nanninga** noemde ook een bericht waarin Dibi een vals alarm ’een denkbeeldige aanval’ noemde.,"„Als wij bezet waren zoals de Palestijnen zijn, hadden we állang de wapens opgepakt.”.  .",Ze wilde donderdag van Van Buren weten of deze berichten binnen de gedragscode voor Amsterdamse ambtenaren vielen.
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::701::overheidsinstanties,00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb,overheidsinstanties,10,701,705,JA21-fractievoorzitter Annabel Nanninga noemde ook een bericht waarin  Dibi een vals alarm ’een denkbeeldige aanval’ noemde.,JA21-fractievoorzitter Annabel Nanninga noemde ook een bericht waarin  **Dibi** een vals alarm ’een denkbeeldige aanval’ noemde.,"„Als wij bezet waren zoals de Palestijnen zijn, hadden we állang de wapens opgepakt.”.",Ze wilde donderdag van Van Buren weten of deze berichten binnen de gedragscode voor Amsterdamse ambtenaren vielen.
