unit_id,job_id,coder,status,issue position,conflict,succes en falen
0037af0b6933d719184e931b9f884668fadb7ded81fe974473b99bf2-1-NSC,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Ja,Nee
003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-5-PVV,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Ja,Nee
005bf7dfc86bcee9a49e5555d17a0f943b5f8503bd61bb2b9da5f69b-4-Volt,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Nee,Nee
00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c-18-VVD,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Ja,Nee
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-6-Overig,235,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
01018e0a4795c152ff96f5f2b443baf30454b1d33076f705427a5945-12-NSC,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Nee,Nee
010c9b27e637fc68b6610e8e15e8bfd1c06afec2191d5947f2970242-75-GL/PvdA,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Ja,Nee
01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-12-SGP,235,nelruigrok@nieuwsmonitor.org,DONE,Nee,Nee,Nee
0167781f4117126b1943d21d140bc8d8f9df10f3ce7a25d9e46e4789-35-NSC,236,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
0186160442b8df6c34b464ae2525c2af277cc62b203beae4f9c7dfcd-11-GL/PvdA,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Nee,Nee
019bffa6326e23215fb5fe8487bb9e9330a00250d56656bc767f35f3-94-D66,236,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-6-NSC,236,nelruigrok@nieuwsmonitor.org,DONE,Ja,Ja,Nee
0242ca47c4d775fa9a94e08e1223bf2582d86547cff881a12a7f1f4d-5-NSC,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Ja,Nee
02495f7ca1df5eba6c0c60d30602a7a178f60e301e5d5bf22a85f1e2-7-D66,236,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
024faf24ec45326dd32c54a2d008b42f49d79076aabdc015f9601596-11-BBB,237,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
0251b26b2448de17ef164c9d2f5af0180afd1d0167bd490856958863-4-PvdD,237,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
02b021e57432a57bbb5262a0aa2c880e078b1e9509d7c1e0e5e6c862-12-VVD,237,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
02c29e25d0564781709d11ee81c2b5d8d61f2db5e4c60394821bb50c-2-GL/PvdA,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Nee,Nee
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-4-BBB,235,nelruigrok@nieuwsmonitor.org,DONE,Nee,Nee,Nee
0300961b7916f766324ba23d9dd53541e14198e30d3973925a1db733-4-NSC,237,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
030cd8a455a170b9fdbe8c869a3676a111345fb22d1446d6a3a1ffe2-2-PVV,237,nelruigrok@nieuwsmonitor.org,DONE,Ja,Ja,Nee
033a19065ff61e3bf6701807811a088d9c1b914c2c7e5e108ed7cefc-21-GL/PvdA,236,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
033c4cd8fccc2bd59fabd340010e5bfbb02ed7ed36f31a1e1c310d47-25-NSC,236,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
0369b0264d8e10037efc358acf7851cb908626fd3a479fb1c3a3da47-3-NSC,237,nelruigrok@nieuwsmonitor.org,DONE,Nee,Ja,Nee
036e9a7d0720f4a36e03b1ca870a0f37a4c850b911918a0b48609394-6-VVD,235,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Ja
0390456559016570aa62e99ccfa7b5efc3e9815376fab0ae77578efd-5-JA21,236,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
0393898b66b7c3891c8cc545fd3356143dff0951cc15f88e7a89210d-1-FvD,235,nelruigrok@nieuwsmonitor.org,DONE,Nee,Nee,Nee
0399b3fa5fa3570e75eea91cb2944664b5aa8427c01b49aae62ce0e3-30-VVD,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Ja,Nee
03b37a317c90f5ff8ff7767db8fe86b19f06cee92f4eb407abaae7a4-3-VVD,236,nelruigrok@nieuwsmonitor.org,DONE,Nee,Nee,Nee
03c0b55387b7fd164e0b58f4e1716c337035729177208b3556eac26c-22-Overig,235,nelruigrok@nieuwsmonitor.org,DONE,Nee,Ja,Nee
0464b3a630e95ef14a2197297657658bb44f6cad2edb944254cea020-1-GL/PvdA,235,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-21-GL/PvdA,237,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
05b59579e2b214b3906ef4c2c80ddd1e6673d357fcc1e4e642abece0-5-VVD,236,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
060e945725420b49d2658119868dcb2c5775ba58ae529d9027c23468-4-CU,236,nelruigrok@nieuwsmonitor.org,DONE,Ja,Nee,Nee
