,Index,unit_id,actor,topic,n,stance,agreement,text,before,after,prediction,uitleg
0,8491,aadf18884601c4e96a696fea983f85df28db89386f13a3a05d42034e-147-BBB,BBB,Agriculture,4,N,0.5,De BBB-leider zei op de radio verder dat in de discussie over de natuur 'stikstof' niet het grootste probleem is en dat daar niet de focus op moet liggen:,Ze herhaalde dat ze Omtzigt een goede politicus vindt.,"""Wij zijn geen partij die natuur wil vernietigen.",R,In deze zin stelt de BBB-leider dat stikstof niet het grootste probleem is in de discussie over natuur en dat daar niet de focus op moet liggen. Dit bagatelliseren van het stikstofvraagstuk en gebrek aan expliciete steun voor strengere milieumaatregelen wijst niet op een pleidooi voor meer duurzame landbouw. In plaats daarvan past deze houding beter bij het behoud van de traditionele landbouw en het beschermen van agrarische belangen tegen strengere duurzaamheidsmaatregelen.
1,997,123f7cf3c95dda6b3ec3da0f57a0bf2f632d864f1d2f00e2cc542613-55-CU,CU,Agriculture,2,R,1.0,"In het Europees Parlement onthield de CU zich van stemming over de Natuurherstelwet, die lidstaten verplicht in slechte staat verkerende natuurgebieden te herstellen.","Dat door de CU ""het roer om is"" blijkt niet altijd uit het stemgedrag van de partij, blijkt uit onderzoek van Nieuwsuur.",De partij vond dat er te weinig rekening werd gehouden met boeren en vissers.,R,"De CU heeft zich onthouden van stemming over de Natuurherstelwet omdat er volgens de partij te weinig rekening werd gehouden met boeren en vissers. Dit wijst erop dat de CU oog heeft voor de belangen van traditionele landbouw en landelijke gemeenschappen, en terughoudend is met (strengere) duurzame landbouwmaatregelen die nadelig kunnen zijn voor boeren. Het standpunt past dus duidelijk bij de dimensie Traditionele Landbouw & landelijke gemeenschappen."
2,3155,3a920fffe0877bf35ff7cb93b74a7740f8e4f3ccb169e0138300008e-29-D66,D66,Agriculture,2,L,1.0,Jetten herinnerde Timmermans er direct aan dat juist de GroenLinks-PvdA-leider de doelstelling van halvering van de uitstoot in 2030 deze campagne al heeft losgelaten.,Bij EenVandaag reageerde D66-leider Rob Jetten fel op zijn concurrent Timmermans toen deze hem verweet in Rutte IV het stikstofprobleem niet te hebben opgelost.,"„We gaan het klimaat niet redden als progressieve politici geen ruggengraat tonen”, beet Jetten hem toe.",L,"In deze passage spreekt D66-leider Rob Jetten zich uit over het belang van het realiseren van klimaat- en stikstofdoelstellingen. Hij geeft aan dat het laten vallen van strenge doelen (zoals halvering van de uitstoot in 2030) onacceptabel is en dat progressieve politici ruggengraat moeten tonen. Hieruit blijkt dat D66 zich inzet voor het terugdringen van (stikstof)uitstoot en klimaatbeleid, wat aansluit bij de categorie 'Duurzame landbouw'. Het standpunt is niet gericht op bescherming van traditionele landbouw of landelijke gemeenschappen, maar juist op het verduurzamen van de landbouw."
3,2993,3876e9db368ec58281412faf4eed9ca4d9206dcb38bf8a1214f86006-71-NSC,NSC,Agriculture,5,L,0.8,"Zo is NSC voor een krimp van de intensieve varkenshouderij, en wil de partij toe naar grondgebonden melkveehouderij.","""Ik zie ook dingen in de programma's staan waarvan ik denk: tja, ik weet 't niet helemaal"", zegt ze bij NU.nl .","Dat baart boeren zorgen, stelt Van der Plas.",L,"NSC wil een krimp van de intensieve varkenshouderij en wil toe naar grondgebonden melkveehouderij. Beide standpunten wijzen op een koers naar meer duurzame landbouw, omdat intensieve varkenshouderij geldt als minder duurzaam en grondgebonden melkveehouderij als milieuvriendelijker wordt gezien. Dit past duidelijk binnen de dimensie van duurzame landbouw."
4,3631,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-44-BBB,BBB,Agriculture,5,R,0.6,"""We hebben het al jaren over betere verdienmodellen voor boeren maar we zitten in de realiteit van handelsverdragen met landen waar heel andere productieregels gelden"", zegt Van der Plas.",De BBB wil de oneerlijke handelsverdragen aanpakken.,Ze wijst erop dat legbatterij-eieren uit Oekraïne die hier niet mogen wel gewoon in onze sauzen en koekjes zitten.,R,"BBB uit hier kritiek op internationale handelsverdragen die volgens haar nadelig zijn voor Nederlandse boeren. De partij legt de nadruk op het beschermen van het verdienmodel van boeren en wijst op oneerlijke concurrentie uit landen met lagere productiestandaarden. Dit argument en deze zorg zijn kenmerkend voor een positie die de traditionele landbouwsector en het platteland wil beschermen tegenover internationale druk en regels. Er is geen nadruk op verduurzaming, maar vooral op bescherming van de bestaande landbouw en het platteland."
5,3293,3dd4a7fd522ec4e43b03e46a6325a3dc231cacfe0de36ce96feef46a-159-PvdD,PvdD,Agriculture,2,L,1.0,De Partij voor de Dieren wil binnen twee jaar een reductie van de veestapel van 75 procent.,"Ze wilde geen percentage noemen, maar ze benadrukte: ""De enige economie die aanvaardbaar is, is een economie die past bij de draagkracht van de aarde en waarin we recht doen aan alle sociale rechten die we willen veilig stellen.""",Volgens Ouwehand is dat nodig om te zorgen voor gezond en betaalbaar voedsel voor iedereen.,L,"In deze zinnen lijkt het standpunt van de Partij voor de Dieren (PvdD) duidelijk uitgedrukt. De PvdD pleit voor een economie die past binnen de draagkracht van de aarde, wat meestal verwijst naar duurzaamheid, en het veiligstellen van sociale rechten. Daarnaast willen ze binnen twee jaar een reductie van de veestapel van 75 procent, wat een flinke vermindering van de intensieve landbouw inhoudt en doorgaans als een groene, duurzame maatregel wordt gezien. Hoewel er ook gesproken wordt over gezond en betaalbaar voedsel, is het pleidooi voor fors minder vee duidelijk een verzet tegen traditionele landbouw (die vaak gericht is op hoge productie). Dit standpunt valt volledig binnen de 'Duurzame landbouw'-categorie."
6,8893,b108eadf74c637825e81896681bfae2224dca55e0328a9688cd44740-3-Overig,Overig,Agriculture,2,N,1.0,"Hoewel de partijleider in debatten aangeeft dat hij de stikstofdoelen niet wil vastleggen op een jaartal, zegt Kamerlid en landbouwwoordvoerder Laura Bromet juist dat halvering van de stikstofuitstoot in 2030 wat haar betreft wél overeind staat.",Den Haag De stikstofkoers die PvdA/GL’er Frans Timmermans voert blijkt in de eigen gelederen niet te worden gepruimd.,De vorige coalitie wilde de stikstofuitstoot versneld halveren.,L,"De geciteerde tekst gaat over het vasthouden aan het beleid om de stikstofuitstoot te halveren in 2030, zoals verwoord door Kamerlid en landbouwwoordvoerder Laura Bromet. Het terugdringen van stikstofuitstoot en het stellen van concrete reductiedoelstellingen zijn duidelijk kenmerkend voor het stimuleren van meer duurzame landbouwpraktijken. Dit is in lijn met het standpunt 'L', dat gericht is op verduurzaming van de landbouwsector."
7,5666,6881c4c4e4464dd3c00aa91e9bbff2ba61409f146803de7835440f16-6-D66,D66,Agriculture,2,N,1.0,"In Leiden oogsten partijen als GroenLinks-PvdA, Volt en D66 applaus, in Dronten kan alleen BBB-partijleider Caroline van der Plas op bijval rekenen.",Ga vervolgens naar een verkiezingsdebat voor jonge boeren in Dronten en hoor hoe diezelfde klimaatambities hun grote zorgen baren.,"„Zij geeft je het gevoel dat je gezien wordt”, zegt een jonge vrouw in het publiek.",L,"De geciteerde zin beschrijft een contrast tussen de steun die D66 (samen met GroenLinks-PvdA en Volt) krijgt in Leiden voor hun klimaatambities, en de scepsis tegenover diezelfde ambities onder jonge boeren in Dronten, waar vooral BBB steun krijgt. De implicatie is dat D66 in het debat staat voor meer duurzame landbouw met ambitieuze klimaatdoelen. Het feit dat D66 aplaus krijgt in Leiden in het kader van een debat over klimaatambities wijst verder op een duidelijke oriëntatie richting duurzame landbouw (dus L in dit schema), zelfs al is het perspectief in Dronten meer kritisch. De zin duidt D66 daarom aan als een voorstander van duurzamere landbouw, in tegenstelling tot traditionele landbouw."
8,4329,4c9c5c55356f46153c0eb2d22ad19580c5eb1d38facd23468107f4b8-40-D66,D66,Agriculture,4,L,0.75,"Jetten zei ’een beetje teleurgesteld’ te zijn in de linkse leider, die volgens hem tijdens de campagne ’de stikstofdoelen al heeft weggegeven’.",Rob Jetten (D66) zocht op zijn beurt de confrontatie met Frans Timmermans (PvdA/GL) over het klimaatbeleid.,Dat leidde weer tot teleurstelling bij Timmermans:,L,"In deze passage bekritiseert Rob Jetten (D66) Frans Timmermans omdat hij volgens Jetten 'de stikstofdoelen heeft weggegeven' tijdens de campagne. Dit duidt erop dat Jetten hecht aan ambitieuze stikstofdoelen, wat doorgaans samengaat met het verkleinen van de landbouwsector en verduurzaming van de landbouw om de stikstofuitstoot te verminderen. Dit past duidelijk binnen de dimensie van Duurzame landbouw (L) en niet bij Traditionele Landbouw & landelijke gemeenschappen."
9,2517,2e659116555e7c04739ffe8c27c3bb569555a7e3a9545311b15036e1-29-CDA,CDA,Agriculture,2,N,1.0,Eerste Kamerlid Theo Rietkerk uit Kampen kent hem goed uit hun gezamenlijke CDA-verleden.,"Daarmee dwong hij respect af in de landbouwsector, die hem herinnert als een 'agrarisch icoon'.","""Hij had niet alleen veel kennis, maar was bovenal heel vriendelijk"", zegt Rietkerk.",R,"De tekst spreekt over respect en waardering binnen de landbouwsector en noemt het CDA-lid een 'agrarisch icoon'. Er wordt direct gerefereerd aan de sterke band met de landbouwsector en aan het belang van landbouwtraditie binnen het CDA. Er is geen enkele verwijzing naar duurzame landbouw, het terugdringen van stikstof, of andere verduurzamingsmaatregelen. De nadruk ligt op het in ere houden van de landbouwsector; dit past duidelijk bij de dimensie 'Traditionele Landbouw & landelijke gemeenschappen'."
