,Index,unit_id,actor,topic,n,stance,agreement,text,before,after,prediction,uitleg
0,8491,aadf18884601c4e96a696fea983f85df28db89386f13a3a05d42034e-147-BBB,BBB,Agriculture,4,N,0.5,De BBB-leider zei op de radio verder dat in de discussie over de natuur 'stikstof' niet het grootste probleem is en dat daar niet de focus op moet liggen:,Ze herhaalde dat ze Omtzigt een goede politicus vindt.,"""Wij zijn geen partij die natuur wil vernietigen.",R,"De BBB-leider geeft aan dat stikstof niet het grootste probleem is en dat daar niet de nadruk op moet liggen. Dit laat zien dat BBB minder waarde hecht aan het terugdringen van stikstofuitstoot, wat meer past bij het ondersteunen van de traditionele landbouw en het beschermen van bestaande landbouwpraktijken. Zij positioneren zich hiermee tegen het primaire duurzame landbouwbeleid. Daarom codeer ik dit als Traditionele Landbouw & landelijke gemeenschappen."
1,997,123f7cf3c95dda6b3ec3da0f57a0bf2f632d864f1d2f00e2cc542613-55-CU,CU,Agriculture,2,R,1.0,"In het Europees Parlement onthield de CU zich van stemming over de Natuurherstelwet, die lidstaten verplicht in slechte staat verkerende natuurgebieden te herstellen.","Dat door de CU ""het roer om is"" blijkt niet altijd uit het stemgedrag van de partij, blijkt uit onderzoek van Nieuwsuur.",De partij vond dat er te weinig rekening werd gehouden met boeren en vissers.,R,De CU onthield zich van stemming over de Natuurherstelwet omdat zij vond dat er te weinig rekening werd gehouden met boeren en vissers. Dit geeft aan dat de partij het belangen van de landbouwgemeenschap zwaarder laat wegen dan strikte natuurbescherming. Daarmee laat CU een voorkeur zien voor het beschermen van de traditionele landbouwsector en het platteland.
2,3155,3a920fffe0877bf35ff7cb93b74a7740f8e4f3ccb169e0138300008e-29-D66,D66,Agriculture,2,L,1.0,Jetten herinnerde Timmermans er direct aan dat juist de GroenLinks-PvdA-leider de doelstelling van halvering van de uitstoot in 2030 deze campagne al heeft losgelaten.,Bij EenVandaag reageerde D66-leider Rob Jetten fel op zijn concurrent Timmermans toen deze hem verweet in Rutte IV het stikstofprobleem niet te hebben opgelost.,"„We gaan het klimaat niet redden als progressieve politici geen ruggengraat tonen”, beet Jetten hem toe.",L,"D66-leider Jetten verdedigt het belang van ambitieuze doelen voor het terugdringen van de stikstofuitstoot en koppelt dit aan het klimaatbeleid. Hij verwijt een andere partijleider het loslaten van deze doelen en beklemtoont het belang van progressieve en duurzame keuzes. Dit wijst duidelijk op een voorkeur voor duurzame landbouw, met het terugdringen van vervuiling als speerpunt."
3,2993,3876e9db368ec58281412faf4eed9ca4d9206dcb38bf8a1214f86006-71-NSC,NSC,Agriculture,5,L,0.8,"Zo is NSC voor een krimp van de intensieve varkenshouderij, en wil de partij toe naar grondgebonden melkveehouderij.","""Ik zie ook dingen in de programma's staan waarvan ik denk: tja, ik weet 't niet helemaal"", zegt ze bij NU.nl .","Dat baart boeren zorgen, stelt Van der Plas.",L,NSC is voor een krimp van de intensieve varkenshouderij en wil toe naar grondgebonden melkveehouderij. Dit zijn typisch standpunten die passen bij het bevorderen van meer duurzame landbouw: minder intensieve veehouderij en aandacht voor milieuvriendelijkere landbouwsystemen. Daarom valt NSC hier onder de categorie 'Duurzame landbouw'.
4,3631,41c2f4aca7e48728c6c61a333d5f0f633ae95c849b0e3d04efc0bbdc-44-BBB,BBB,Agriculture,5,R,0.6,"""We hebben het al jaren over betere verdienmodellen voor boeren maar we zitten in de realiteit van handelsverdragen met landen waar heel andere productieregels gelden"", zegt Van der Plas.",De BBB wil de oneerlijke handelsverdragen aanpakken.,Ze wijst erop dat legbatterij-eieren uit Oekraïne die hier niet mogen wel gewoon in onze sauzen en koekjes zitten.,R,"BBB bekritiseert dat buitenlandse producten zijn toegestaan die niet aan dezelfde milieu- of dierenwelzijnseisen voldoen als producten van Nederlandse boeren. Dit standpunt is bedoeld om de positie van Nederlandse boeren te beschermen en sympathiseert met het in stand houden van de landbouwsector en de belangen van het platteland, niet primair vanuit duurzaamheidsoverwegingen."
5,3293,3dd4a7fd522ec4e43b03e46a6325a3dc231cacfe0de36ce96feef46a-159-PvdD,PvdD,Agriculture,2,L,1.0,De Partij voor de Dieren wil binnen twee jaar een reductie van de veestapel van 75 procent.,"Ze wilde geen percentage noemen, maar ze benadrukte: ""De enige economie die aanvaardbaar is, is een economie die past bij de draagkracht van de aarde en waarin we recht doen aan alle sociale rechten die we willen veilig stellen.""",Volgens Ouwehand is dat nodig om te zorgen voor gezond en betaalbaar voedsel voor iedereen.,L,"De PvdD benadrukt het belang van een economie die binnen ecologische grenzen blijft en wil binnen twee jaar een flinke reductie van de veestapel. Dit geeft duidelijk aan dat de partij voorstander is van duurzame landbouw, het terugdringen van de intensieve veehouderij en meer aandacht voor het milieu. Dit past geheel binnen de dimensie duurzame landbouw."
6,8893,b108eadf74c637825e81896681bfae2224dca55e0328a9688cd44740-3-Overig,Overig,Agriculture,2,N,1.0,"Hoewel de partijleider in debatten aangeeft dat hij de stikstofdoelen niet wil vastleggen op een jaartal, zegt Kamerlid en landbouwwoordvoerder Laura Bromet juist dat halvering van de stikstofuitstoot in 2030 wat haar betreft wél overeind staat.",Den Haag De stikstofkoers die PvdA/GL’er Frans Timmermans voert blijkt in de eigen gelederen niet te worden gepruimd.,De vorige coalitie wilde de stikstofuitstoot versneld halveren.,L,"Het standpunt in deze zin, verwoord door Laura Bromet (PvdA/GL), is dat het halveren van de stikstofuitstoot in 2030 overeind moet blijven. Dit sluit aan bij de duurzame landbouw-benadering, waarin het terugdringen van stikstofuitstoot en het invoeren van strengere milieumaatregelen centraal staan."
7,5666,6881c4c4e4464dd3c00aa91e9bbff2ba61409f146803de7835440f16-6-D66,D66,Agriculture,2,N,1.0,"In Leiden oogsten partijen als GroenLinks-PvdA, Volt en D66 applaus, in Dronten kan alleen BBB-partijleider Caroline van der Plas op bijval rekenen.",Ga vervolgens naar een verkiezingsdebat voor jonge boeren in Dronten en hoor hoe diezelfde klimaatambities hun grote zorgen baren.,"„Zij geeft je het gevoel dat je gezien wordt”, zegt een jonge vrouw in het publiek.",L,"In deze zin wordt beschreven dat D66 in Leiden applaus oogst voor klimaatambities, wat impliceert dat D66 wordt geassocieerd met ambitieuze klimaatmaatregelen. Deze klimaatambities worden door jonge boeren juist als een zorg ervaren, wat suggereert dat D66 de nadruk legt op duurzame landbouw en het terugdringen van milieubelasting, in lijn met de linkse dimensie."
8,4329,4c9c5c55356f46153c0eb2d22ad19580c5eb1d38facd23468107f4b8-40-D66,D66,Agriculture,4,L,0.75,"Jetten zei ’een beetje teleurgesteld’ te zijn in de linkse leider, die volgens hem tijdens de campagne ’de stikstofdoelen al heeft weggegeven’.",Rob Jetten (D66) zocht op zijn beurt de confrontatie met Frans Timmermans (PvdA/GL) over het klimaatbeleid.,Dat leidde weer tot teleurstelling bij Timmermans:,L,"Jetten verwijt Timmermans dat hij de stikstofdoelen heeft losgelaten. Dit geeft aan dat D66 vasthoudt aan het terugdringen van stikstofuitstoot, wat past bij de lijn van duurzame landbouw in de dimensies hierboven."
9,2517,2e659116555e7c04739ffe8c27c3bb569555a7e3a9545311b15036e1-29-CDA,CDA,Agriculture,2,N,1.0,Eerste Kamerlid Theo Rietkerk uit Kampen kent hem goed uit hun gezamenlijke CDA-verleden.,"Daarmee dwong hij respect af in de landbouwsector, die hem herinnert als een 'agrarisch icoon'.","""Hij had niet alleen veel kennis, maar was bovenal heel vriendelijk"", zegt Rietkerk.",N,"Deze zin gaat vooral over het karakter en de reputatie van een oud-CDA'er binnen de landbouwsector, maar zegt niets concreets over het standpunt van het CDA over landbouw of platteland. Er worden geen beleidsvoorkeuren of richting genoemd."
