,unit_id,topic,text,jobids,majority,agreement,NK,NPR,AM,KN,SH,NR,JE,WA,GPT
0,0037af0b6933d719184e931b9f884668fadb7ded81fe974473b99bf2-23-NSC,Economic,"Dat moet niet kunnen.Daarom heb ik gesolliciteerd bij **NSC**.""Ook bestaanszekerheid is voor Kahraman een belangrijk thema.","634,634",N,1.0,N,N,,,,,,,
1,0037af0b6933d719184e931b9f884668fadb7ded81fe974473b99bf2-7-NSC,Economic,"Veel werken, lange dagen en hij gaat er ook nog financieel op achteruit.Toch staat Kahraman - manager bij Accenture, een groot IT-adviesbureau - op de kieslijst van Nieuw Sociaal **Contract**.Zelfs zijn vrouw plaatste er vraagtekens bij.","634,634",N,1.0,N,N,,,,,,,
2,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-10-PVV,Immigration,De eisen aangaande asielzoekers zijn ineens een stuk milder.Ook op andere terreinen zegt **Wilders** bereid te zijn tot compromissen.Dat zal even slikken zijn voor de fervente PVV-stemmers die Wilders altijd afschilderen als de enige betrouwbare politicus die altijd voet bij stuk houdt en nooit van zijn principes afstapt.,"543,543",N,1.0,N,,N,,,,,,R
3,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-7-PVV,Immigration,Daar heeft hij veel voor over;de belangrijkste **PVV-principes** gaan overboord.Het PVV-standpunt dat de islam uit Nederland moet verdwijnen en om de koran te verbieden heeft niet langer prioriteit.,"551,551",N,1.0,N,,,N,,,,,R
4,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-8-PVV,Immigration,de belangrijkste PVV-principes gaan overboord.Het **PVV-standpunt** dat de islam uit Nederland moet verdwijnen en om de koran te verbieden heeft niet langer prioriteit.De eisen aangaande asielzoekers zijn ineens een stuk milder.,"543,543",N,1.0,N,,N,,,,,,R
5,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-88-GL/PvdA,CivilRights,Gelijk**Timmermans** eiste tijdens het verkiezingsdebat van SBS dat Wilders iedereen als Nederlander behandelde.Maar het is toch zo dat (potentiële) nieuwe Nederlanders voorrang krijgen bij het krijgen van een woning?,"519,519",L,1.0,L,,L,,,,,,L
6,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-88-GL/PvdA,Immigration,Gelijk**Timmermans** eiste tijdens het verkiezingsdebat van SBS dat Wilders iedereen als Nederlander behandelde.Maar het is toch zo dat (potentiële) nieuwe Nederlanders voorrang krijgen bij het krijgen van een woning?,"543,543",N,1.0,N,,N,,,,,,N
7,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-88-PVV,Immigration,GelijkTimmermans eiste tijdens het verkiezingsdebat van SBS dat **Wilders** iedereen als Nederlander behandelde.Maar het is toch zo dat (potentiële) nieuwe Nederlanders voorrang krijgen bij het krijgen van een woning?,"552,552",N,1.0,N,,,N,,,,,R
8,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c-18-VVD,Immigration,"Het gebrek aan betaalbare huur- en koopwoningen wordt daarbij als grootste zorg genoemd, gekoppeld aan migratie, aan de gevoelde voorrang die bepaalde groepen, onder wie statushouders en Oekraïense vluchtelingen, krijgen bij de toewijzing van huisvesting.De kiezers die NRC sprak, zien dat er ruimte is voor iets nieuws, in deze eerste verkiezing na dertien jaar premierschap van Mark Rutte (**VVD**).En tegelijkertijd hebben weinigen het vertrouwen dat ‘Den Haag’ het vermogen heeft om met uitvoerbare oplossingen te komen.","537,537",N,1.0,N,,N,,,,,,R
9,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-110-BBB,Immigration,"Waar in Almere 49 procent van de nieuwe verhuringen naar mensen met voorrang ging, was dat in Enschede maar 3 procent.Partijen als de PVV, maar ook **BBB** willen iets doen aan die lange zoektijd door de voorrang voor statushouders bij de verdeling van sommige woningen te schrappen.Een partij als de SP wil dat er een stop komt op de verkoop van sociale huurwoningen.","546,546",R,1.0,R,,R,,,,,,R
10,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-110-PVV,Immigration,"Waar in Almere 49 procent van de nieuwe verhuringen naar mensen met voorrang ging, was dat in Enschede maar 3 procent.Partijen als de **PVV**, maar ook BBB willen iets doen aan die lange zoektijd door de voorrang voor statushouders bij de verdeling van sommige woningen te schrappen.Een partij als de SP wil dat er een stop komt op de verkoop van sociale huurwoningen.","546,546",R,1.0,R,,R,,,,,,R
11,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-138-PVV,Immigration,"PVV-leider Geert Wilders is te gast bij NOS Radio 1 Journaal, waar staan hij en zijn partij voor?De in Venlo geboren Geert **Wilders** (60) is in veel opzichten een bijzonder politicus.Om te beginnen is hij een van zwaarst beveiligde personen van Nederland vanwege zijn kritiek op de islam.","546,546",N,1.0,N,,N,,,,,,R
12,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-141-Overig,Immigration,"Een aanhoudende stroom aan bedreigingen heeft ertoe geleid dat Wilders al 20 jaar constant wordt bewaakt.Wilders' politieke carrière begon in de VVD, waarvoor hij in 1998 Tweede **Kamerlid** werd.Wilders was toen al bezorgd over moslimextremisme en dat nam een vlucht na de aanslagen in de VS op 11 september 2001.","546,546",N,1.0,N,,N,,,,,,R
13,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-141-PVV,Immigration,"Een aanhoudende stroom aan bedreigingen heeft ertoe geleid dat Wilders al 20 jaar constant wordt bewaakt.**Wilders'** politieke carrière begon in de VVD, waarvoor hij in 1998 Tweede Kamerlid werd.Wilders was toen al bezorgd over moslimextremisme en dat nam een vlucht na de aanslagen in de VS op 11 september 2001.","546,546",N,1.0,N,,N,,,,,,R
14,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-141-VVD,Immigration,"Een aanhoudende stroom aan bedreigingen heeft ertoe geleid dat Wilders al 20 jaar constant wordt bewaakt.Wilders' politieke carrière begon in de **VVD**, waarvoor hij in 1998 Tweede Kamerlid werd.Wilders was toen al bezorgd over moslimextremisme en dat nam een vlucht na de aanslagen in de VS op 11 september 2001.","546,546",N,1.0,N,,N,,,,,,R
15,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-142-PVV,Immigration,"Wilders' politieke carrière begon in de VVD, waarvoor hij in 1998 Tweede Kamerlid werd.**Wilders** was toen al bezorgd over moslimextremisme en dat nam een vlucht na de aanslagen in de VS op 11 september 2001.Na ruzie over Turkse EU-toetreding brak Wilders in 2004 met de VVD.","548,548",N,1.0,N,,N,,,,,,R
16,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-PVV,Immigration,Wilders was toen al bezorgd over moslimextremisme en dat nam een vlucht na de aanslagen in de VS op 11 september 2001.Na ruzie over Turkse EU-toetreding brak **Wilders** in 2004 met de VVD.Twee jaar later deed hij met zijn PVV mee aan de verkiezingen.,"546,546",N,1.0,N,,N,,,,,,R
