unit_id,gold,gpt_response,gpt_rank,gpt_token,gpt_logprob
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,0,None,-7.89631e-07
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,1, None,-14.250001
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,2,_None,-16.875
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,3,(None,-18.125
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,4,Government,-18.625
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,5,**,-18.625
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,6,"
",-18.875
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,7,_none,-20.0
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,8,.None,-20.0
e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,Geen onderwerp,None,9,No,-20.75
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,0,Rights,-2.0100624e-05
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,1,**,-11.75002
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,2,Health,-11.75002
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,3,None,-13.25002
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,4, Rights,-14.00002
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,5,Right,-14.37502
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,6,"
",-14.75002
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,7,Answer,-16.000021
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,8,Issue,-16.000021
2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,Burgerrechten,Rights,9,Order,-16.125021
