unit_id,gold,response,topic,rank,logprob
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::312::politiek,,Defensie.,Defense,0,0
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::312::politiek,,Burger,CivilRights,3,-5.079229831695557
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::312::politiek,,Just,Order,4,-5.204229831695557
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::312::politiek,,Gez,Health,7,-8.204230308532715
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::312::politiek,,Best,Government,8,-8.454230308532715
00cd19cc7b9b18f2accd58eca59fbae7329babbc209783467b14a2eb::312::politiek,,Imm,Immigration,10,-9.079230308532715
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d::431::overheidsinstanties,,Bestuur,Government,0,0
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d::431::overheidsinstanties,,Burger,CivilRights,4,-10.563677787780762
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d::431::overheidsinstanties,,Werk,Economic,5,-10.688677787780762
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d::431::overheidsinstanties,,Gez,Health,6,-10.938677787780762
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d::2460::bedrijven,,Geen,,0,0
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d::2460::bedrijven,,Just,Order,2,-6.251965522766113
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d::2460::bedrijven,,Gez,Health,3,-11.001965522766113
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d::2460::bedrijven,,Werk,Economic,4,-11.126965522766113
00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d::2460::bedrijven,,Imm,Immigration,8,-14.751965522766113
014126417e951326f6b871badc0bf1dc51d7c46395b73a6bff71ecfe::936::burgers,,Werk,Economic,0,0
014126417e951326f6b871badc0bf1dc51d7c46395b73a6bff71ecfe::936::burgers,,Gez,Health,4,-3.969896078109741
014126417e951326f6b871badc0bf1dc51d7c46395b73a6bff71ecfe::936::burgers,,Best,Government,5,-4.71989631652832
014126417e951326f6b871badc0bf1dc51d7c46395b73a6bff71ecfe::936::burgers,,Burger,CivilRights,9,-9.34489631652832
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::1809::politiek,,Defensie.,Defense,0,0
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::1809::politiek,,Best,Government,3,-4.239646911621094
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::1809::politiek,,Gez,Health,5,-8.989646911621094
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::1809::politiek,,Imm,Immigration,7,-9.739646911621094
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::2105::overheidsinstanties,,Defensie.,Defense,0,0
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::2105::overheidsinstanties,,Best,Government,4,-10.639287948608398
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::2105::overheidsinstanties,,Mil,Environment,5,-11.014287948608398
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::2105::overheidsinstanties,,Just,Order,6,-11.764287948608398
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::2105::overheidsinstanties,,Gez,Health,7,-11.764287948608398
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::3021::burgers,,Geen,,0,0
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::3021::burgers,,Best,Government,2,-11.375014305114746
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::3021::burgers,,Gez,Health,3,-13.500014305114746
02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683::3021::burgers,,Werk,Economic,5,-15.250014305114746
0369b0264d8e10037efc358acf7851cb908626fd3a479fb1c3a3da47::600::politiek,,Geen,,0,0
0369b0264d8e10037efc358acf7851cb908626fd3a479fb1c3a3da47::600::politiek,,Best,Government,3,-14.375003814697266
0369b0264d8e10037efc358acf7851cb908626fd3a479fb1c3a3da47::600::politiek,,Gez,Health,4,-15.500003814697266
0369b0264d8e10037efc358acf7851cb908626fd3a479fb1c3a3da47::600::politiek,,Werk,Economic,6,-16.250003814697266
0369b0264d8e10037efc358acf7851cb908626fd3a479fb1c3a3da47::2856::media,,Geen,,0,0
0369b0264d8e10037efc358acf7851cb908626fd3a479fb1c3a3da47::2856::media,,Best,Government,2,-12.500007629394531
0369b0264d8e10037efc358acf7851cb908626fd3a479fb1c3a3da47::2856::media,,Gez,Health,4,-14.750007629394531
0369b0264d8e10037efc358acf7851cb908626fd3a479fb1c3a3da47::2856::media,,Werk,Economic,7,-15.875007629394531
06399ce95b1bcdcbf7b6241d86106bcfb94df026cf18cbe5c1d814b5::199::politiek,,Geen,,0,0
06399ce95b1bcdcbf7b6241d86106bcfb94df026cf18cbe5c1d814b5::199::politiek,,Gez,Health,3,-15.12500286102295
06399ce95b1bcdcbf7b6241d86106bcfb94df026cf18cbe5c1d814b5::1042::politiek,,Geen,,0,0
06399ce95b1bcdcbf7b6241d86106bcfb94df026cf18cbe5c1d814b5::1042::politiek,,Gez,Health,2,-11.75001335144043
06399ce95b1bcdcbf7b6241d86106bcfb94df026cf18cbe5c1d814b5::1042::politiek,,Best,Government,3,-12.75001335144043
06399ce95b1bcdcbf7b6241d86106bcfb94df026cf18cbe5c1d814b5::1042::politiek,,Def,Defense,4,-13.75001335144043
06399ce95b1bcdcbf7b6241d86106bcfb94df026cf18cbe5c1d814b5::1042::politiek,,Werk,Economic,6,-15.12501335144043
06399ce95b1bcdcbf7b6241d86106bcfb94df026cf18cbe5c1d814b5::1042::politiek,,Imm,Immigration,7,-15.25001335144043
0656cddf3ec6fb720a690b84517e70a0c27030ceb924d227955be736::99::media,,Geen,,0,0
0656cddf3ec6fb720a690b84517e70a0c27030ceb924d227955be736::99::media,,Gez,Health,3,-13.87501049041748
0656cddf3ec6fb720a690b84517e70a0c27030ceb924d227955be736::99::media,,Imm,Immigration,4,-14.37501049041748
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::595::politiek,,Bestuur.,Government,0,0
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::595::politiek,,Werk,Economic,3,-10.798627853393555
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::595::politiek,,Gez,Health,7,-13.423627853393555
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::613::overheidsinstanties,,Bestuur,Government,0,0
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::613::overheidsinstanties,,Werk,Economic,4,-11.953924179077148
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::613::overheidsinstanties,,Gez,Health,7,-13.328924179077148
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::613::overheidsinstanties,,Just,Order,10,-14.078924179077148
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::1398::burgers,,Geen,,0,0
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::1398::burgers,,Best,Government,2,-2.376387119293213
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::1398::burgers,,Mil,Environment,3,-3.751387119293213
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::1398::burgers,,Gez,Health,4,-6.626387119293213
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::1398::burgers,,Def,Defense,5,-8.251386642456055
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::1398::burgers,,Werk,Economic,7,-8.626386642456055
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::1398::burgers,,Burger,CivilRights,8,-9.001386642456055
0861cbb5e0c2e356f1484f05ae25c441ce565a61fae8d03acb6792e4::1398::burgers,,Just,Order,10,-10.001386642456055
08f92e44c85bc8d01d44e1fd4da7dcacfe23daaf92268fb82abb90b8::2600::bedrijven,,Geen,,0,0
08f92e44c85bc8d01d44e1fd4da7dcacfe23daaf92268fb82abb90b8::2600::bedrijven,,Imm,Immigration,2,-4.7611775398254395
08f92e44c85bc8d01d44e1fd4da7dcacfe23daaf92268fb82abb90b8::2600::bedrijven,,Werk,Economic,3,-6.0111775398254395
08f92e44c85bc8d01d44e1fd4da7dcacfe23daaf92268fb82abb90b8::2600::bedrijven,,Gez,Health,4,-10.011178016662598
08f92e44c85bc8d01d44e1fd4da7dcacfe23daaf92268fb82abb90b8::2781::bedrijven,,Immigratie.,Immigration,0,0
08f92e44c85bc8d01d44e1fd4da7dcacfe23daaf92268fb82abb90b8::2781::bedrijven,,Werk,Economic,3,-7.501119613647461
