unit_id,gold,response,topic,rank,logprob
6cfd56d23ac0fe1b21e22eb993bfed54ec3e0bdc6fd1525d4aaa22bf-11-Overig,,Onderwijs,Education,0,0
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-24-JA21,,Burgerrechten,CivilRights,0,0
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-24-JA21,,Gez,Health,3,-6.0052996
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-24-JA21,,Just,Order,6,-13.0053
58e4a98b6a70104d427afc1c221bbf0e1f7cd70f3d0124609c51f573-24-JA21,,Werk,Economic,10,-14.3803
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-1-VVD,,Geen,,0,0
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-1-VVD,,Gez,Health,7,-14.875019
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-8-PVV,,Geen,,0,0
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-8-PVV,,Imm,Immigration,2,-8.250302
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-8-PVV,,Gez,Health,3,-11.500302
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-8-PVV,,Werk,Economic,7,-13.000302
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-38-VVD,,Geen,,0,0
594c8d2d179615cf84d86a82260694fe116328b6302c0b39b86ca802-38-VVD,,Gez,Health,4,-13.62501
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-65-GL/PvdA,,Geen,,0,0
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-65-GL/PvdA,,Imm,Immigration,2,-2.1582496
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-65-GL/PvdA,,Def,Defense,3,-3.6582496
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-65-GL/PvdA,,Gez,Health,5,-7.15825
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-65-GL/PvdA,,Best,Government,7,-9.53325
9a7f7f3529825642bb23c7ca8beffbd8ec6a5ec450adf0b627015a0c-65-GL/PvdA,,Mil,Environment,10,-11.65825
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-26-NSC,,Geen,,0,0
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-26-NSC,,Gez,Health,2,-8.625579
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-26-NSC,,Mil,Environment,3,-9.000579
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-26-NSC,,Imm,Immigration,5,-9.375579
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-26-NSC,,Werk,Economic,9,-11.875579
3f229ec22e682572346a5eabbdae272aa5a64e709c352bb09d20d1f1-26-NSC,,Def,Defense,10,-12.000579
9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-6-CU,,Geen,,0,0
9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-6-CU,,Gez,Health,3,-13.000015
9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-6-CU,,Werk,Economic,10,-15.750015
9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-31-GL/PvdA,,Milieu.,Environment,0,0
9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-31-GL/PvdA,,Werk,Economic,2,-1.7686169
9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-31-GL/PvdA,,Gez,Health,4,-4.7686167
0c832cbc3391d2e4ae37eefde71ad0908cca8b752c3360ba532d7705-14-JA21,,Immigratie,Immigration,0,0
