variable,jobid,unit_id,topic,text,majority,agreement,AM,NK,KN,SH,NR,NPR,JE,WA
stance,522,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-6-Overig,CivilRights,"denk om stemmers met beperkingDemissionair **minister** Hugo de Jonge (Binnenlandse Zaken) roept de gemeenten op om ervoor te zorgen dat de stemlokalen op 22 november zo veel mogelijk toegankelijk zijn voor mensen met een beperking.Afgelopen maart, bij de verkiezingen voor de provincies en de waterschappen, bleek er met 80 procent van alle stemlokalen iets mis.",L,0.5,NA,L,NA,N,NA,NA,NA,NA
stance,509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-Overig,CivilRights,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de SGP bestaat, is Chris Stoffer (49) pas de achtste **partijleider**.De vorige, Kees van der Staaij, was het dertien jaar.",N,0.5,N,NA,R,NA,NA,NA,NA,NA
stance,509,01438633bd578448fb672c93fc34addb40769a2988ab244f71e11608-25-SGP,CivilRights,"En er moet een einde komen aan het belastingnadeel voor gezinnen waar de vrouw thuisblijft om voor de kinderen te zorgen.In de ruim honderd jaar dat de **SGP** bestaat, is Chris **Stoffer** (49) pas de achtste partijleider.De vorige, Kees van der Staaij, was het dertien jaar.",N,0.5,N,NA,R,NA,NA,NA,NA,NA
stance,521,024faf24ec45326dd32c54a2d008b42f49d79076aabdc015f9601596-30-D66,CivilRights,"De partij moet volgens de commissie beter motiveren hoe beide belangen zich tot elkaar verhouden.Het verbieden van haatzaaiende organisaties en ondemocratische partijen, zoals **D66** en Volt dat willen, verhoudt zich slecht tot de democratische rechtsstaat.Wie bepaalt wat voldoende haatzaaiend of ondemocratisch is, vraagt de Orde zich af.",N,0.5,N,R,NA,NA,NA,NA,NA,NA
stance,527,024faf24ec45326dd32c54a2d008b42f49d79076aabdc015f9601596-30-Volt,CivilRights,"De partij moet volgens de commissie beter motiveren hoe beide belangen zich tot elkaar verhouden.Het verbieden van haatzaaiende organisaties en ondemocratische partijen, zoals D66 en **Volt** dat willen, verhoudt zich slecht tot de democratische rechtsstaat.Wie bepaalt wat voldoende haatzaaiend of ondemocratisch is, vraagt de Orde zich af.",L,0.5,NA,R,NA,NA,NA,L,NA,NA
stance,517,0464b3a630e95ef14a2197297657658bb44f6cad2edb944254cea020-25-GL/PvdA,CivilRights,"Op andere onderwerpen heeft Timmermans behoorlijk concessies moeten doen om met GroenLinks tot een gezamenlijk verkiezingsprogramma te komen.Zo was de **PvdA** eerder voor een gedeeltelijk boerkaverbod, mede omdat de boerka ""de mogelijkheid tot ontplooiing en participatie"" van vrouwen zou ontnemen.GroenLinks was tegen het verbod, en in het gezamenlijke programma staat nu dat GL-PvdA het verbod wil afschaffen.",L,0.5,R,NA,L,NA,NA,NA,NA,NA
stance,517,0464b3a630e95ef14a2197297657658bb44f6cad2edb944254cea020-26-GL/PvdA,CivilRights,"Zo was de PvdA eerder voor een gedeeltelijk boerkaverbod, mede omdat de boerka ""de mogelijkheid tot ontplooiing en participatie"" van vrouwen zou ontnemen.**GroenLinks** was tegen het verbod, en in het gezamenlijke programma staat nu dat **GL-PvdA** het verbod wil afschaffen.Ook was de PvdA tegen het dragen van een hoofddoek door politieagenten.",L,0.5,N,NA,L,NA,NA,NA,NA,NA
stance,517,0464b3a630e95ef14a2197297657658bb44f6cad2edb944254cea020-27-GL/PvdA,CivilRights,"GroenLinks was tegen het verbod, en in het gezamenlijke programma staat nu dat GL-PvdA het verbod wil afschaffen.Ook was de **PvdA** tegen het dragen van een hoofddoek door politieagenten.De partij vond een neutrale uitstraling van de politie belangrijker dan de vrije keuze om je religie te uiten.",N,0.5,R,NA,N,NA,NA,NA,NA,NA
stance,517,0464b3a630e95ef14a2197297657658bb44f6cad2edb944254cea020-29-GL/PvdA,CivilRights,"De partij vond een neutrale uitstraling van de politie belangrijker dan de vrije keuze om je religie te uiten.**GroenLinks** hechtte wel meer waarde aan die vrijheid, en in de stemwijzer zegt **GL-PvdA** nu vóór de hoofddoek bij de politie te zijn. **Timmermans**:""In bijvoorbeeld het Verenigd Koninkrijk en in Canada leidt dit tot geen enkel probleem voor de uitvoering van het politiewerk en de samenleving is er ook heel erg aan gewend.""",L,0.5,N,NA,L,NA,NA,NA,NA,NA
stance,523,060e870778582b719fdd8fefc0533a989378417ae833331ccc46f2d9-1-Overig,CivilRights,NA,N,0.5,NA,R,NA,N,NA,NA,NA,NA
