jobid,unit_id,coder,variable,value,topic,stance
634,0037af0b6933d719184e931b9f884668fadb7ded81fe974473b99bf2-23-NSC,NK,stance,Geen/Ander/Neutraal,Economic,N
634,0037af0b6933d719184e931b9f884668fadb7ded81fe974473b99bf2-23-NSC,NPR,stance,Geen/Ander/Neutraal,Economic,N
634,0037af0b6933d719184e931b9f884668fadb7ded81fe974473b99bf2-7-NSC,NK,stance,Geen/Ander/Neutraal,Economic,N
634,0037af0b6933d719184e931b9f884668fadb7ded81fe974473b99bf2-7-NSC,NPR,stance,Geen/Ander/Neutraal,Economic,N
543,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-10-PVV,AM,stance,Geen/Ander/Neutraal,Immigration,N
543,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-10-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
551,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-7-PVV,KN,stance,Geen/Ander/Neutraal,Immigration,N
551,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-7-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
543,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-8-PVV,AM,stance,Geen/Ander/Neutraal,Immigration,N
543,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-8-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
519,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-88-GL/PvdA,AM,stance,"Burgerrechten, vrijheid en minderheidsrechten",CivilRights,L
543,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-88-GL/PvdA,AM,stance,Geen/Ander/Neutraal,Immigration,N
519,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-88-GL/PvdA,NK,stance,"Burgerrechten, vrijheid en minderheidsrechten",CivilRights,L
543,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-88-GL/PvdA,NK,stance,Geen/Ander/Neutraal,Immigration,N
552,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-88-PVV,KN,stance,Geen/Ander/Neutraal,Immigration,N
552,003c4c02fe043cdd0bf588f7c1ce5139403aa984a726995121d9113b-88-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
537,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c-18-VVD,AM,stance,Geen/Ander/Neutraal,Immigration,N
537,00cfa692260595c81c24bf548e4c294618bc6b5c73117af485f8914c-18-VVD,NK,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-110-BBB,AM,stance,Beperken immigratie,Immigration,R
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-110-BBB,NK,stance,Beperken immigratie,Immigration,R
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-110-PVV,AM,stance,Beperken immigratie,Immigration,R
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-110-PVV,NK,stance,Beperken immigratie,Immigration,R
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-138-PVV,AM,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-138-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-141-Overig,AM,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-141-Overig,NK,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-141-PVV,AM,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-141-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-141-VVD,AM,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-141-VVD,NK,stance,Geen/Ander/Neutraal,Immigration,N
548,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-142-PVV,AM,stance,Geen/Ander/Neutraal,Immigration,N
895,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-142-PVV,NK,stance,Geen/Ander/Neutraal,EU,N
548,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-142-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-PVV,AM,stance,Geen/Ander/Neutraal,Immigration,N
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-PVV,NK,stance,Geen/Ander/Neutraal,EU,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-PVV,NK,stance,Geen/Ander/Neutraal,Immigration,N
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-PVV,NPR,stance,Geen/Ander/Neutraal,EU,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-VVD,AM,stance,Geen/Ander/Neutraal,Immigration,N
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-VVD,NK,stance,Geen/Ander/Neutraal,EU,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-VVD,NK,stance,Geen/Ander/Neutraal,Immigration,N
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-143-VVD,NPR,stance,Geen/Ander/Neutraal,EU,N
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-144-PVV,NK,stance,Geen/Ander/Neutraal,EU,N
893,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-144-PVV,NPR,stance,Geen/Ander/Neutraal,EU,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-146-Denk,AM,stance,Geen/Ander/Neutraal,Immigration,N
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-146-Denk,NK,stance,Geen/Ander/Neutraal,Immigration,N
645,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-150-PVV,NK,stance,Geen/Ander/Neutraal,Economic,N
645,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-150-PVV,SH,stance,Geen/Ander/Neutraal,Economic,N
550,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-151-PVV,AM,stance,Beperken immigratie,Immigration,R
550,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-151-PVV,NK,stance,Beperken immigratie,Immigration,R
546,00f6424643130aff606b0090fd9ae52c5b493fa3e4bb2ee170af433d-48-CDA,AM,stance,Beperken immigratie,Immigration,R
