round,unit_id,before,text,after,NR,JF,WvA,agreement,gold_topic,gold_stance,Uitleg,Discussion
1,e1f19e08c77f93b70e48971578c54decf1169fe6b81d0c0618222caf-2-Overig,7:11,"Wie is Wybren van Haga, de **lijsttrekker** van BVNL?",Wybren van Haga (56) is geboren in Den Haag en woont in Haarlem.,Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,3,Geen onderwerp,Neutraal,,
1,2c0ef51efcf8f7a13e13afcdd577a5e043de5e4bef6b157ec70b90e5-4-GL/PvdA,11:30,**GL-PvdA** krijt regenboog voor abortuskliniek waar SGP actie wilde voeren,GroenLinks-PvdA noemt het goed dat de SGP afziet van de actie om in gesprek te gaan met anti-abortusdemonstranten.,Burgerrechten : Voor,Burgerrechten : Voor,Burgerrechten : Voor,3,Burgerrechten,Voor,,
1,46e86bec24ac356e587e545983233266e8b8308ce67ad4f7b7ba28e5-11-D66,Bijna datzelfde beeld doemt op als het gaat om milieu.,"Partijen als **D66**, Volt en PvdA/GL willen vervuilende uitstoot door bedrijven afstraffen met extra belasting.",Treurig genoeg heeft dat één voorspelbaar gevolg:,Natuur en Klimaat : Voor,Natuur en Klimaat : Voor,Natuur en Klimaat : Voor,3,Natuur en Klimaat,Voor,,
1,7fcfaf7da187daab944a5d923b0c34aa1166d1d2f7dead95a55268d9-4-VVD,"Het is een ""weerzinwekkend regime"", zei Jasper van Dijk van de SP, dat een ""snoeiharde aanpak"" verdient.","Ook de **VVD** wil ""veel meer Iraanse officials op de sanctielijst"", zei Ruben Brekelmans tijdens het Midden-Oosten Verkiezingsdebat.","Nu langzaam duidelijk lijkt te worden welke rol Iran speelt in de steun en financiering van Hamas, pleiten vrijwel alle partijen voor een stevige aanpak van dit regime.",Internat.recht en ontw. samenwerking : Voor,Internat.recht en ontw. samenwerking : Voor,Internat.recht en ontw. samenwerking : Voor,3,Internat.recht en ontw. samenwerking,Voor,,
1,e40507c33929662d0c57b978fa2ea578df93f88180ca17a40ae575a8-2-Overig,De rente die studenten en afgestudeerden betalen over hun studielening wordt niet per 1 januari 2024 bevroren op het niveau van 2023.,Dat schrijft demissionair **minister** Dijkgraaf aan de Tweede Kamer.,"De Kamer had daarom gevraagd, wetende dat het waarschijnlijk niet uitvoerbaar is.",Investeren in onderwijs en wetenschap : Tegen,Investeren in onderwijs en wetenschap : Tegen,Investeren in onderwijs en wetenschap : Tegen,3,Investeren in onderwijs en wetenschap,Tegen,,
1,5e85be697b8002e0972e508fad33f07c403ff859e7391c66f44a7e7e-158-VVD,Achterliggende gedachte is dat een hoger minimumloon ervoor zorgt dat er minder toeslagen nodig zijn om armoede tegen te gaan.,"Sommige partijen, zoals de **VVD** reppen alleen van verhoging, andere partijen, zoals GroenLinks-PvdA, Partij voor de Dieren, D66 en Denk noemen bedragen van 14 tot bijna 18 euro.",Ook de koppeling met de uitkeringen blijft in de meeste verkiezingsprogramma’s in stand.,Werkgelegenheid : Voor,Werkgelegenheid : Voor,Werkgelegenheid : Voor,3,Werkgelegenheid,Voor,,
1,7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-11-D66,Overvolle opleidingen zijn bovendien slecht voor de onderwijskwaliteit.,"Het wordt tijd dat we naast een gaspedaal ook een rem en een stuur installeren', zei onderwijsminister Robbert Dijkgraaf (**D66**) deze zomer toen hij een conceptwetsvoorstel presenteerde.","Een belangrijk onderdeel van dat stuur is dat meer opleidingen in het Nederlands moeten worden gegeven, zeker in de bachelorfase.",Investeren in onderwijs en wetenschap : Voor,Investeren in onderwijs en wetenschap : Voor,Investeren in onderwijs en wetenschap : Voor,3,Investeren in onderwijs en wetenschap,Voor,,
1,26dc46e8512e64fdcd8eff841c308258667715865b5a8c28aa282a9d-12-Volt,Eén partij werpt zich wel blijmoedig op als kampioen onderwijs:,**Volt**.,"Of Volt Nederland, want het is een Europese partij met een filiaal hier.",Investeren in onderwijs en wetenschap : Voor,Investeren in onderwijs en wetenschap : Voor,Investeren in onderwijs en wetenschap : Voor,3,Investeren in onderwijs en wetenschap,Voor,,
1,3d371e7f47ad8d8f841dcd4d95224674fb1a60dfea2f9b53d696b245-12-VVD,Nietsontziende militaire aanpak,Demissionair premier Mark Rutte (**VVD**) zei vorige week woensdag na een gesprek met de Israëlische premier Netanyahu dat Israël „moet laten zien dat wat zij doen ook proportioneel is” en binnen de grenzen van het internationaal recht moet handelen.,"Rutte wil, in tegenstelling tot bijvoorbeeld de Franse president Macron, niet oproepen tot een staakt-het-vuren.",Internat.recht en ontw. samenwerking : Voor,Internat.recht en ontw. samenwerking : Voor,Internat.recht en ontw. samenwerking : Voor,3,Internat.recht en ontw. samenwerking,Voor,,
1,9f411efe73b5782aeefabc5eb776c59312aeefd897f5a43826d07a3e-2-NSC,Brieven,Pieter **Omtzigt** (**NSC**) twijfelt over het premierschap.,foto ANP,Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,Geen onderwerp : Neutraal,3,Geen onderwerp,Neutraal,,
