jobid,unit_id,topic,text,majority,agreement,Amani,Karishma,Nisanur
495,176f7075f752f558c712cc6051b17ed7d6d79143000e2fc8e5cf8744-11-GL/PvdA,CivilRights,"hij ontdekte dat hij op jongens viel en was bang gepest te worden.**Timmermans** zei vurig dat het allerergste wat hem kan gebeuren, is dat zijn kinderen en kleinkinderen iets overkomt.Drie dagen eerder, in een interview bij Nieuwsuur, was Timmermans minder overtuigend, althans bij het onderwerp onderwijs.",N,0.6666666666666666,L,N,N
495,2fdb96ecccbce765857ffe45b98dad2b2c373e55f9f372b7a1141feb-19-FvD,CivilRights,"De jongeman sloeg hem twee keer met de onderkant van een bierfles.De selfies waren hem niet ontraden, aldus **Baudet**, 'maar de komende tijd maak ik ze niet meer'.Volgens Baudet maakt het incident andermaal duidelijk dat niet zijn partij een bedreiging voor de rechtsstaat is, maar dat het gevaar uit de tegenovergestelde hoek komt.",N,1,N,N,N
495,2fdb96ecccbce765857ffe45b98dad2b2c373e55f9f372b7a1141feb-20-FvD,CivilRights,"De selfies waren hem niet ontraden, aldus Baudet, 'maar de komende tijd maak ik ze niet meer'.Volgens **Baudet** maakt het incident andermaal duidelijk dat niet zijn partij een bedreiging voor de rechtsstaat is, maar dat het gevaar uit de tegenovergestelde hoek komt.'Daar wordt geweld gebruikt.'",N,1,N,N,N
495,2fdb96ecccbce765857ffe45b98dad2b2c373e55f9f372b7a1141feb-8-FvD,CivilRights,"Dit keer voelt Baudet zich goed genoeg om door te gaan, zei hij, 'ook omdat het belangrijk is te laten zien dat wij niet buigen'.**Baudet** sprak van 'een politieke aanslag vanwege de standpunten die wij voor het voetlicht brengen'.Voor het café stonden demonstranten van Antifa, die protesteren tegen fascisme, racisme en rechts-extremisme.",N,1,N,N,N
495,361cc57fc13d1dad4144b5e76529ac166edeea6153ca94aa4bd6a690-9-PVV,CivilRights,"Van de Meeberg vliegt heen en weer om druk te vertellen over al zijn gasten:Brabanders die **PVV** stemmen en Jägermeister drinken, Amsterdamse vrienden die excuses willen aanbieden voor de slavernij aan Thijs zijn vriendin van kleur, een zus die in het onderwijs zit én antivaxer is.Het is een vermakelijke setting, waarin talloze twistpunten uit de Nederlandse samenleving zijn verwerkt.",N,1,N,N,N
495,6235d94ff639bb60d13031a0871347e0b8e6ab6053d1f7181e85e0d0-119-D66,CivilRights,"Daarom vertrouw ik hem niet helemaal, terwijl hij wel veel kennis en ervaring heeft.'Misschien kies ik dan toch voor **Jetten**, omdat hij redelijk integer is.D66 past, met het standpunt over bijvoorbeeld euthanasie ook wel bij mij.",N,1,N,N,N
495,6235d94ff639bb60d13031a0871347e0b8e6ab6053d1f7181e85e0d0-120-D66,CivilRights,"'Misschien kies ik dan toch voor Jetten, omdat hij redelijk integer is.**D66** past, met het standpunt over bijvoorbeeld euthanasie ook wel bij mij.Maar ik weet het gewoon nog niet.'",N,1,N,N,N
495,78b06780c97471eef20bf7bbc8a11026ac4f30e50be9afc12c151e9f-32-Overig,CivilRights,"Zijn kinderen vinden pittig eten inmiddels ook best lekker.Het is dat Klaver deze verkiezingen niet meedoet als **lijsttrekker**, anders zou hij misschien wel te horen hebben gekregen dat dit optreden niet 'mannelijk' genoeg was.Want 'vrouwelijk' mag dan tegenwoordig een compliment zijn voor mannen in machtsposities, zowel 'mannelijk' als 'vrouwelijk' kan een scheldwoord zijn voor mensen van welk ander gender dan ook.",N,1,N,N,N
495,a1217afb5b77f63ff0d9535629da07c5c5b7e77f0d2618c30007a8ee-1-GL/PvdA,CivilRights,NA,L,1,L,L,L
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-259-CU,CivilRights,"'Kijk met zorg naar uitslag'**ChristenUnie-leider** Mirjam **Bikker** wil ""juist nu in een gepolariseerde tijd"" blijven staan voor de overtuigingen van haar partij: ""christelijke, sociale politiek, geworteld in hoop, zoekend naar vrede, pal voor de rechtstaat"".Haar partij haalt in de exitpoll 3 zetels, en heeft momenteel 5 zetels in de Kamer.",R,1,R,R,R
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-262-CU,CivilRights,"Bikker feliciteert de PVV, maar ""tegelijkertijd kijken we ook met zorg naar deze uitslag"".**Bikker** vreest meer polarisatie door de winst van de PVV.""Ons land is gebouwd op minderheden die elkaar heel houden en elkaar weten te vinden.",L,0.6666666666666666,L,N,L
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-297-PVV,CivilRights,"Van Baarle (Denk):'Winst **PVV** leidt bij veel mensen tot angst'De winst van Wilders is een bedreiging van de mensenrechten en de rechtsstaat, zegt Stephan van Baarle (Denk).",R,1,R,R,R
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-298-Denk,CivilRights,"'Winst PVV leidt bij veel mensen tot angst'De winst van Wilders is een bedreiging van de mensenrechten en de rechtsstaat, zegt Stephan van **Baarle** (**Denk**).Dat leidt volgens de 32-jarige lijsttrekker ""bij heel veel mensen tot angst"".",L,0.6666666666666666,R,L,L
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-299-Overig,CivilRights,"De winst van Wilders is een bedreiging van de mensenrechten en de rechtsstaat, zegt Stephan van Baarle (Denk).Dat leidt volgens de 32-jarige **lijsttrekker** ""bij heel veel mensen tot angst"".Hij wil de PVV-leider niet feliciteren met zijn winst.",L,0.6666666666666666,R,L,L
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-302-Denk,CivilRights,"""We laten ons niet intimideren, we zullen vanaf dag één een schild vormen tegen extreemrechtse retoriek en knokken voor de minderheden in dit land.**Denk** is harder nodig dan ooit in de strijd tegen racisme en discriminatie.Bestrijding van uitsluiting en moslimhaat zit in ons DNA.""",L,1,L,L,L
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-352-GL/PvdA,CivilRights,"we blijven voor jullie knokken, we staan naast jullie en we zullen de rechtsstaat, die echt in het gedrang komt de komende tijd, blijven verdedigen.""Volgens de exitpoll komt het samenwerkingsverband tussen **GroenLinks** en de Partij van de Arbeid uit op 25 zetels.gisteren, 22:30",L,1,L,L,L
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-373-Volt,CivilRights,"Daarin komt Volt uit op 2 zetels, een verlies van 1 zetel ten opzichte van 2021.""PVV staat lijnrecht tegenover alles waar wij voor staan"", zei **Dassen** in Utrecht.""Dit is een partij die mensen uitsluit, die voor een Nexit is.""",L,1,L,L,L
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-398-PVV,CivilRights,"Ik voel me niet veilig.We waren hier bang voor, maar hadden niet gedacht dat de **PVV** de grootste zou kunnen worden.Wij kunnen niets doen, alleen vasthouden aan de grondwet waarin gelijkheid en godsdienst als rechten wordt genoemd.""",R,0.6666666666666666,R,R,N
495,a60d26b037ca1a68444141f68345c7ac82a29b7ee9d62ea6d97a8d66-402-PVV,CivilRights,"""Het totale wantrouwen van de overheid naar de moslimgemeenschap is al lang een feit.Dat **Wilders** nu de grootste is, is daar slechts het uiterlijk symbool van.Hij was tot vanavond de ongekroonde koning van de islamofobie.",R,1,R,R,R
495,bc47ba26b0f38072cab42de2c547ce048cf30acdc01fba39021b201c-1-CU,CivilRights,NA,R,1,R,R,R
495,bc47ba26b0f38072cab42de2c547ce048cf30acdc01fba39021b201c-36-CU,CivilRights,"ik kan nu een nieuwe koers voor het land bepalen.""In een poging die twijfelende burger te behouden, gooit de **ChristenUnie** het over een andere boeg:die van de 'bestaanszekerheid' van christelijke partijen.",N,0.6666666666666666,R,N,N
