jobid,unit_id,topic,text,majority,agreement,Nel,Nisanur
566,1c5c85d270b3c15668f4b1ea8703655d5754fc9661d238752572a105-2-GL/PvdA,Environment,RichtlijnenVan de Green Deal van voormalig Eurocommissaris Frans **Timmermans** blijft steeds minder over.Woensdag stemt het Europees Parlement over een sterk afgezwakte richtlijn voor het gebruik van pesticiden.,L,1,L,L
566,1c5c85d270b3c15668f4b1ea8703655d5754fc9661d238752572a105-5-GL/PvdA,Environment,"De lobby van de industrie en de liberale fractie proberen de wet nog verder uit te kleden, zegt Nina Holland van de lobby-waakhond Corporate Europe Observatory.**Timmermans** wilde oorspronkelijk het pesticidengebruik halveren (in 2030), het gebruik van kunstmest met 20 procent verminderen en de biologische landbouw uitbreiden tot minstens een kwart van de Europese landbouwgrond.De milieucommissie van het parlement zwakte dat eerste doel af:",L,1,L,L
566,29a44da102dbca1296be932daffa33ebe64d7e07ec09439506952b2b-34-BBB,Environment,"Ook in debatstijl.**BBB-lijsttrekker** Caroline van der **Plas** zocht het als vanouds dicht bij huis.Ze haalde haar nagelstylist aan (handen in de lucht: 'kijk'), die de zonnepanelen op haar dak tegenwoordig 'uit' laat.",N,1,N,N
566,29a44da102dbca1296be932daffa33ebe64d7e07ec09439506952b2b-34-Overig,Environment,"Ook in debatstijl.**BBB-lijsttrekker** Caroline van der Plas zocht het als vanouds dicht bij huis.Ze haalde haar nagelstylist aan (handen in de lucht: 'kijk'), die de zonnepanelen op haar dak tegenwoordig 'uit' laat.",N,1,N,N
566,29a44da102dbca1296be932daffa33ebe64d7e07ec09439506952b2b-38-D66,Environment,'We nemen inefficiënte maatregelen.'**Jetten** en Timmermans hadden in deze ronde een campagneruzietje te vereffenen.Timmermans verweet het kabinet-Rutte IV eerder een gebrek aan daadkracht op het gebied van klimaat.,N,1,N,N
566,29a44da102dbca1296be932daffa33ebe64d7e07ec09439506952b2b-38-GL/PvdA,Environment,'We nemen inefficiënte maatregelen.'Jetten en **Timmermans** hadden in deze ronde een campagneruzietje te vereffenen.Timmermans verweet het kabinet-Rutte IV eerder een gebrek aan daadkracht op het gebied van klimaat.,L,0.5,N,L
566,29a44da102dbca1296be932daffa33ebe64d7e07ec09439506952b2b-39-GL/PvdA,Environment,Jetten en Timmermans hadden in deze ronde een campagneruzietje te vereffenen.**Timmermans** verweet het kabinet-Rutte IV eerder een gebrek aan daadkracht op het gebied van klimaat.Jetten somde zijn successen als minister nog eens op.,L,0.5,N,L
566,29a44da102dbca1296be932daffa33ebe64d7e07ec09439506952b2b-40-D66,Environment,"Timmermans verweet het kabinet-Rutte IV eerder een gebrek aan daadkracht op het gebied van klimaat.**Jetten** somde zijn successen als minister nog eens op.'Binnen een jaar zijn we van het Russisch gas af gekomen', zei hij.",L,1,L,L
566,29a44da102dbca1296be932daffa33ebe64d7e07ec09439506952b2b-40-Overig,Environment,"Timmermans verweet het kabinet-Rutte IV eerder een gebrek aan daadkracht op het gebied van klimaat.Jetten somde zijn successen als **minister** nog eens op.'Binnen een jaar zijn we van het Russisch gas af gekomen', zei hij.",L,1,L,L
566,3e4e21c844e1ca0beb0846fe6344ad0dbdcbc0c96c4e38445af3b0a1-12-BBB,Environment,"Ook die verkiezingsuitslag kreeg veel aandacht vanuit Brussel.Lidstaten vrezen namelijk de opkomst van **BBB-achtige** partijen, omdat die de klimaat- en natuurplannen van de Europese Unie willen tegenhouden.Maar nog voordat de BBB-Statenleden en de Eerste Kamer goed en wel geïnstalleerd waren, dienden de volgende verrassingen zich alweer aan:",R,1,R,R
