jobid,unit_id,topic,text,majority,agreement,Amani,Nisanur,Sascha
500,14b26701fb78f94c43aa21b7062422f53eefde4ad18e700ffeebdbf0-20-PVV,CivilRights,"Haar voorganger Mark Rutte hield de PVV buiten de deur nadat de gedoogconstructie van zijn eerste kabinet in 2012 was gestrand.Hij noemde **Wilders** onbetrouwbaar en zei dat de **PVV-leider** de rechtsstaat ondermijnt.Ook moest Wilders zijn uitspraak over minder Marokkanen, waarvoor hij is veroordeeld, volgens Rutte terugnemen.",R,1,R,R,R
500,14b26701fb78f94c43aa21b7062422f53eefde4ad18e700ffeebdbf0-21-PVV,CivilRights,"Hij noemde Wilders onbetrouwbaar en zei dat de PVV-leider de rechtsstaat ondermijnt.Ook moest **Wilders** zijn uitspraak over minder Marokkanen, waarvoor hij is veroordeeld, volgens Rutte terugnemen.Dat gebeurde allemaal niet.",N,0.6666666666666666,N,N,R
500,169eef28cca642802e08d4f1c45746962d5805cc97ab83348047ff38-43-GL/PvdA,CivilRights,"Alle problemen stoppen niet bij de grens, een gezamenlijk evenwichtig Europees beleid heeft mijn voorkeur.Ik stem niet op **PvdA/GL** om meerdere redenen, maar zeker om het standpunt van dhr. **Timmermans** betreffende de hoofddoeken bij uniformen.Hoofddoeken zijn niet alleen een religieuze uiting, maar in veel landen een aspect van vrouwenonderdrukking tot aan doodstraf aan toe.",L,0.6666666666666666,L,L,N
500,1853b9b6144334fbfb974e64bcca4831e790f072062163032a7ea055-101-Overig,CivilRights,"""Ik krijg al dertien jaar geen hulp.De **minister** verlengt en verergert het lijden.Ik kan pas een normaal leven leven beginnen als de staat verantwoordelijkheid neemt en mijn schade vergoedt.''",N,0.6666666666666666,R,N,N
500,18ba1b51856174ce93eb22cd3e3bb1900a1ab37b5eb9ebf9739039a7-122-CDA,CivilRights,"Recenter waren veel aanhangers teleurgesteld over de omgang met boeren in de stikstofdiscussie, waarna velen hun weg naar BBB en nu ook naar NSC (beide geleid door een ex-CDA'er) vonden.Het **CDA** zegt zich nu af te keren van het neoliberalisme.Normen, waarden en naar elkaar om kijken, staan weer hoog in het vaandel.",R,0.6666666666666666,R,N,R
500,18ba1b51856174ce93eb22cd3e3bb1900a1ab37b5eb9ebf9739039a7-130-CDA,CivilRights,"Verschillende nederlagen, het vertrek van Omtzigt en recent Mona Keijzer, en slechte peilingen.**Bontenbal** zegt niet bij de pakken neer te zitten.Hij wil met ""met fris gemoed aan de slag"", maar het CDA grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.",R,0.6666666666666666,R,N,R
500,18ba1b51856174ce93eb22cd3e3bb1900a1ab37b5eb9ebf9739039a7-132-CDA,CivilRights,"Hij wil met ""met fris gemoed aan de slag"", maar het CDA grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.Kiezers en leden die dat bij het **CDA** misten stapten, de afgelopen tijd over naar de BBB en NSC, partijen die zich ook profileren op christendemocratische waarden.""Ik zou dan altijd zeggen, kies dan voor het origineel"" zei Bontenbal daarover.",R,1,R,R,R
500,18ba1b51856174ce93eb22cd3e3bb1900a1ab37b5eb9ebf9739039a7-132-NSC,CivilRights,"Hij wil met ""met fris gemoed aan de slag"", maar het CDA grijpt tegelijkertijd terug op oude thema's als normen en waarden en omkijken naar elkaar.Kiezers en leden die dat bij het CDA misten stapten, de afgelopen tijd over naar de BBB en **NSC**, partijen die zich ook profileren op christendemocratische waarden.""Ik zou dan altijd zeggen, kies dan voor het origineel"" zei Bontenbal daarover.",R,1,R,R,R
500,1ede22ff80cbdd88842908e5c422904cf7f4d719f9932803dcee232c-16-NSC,CivilRights,Meerdere lijsttrekkers spraken van een aanval op de democratie.**NSC-lijsttrekker** Pieter **Omtzigt** noemt het „volledig onacceptabel” Baudet aan te vallen.„Dit raakt de democratie hard.,L,1,L,L,L
500,1ede22ff80cbdd88842908e5c422904cf7f4d719f9932803dcee232c-18-GL/PvdA,CivilRights,„Dit raakt de democratie hard.We lijken niets geleerd te hebben van 2002 en Pim Fortuyn.” **PvdA-GroenLinks-lijsttrekker** Frans **Timmermans** schreef op X: „In een democratie bestrijden we elkaar met woorden en deze aanval valt op geen enkele manier te rechtvaardigen.”CDA-lijsttrekker Henri Bontenbal sprak van een „laffe en stompzinnige daad (…),L,1,L,L,L
500,1ede22ff80cbdd88842908e5c422904cf7f4d719f9932803dcee232c-18-Overig,CivilRights,„Dit raakt de democratie hard.We lijken niets geleerd te hebben van 2002 en Pim Fortuyn.” **PvdA-GroenLinks-lijsttrekker** Frans Timmermans schreef op X: „In een democratie bestrijden we elkaar met woorden en deze aanval valt op geen enkele manier te rechtvaardigen.”CDA-lijsttrekker Henri Bontenbal sprak van een „laffe en stompzinnige daad (…),L,1,L,L,L
500,1ede22ff80cbdd88842908e5c422904cf7f4d719f9932803dcee232c-19-CDA,CivilRights,We lijken niets geleerd te hebben van 2002 en Pim Fortuyn.” PvdA-GroenLinks-lijsttrekker Frans Timmermans schreef op X: „In een democratie bestrijden we elkaar met woorden en deze aanval valt op geen enkele manier te rechtvaardigen.”**CDA-lijsttrekker** Henri **Bontenbal** sprak van een „laffe en stompzinnige daad (…)Elke vorm van geweld is een aanval op onze democratie”.,L,1,L,L,L
500,1ede22ff80cbdd88842908e5c422904cf7f4d719f9932803dcee232c-19-Overig,CivilRights,We lijken niets geleerd te hebben van 2002 en Pim Fortuyn.” PvdA-GroenLinks-lijsttrekker Frans Timmermans schreef op X: „In een democratie bestrijden we elkaar met woorden en deze aanval valt op geen enkele manier te rechtvaardigen.”**CDA-lijsttrekker** Henri Bontenbal sprak van een „laffe en stompzinnige daad (…)Elke vorm van geweld is een aanval op onze democratie”.,L,1,L,L,L
500,21744d7323d9ce8965333f7a4a0cf8c4fd44f7c5d7413b473e1cc509-1-Denk,CivilRights,NA,L,1,L,L,L
