jobid,unit_id,topic,text,majority,agreement,Amani,Nisanur
544,17c0faccdb877c2d0e6cc8b62176221f73372ea6cd1ff380f59f5a52-20-PVV,Immigration,"„Ook in het groen.”Volgens Yesilgöz en **Wilders** is er te veel immigratie, waardoor er een enorm woningtekort is.„Ik wil de Nederlander voorrang geven, nu krijgen asielzoekers met voorrang een woning”, zei Wilders.",R,1,R,R
544,17c0faccdb877c2d0e6cc8b62176221f73372ea6cd1ff380f59f5a52-21-PVV,Immigration,"Volgens Yesilgöz en Wilders is er te veel immigratie, waardoor er een enorm woningtekort is.„Ik wil de Nederlander voorrang geven, nu krijgen asielzoekers met voorrang een woning”, zei **Wilders**.Hij doelt op asielzoekers die een verblijfsstatus hebben gekregen, de statushouders.",R,1,R,R
544,17c0faccdb877c2d0e6cc8b62176221f73372ea6cd1ff380f59f5a52-23-D66,Immigration,"Hij doelt op asielzoekers die een verblijfsstatus hebben gekregen, de statushouders.**Jetten** vond dat te makkelijk.„Mevrouw Yesilgöz liep deze zomer weg toen er een pakket lag, voor een flirt met de PVV.”",N,1,N,N
544,17c0faccdb877c2d0e6cc8b62176221f73372ea6cd1ff380f59f5a52-6-D66,Immigration,"Amsterdam Partijen van links tot rechts vinden dat er meer moet worden gebouwd, maar lijsttrekkers verschillen behoorlijk over de manier waarop en vooral voor wie.Tijdens het RTL-debat botsten PVV-leider Wilders en **D66-voorman** **Jetten** over de huisvesting van asielzoekers met verblijfsstatus.„Er is een belangrijke reden waarom je statushouders een huis geeft, we willen dat ze meedoen”, zei Jetten over huisvesten met voorrang.",L,1,L,L
544,17c0faccdb877c2d0e6cc8b62176221f73372ea6cd1ff380f59f5a52-6-PVV,Immigration,"Amsterdam Partijen van links tot rechts vinden dat er meer moet worden gebouwd, maar lijsttrekkers verschillen behoorlijk over de manier waarop en vooral voor wie.Tijdens het RTL-debat botsten **PVV-leider** **Wilders** en D66-voorman Jetten over de huisvesting van asielzoekers met verblijfsstatus.„Er is een belangrijke reden waarom je statushouders een huis geeft, we willen dat ze meedoen”, zei Jetten over huisvesten met voorrang.",N,0.5,N,R
544,17c0faccdb877c2d0e6cc8b62176221f73372ea6cd1ff380f59f5a52-7-D66,Immigration,"Tijdens het RTL-debat botsten PVV-leider Wilders en D66-voorman Jetten over de huisvesting van asielzoekers met verblijfsstatus.„Er is een belangrijke reden waarom je statushouders een huis geeft, we willen dat ze meedoen”, zei **Jetten** over huisvesten met voorrang.„Dat kan toch geen reden zijn om ze dan maar met voorrang een woning te geven”, sneerde Wilders.",L,1,L,L
544,17c0faccdb877c2d0e6cc8b62176221f73372ea6cd1ff380f59f5a52-8-PVV,Immigration,"„Er is een belangrijke reden waarom je statushouders een huis geeft, we willen dat ze meedoen”, zei Jetten over huisvesten met voorrang.„Dat kan toch geen reden zijn om ze dan maar met voorrang een woning te geven”, sneerde **Wilders**.„Terwijl Nederlanders zó lang op een wachtlijst staan.”",N,0.5,N,R
544,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-61-VVD,Immigration,"In de gemeenteraad wist ze een locatie voor raamprostitutie gesloten te krijgen, vanwege de daar heersende misstanden.In de afgelopen kabinetscrisis benadrukte ze dat haar partij een gezinspartij is, en daarom niet kon instemmen met het beperken van de gezinshereniging voor statushouders, zoals de **VVD** wil.Bikker is lid van een kerkgemeente die zich rekent tot de meest orthodoxe vleugel binnen de Protestantse Kerk Nederland (PKN).",R,1,R,R
544,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-62-CU,Immigration,"In de afgelopen kabinetscrisis benadrukte ze dat haar partij een gezinspartij is, en daarom niet kon instemmen met het beperken van de gezinshereniging voor statushouders, zoals de VVD wil.**Bikker** is lid van een kerkgemeente die zich rekent tot de meest orthodoxe vleugel binnen de Protestantse Kerk Nederland (PKN).De ChristenUnie is in 2000 voortgekomen uit twee traditioneel gereformeerde partijen (GPV en RPF), maar inmiddels zijn ook veel evangelische christenen lid en actief voor de partij.",L,1,L,L
544,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-65-CU,Immigration,"Dat heeft de sfeer in de partij en de koers beïnvloed.Bij medisch-ethische onderwerpen als abortus en euthanasie staat de **ChristenUnie** nog steeds op de rem, maar op sociaaleconomisch gebied en migratie kijkt de partij steeds meer naar links.Bewogenheid met de kwetsbaren, in Nederland en de rest van de wereld, is een speerpunt.",N,1,N,N
544,6d559107492cf53b3d1d0f4642309278c887b32addf36185b08c7ba9-25-PVV,Immigration,"Wist u dat wij op de redactie een speciale kluis hebben met de beroemde chocoladeletters?Geert **Wilders** mag er graag in graaien, dus ik gok op iets met ’ASIELSTOP NU!’En een lief fotootje van zijn asielkatten Noortje en Pluisje.",N,0.5,R,N
544,982fc8fc3bf203cacbaf781b3348fe7e471900041b59b5744bee0eb1-33-Denk,Immigration,"'Allemaal lijden ze onder een scala van beleidsmaatregelen in een systeem van discriminatie en apartheid', aldus de Amerikaanse Midden-Oosten-kenner Yousef Munayyer.Munayyer, Tlaib, **Denk** en Bij1:allemaal pleiten ze voor een eenstaatoplossing - een seculiere democratische staat waar alle Joodse en Arabische inwoners stemrecht hebben.",N,1,N,N
544,982fc8fc3bf203cacbaf781b3348fe7e471900041b59b5744bee0eb1-45-PVV,Immigration,"In deze kringen heerst de overtuiging dat Palestijnen in Jordanië moeten wonen.Ook Geert **Wilders** is pleitbezorger van deze 'oplossing', zo staat in zijn verkiezingsprogramma.Intussen is 'from the river to the sea' overal.",N,1,N,N
544,9d5cf4bef0b4e3bd9e33ed0ec5609adea65557949f1bedb1220eba51-23-PVV,Immigration,"Over de classificatie van politieke partijen bestaat evengoed debat, maar politicologen maken veel gebruik van de rubricering door The PopuList, een initiatief vanuit de Universiteit van Amsterdam, en van het Amerikaanse onderzoekscentrum Pew.Beide classificeren partijen als de Poolse PiS, het Hongaarse Fidesz, de Zweden-Democraten (SD), de Nederlandse **PVV**, de Fratelli d’Italia van de Italiaanse premier Giorgia Meloni, de Duitse AfD, het Vlaams Belang en het Franse Rassemblement National (RN) als radicaal-rechts en populistisch.BBB is volgens The PopuList ook populistisch, en vanwege haar strenge immigratiestandpunt een grensgeval van radicaal-rechts.",N,1,N,N
544,9d5cf4bef0b4e3bd9e33ed0ec5609adea65557949f1bedb1220eba51-25-VVD,Immigration,"BBB is volgens The PopuList ook populistisch, en vanwege haar strenge immigratiestandpunt een grensgeval van radicaal-rechts.De **VVD** neigt volgens The PopuList ook naar radicaal-rechts, maar is niet als grensgeval aangemerkt omdat het uitsluiten van migranten niet zou horen bij de kernideologie van de partij.NSC van Pieter Omtzigt is weliswaar kritisch op het establishment, maar niet populistisch, volgens het team van The PopuList, omdat de partij niet ‘het goede volk’ tegenover ‘de slechte elite’ plaatst.",L,0.5,N,L
544,9d5cf4bef0b4e3bd9e33ed0ec5609adea65557949f1bedb1220eba51-26-NSC,Immigration,"De VVD neigt volgens The PopuList ook naar radicaal-rechts, maar is niet als grensgeval aangemerkt omdat het uitsluiten van migranten niet zou horen bij de kernideologie van de partij.**NSC** van Pieter **Omtzigt** is weliswaar kritisch op het establishment, maar niet populistisch, volgens het team van The PopuList, omdat de partij niet ‘het goede volk’ tegenover ‘de slechte elite’ plaatst.Uit onderzoek van dat team bleek dat bij nationale verkiezingen in Europa vorig jaar 32 procent van de stemmen naar een populistische of een andere anti-establishmentpartij ging.",N,1,N,N
544,9d5cf4bef0b4e3bd9e33ed0ec5609adea65557949f1bedb1220eba51-60-Denk,Immigration,"Een relatief gelukkige en stabiele samenleving, zonder hoge werkloosheid of migratiegolven, en toch hebben jullie radicaal-rechts populisme.”**Denk** ook aan het minarettenverbod in Zwitserland, in 2009.Heel Zwitserland telde maar vier minaretten, die niet eens opriepen tot gebed.",N,1,N,N
