jobid,unit_id,topic,text,majority,agreement,Amani,Nel,Nisanur,Sascha,n.p.reesink@student.vu.nl
555,168838aaf49004216eddf47876ccc156efc6fbd2b8918215d248e877-20-NSC,Education,"Van Strien vindt dat de omroep terug moet naar de ""kerntaken"" van onderzoeksjournalistiek, educatie, cultuur en sport.De partij van Pieter **Omtzigt** **NSC** (Nieuw Sociaal **Contract**) staat hoog in de peilingen en wil nog een stap verder gaan.In haar programma zegt NSC dat ze één NPO-zender wil schrappen.",R,0.6,N,R,R,N,R
555,176f7075f752f558c712cc6051b17ed7d6d79143000e2fc8e5cf8744-30-GL/PvdA,Education,"Terwijl Arts - hulde!- rustig uitlegde dat de afgelopen twee decennia was gebleken dat we de verantwoordelijkheid voor goed onderwijs niet aan de schoolbesturen kunnen overlaten - in de jaren dat zij alle vrijheid hebben, gingen de leerprestaties achteruit, groeide het lerarentekort en liepen veel leraren weg - viel **Timmermans'** mond bijna open, alsof hij nieuwe dingen hoorde.Kennelijk was hij nooit bijgepraat door partijgenoot Marjolein Moorman (die een uitstekende onderwijsminister zou zijn).",N,1,N,N,N,N,N
555,2a9045ed15ac8141a6ad3e1441e908ea6e1f318c6dcae09495bd0d2a-5-CU,Education,"Van de 17 grootste partijen zijn er maar vier die aparte teksten hebben gemaakt voor laaggeletterde Nederlanders, zo blijkt bij een analyse van de NOS van de websites van de partijen.D66 heeft een tekst in 'begrijpelijke' taal, GroenLinks/PvdA in 'heldere' taal en de **ChristenUnie** in 'gewone taal'.En dat gaat de Partij voor de Dieren ook doen, maar die is er nog mee bezig.",N,0.8,L,N,N,N,N
555,3e7a61003e736d8b85008a07b3408eab41fd63385e2852caa79351ff-30-VVD,Education,"Paternotte (D66) stelde zich wat gematigder op en wil de rente alleen verlagen voor de leenstelselgeneratie, waarbij hij de praktische bezwaren van zijn partijgenoot Dijkgraaf achterwege laat.Het zijn vooral de voormalige coalitiepartijen D66 en **VVD** die door de aanwezige politici op het matje worden geroepen, aangezien zij medeverantwoordelijk zijn voor het afschaffen van de basisbeurs.Het CDA, dat bij het afschaffen al een felle tegenstander was, stelt zich kritisch op naar de voormalige coalitiegenoten.",R,1,R,R,R,R,R
555,41b05d16f507b2f992ff4c088df97a365d5a26d994e8aa3c390cc3c8-47-PVV,Education,Organisatoren van volkscultuur worden beter ondersteund en volkscultuur wordt een volwaardig onderdeel van de culturele basisinfrastructuur.**PVV**De PVV houdt van Nederland.,N,0.6,N,L,R,N,N
555,52bfde2181fdbb35d890eab060c5d005a220e2735fad2cb1d3793bb5-50-GL/PvdA,Education,"""Buitenlandse studenten kunnen nu met zeven uur werk al een basisbeurs krijgen.Dat moet je zeggen tegen de pechgeneraties die door VVD en **PvdA** een tijd geen beurs kregen.""Wilders (PVV) wil een asielstop, maar op weg naar zo'n asielstop is ook al inperking mogelijk, zegt hij.",R,1,R,R,R,R,R
555,54c9f17e97be04f4894ef6728dfa1499524835af2fa06ee013ca9b4b-138-Overig,Education,Dus zorg dat er voor iedereen een bieb met koffie dichtbij is.'De **partijleider** van de Partij voor de Dieren staat bekend om haar liefde voor weerbarstige gitaarmuziek.Deze Dostojevski lijkt daarmee te rijmen.,N,1,N,N,N,N,N
555,5ac382e189e37477d1d74f5fbaec5db9b733ca6b26fa13fbf01168b1-69-PvdD,Education,Het is vast geen toeval dat dit precies het bedrag is dat onder Rutte I werd bezuinigd op cultuur.Ook de **PvdD** wil meer geld voor cultuur.Een woordvoerder mailt dat het om 200 miljoen euro gaat en schrijft inderdaad:,L,1,L,L,L,L,L
555,66a6c0ae19248e813002033e1916adeecd125195cd4e4b4ddbe57fb3-18-Overig,Education,"Dat valt op te maken uit de doorrekeningen van het Centraal Planbureau (CPB).Volgens **VVD-Kamerlid** Pim van Strien moet de publieke omroep toekomstbestendig, transparanter en efficiënter worden.Van Strien vindt dat de omroep terug moet naar de ""kerntaken"" van onderzoeksjournalistiek, educatie, cultuur en sport.",N,1,N,N,N,N,N
555,66a6c0ae19248e813002033e1916adeecd125195cd4e4b4ddbe57fb3-20-NSC,Education,"Van Strien vindt dat de omroep terug moet naar de ""kerntaken"" van onderzoeksjournalistiek, educatie, cultuur en sport.Pieter Omtzigts partij **NSC** staat hoog in de peilingen en wil nog een stap verder gaan.In zijn programma zegt NSC dat het één NPO-zender wil schrappen.",R,0.6,N,R,R,N,R
555,6dc4cb22f490afd82e0be5028b07ed0867e8787efd14e7964c2957ef-12-Volt,Education,"ChristenUnie enD66 willen een eigen bijdrage in de wijkverpleging invoeren, **Volt** schrapt de basisbeurs voor studenten die thuis wonen.En Ja21 en SGP laten het overheidstekort verder oplopen.",R,1,R,R,R,R,R
555,7631e8623dc532f2dbd31297e0ef2dfcab53ad8be49abf92d7b4e24c-17-NSC,Education,"Met name uitspraken van Pieter Omtzigt, leider van de partij die volgens de peilingen bij de verkiezingen goede kans maakt de grootste te worden, hebben de technici doen schrikken.Bij tv-programma Op1 zei **Omtzigt** dat Nederlands de voertaal moet worden op universiteiten.'Dat is een veel scherper standpunt dan in zijn verkiezingsprogramma staat', concludeert Dohmen-Jansen.",R,0.8,R,N,R,R,R
555,89d413ec5bc0972acdf26e9899562bf7ae6009ddab3517db387b34a0-25-GL/PvdA,Education,"Dat leidt wel tot een spanningsveld.De samenwerking zet allereerst de ruimte voor fundamentele wetenschap onder druk, waaraan veel onderzoekers en algemene universiteiten hechten, ook al benadrukken partijen als D66, Volt en **GroenLinks-PvdA** het belang van niet-toepassingsgericht onderzoek.Daarnaast waken partijen paradoxaal genoeg voor oneigenlijke beïnvloeding van wetenschappers.",L,0.8,L,L,L,L,N
555,8dd8c172c2a1295bddf754a8a12b1d02b0c0cccbd614f81d55bc10a9-24-VVD,Education,"Er is op dit moment niet genoeg capaciteit om alle kinderen die in aanmerking komen de voorschool aan te bieden.Peuterspeelzalen en kinderdagverblijven kampen met een „zorgwekkend” tekort aan beschikbare pedagogisch medewerkers, schreef demissionair minister Mariëlle Paul (Onderwijs, **VVD**) recent in een brief aan de Kamer.Volgens de VVD kan het personeelstekort worden opgelost door nauwere samenwerking tussen kinderdagverblijven en scholen.",N,1,N,N,N,N,N
