jobid,unit_id,topic,text,majority,agreement,Amani,Karishma,Nel,Nisanur,Sascha,jellevanelburg@gmail.com,n.p.reesink@student.vu.nl
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-21-GL/PvdA,Environment,"Als ons klimaatbeleid nu stagneert, dan gaan we onze klimaatdoelen nooit meer halen.Om deze reden merkte Frans **Timmermans** tijdens zijn Abel Herzberglezing in september op dat Nederland behoefte heeft aan kathedralenbouwers, die het geduld en de moed hebben om Nederland toekomstbestendig te maken.Dat betekent vooral: welvaart beter verdelen, rechtsstaat bestendigen, klimaatcrisis aanpakken.",L,1,L,L,L,L,L,L,L
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-25-BBB,Environment,"Toch geven de peilingen aan dat Nederland weinig behoefte heeft aan kathedralen.Een coalitie met VVD, PVV, NSC en **BBB** ligt namelijk voor de hand.Vier partijen die allemaal geen klimaatbeleid willen voeren waarmee de opwarming tot 1,5 graad kan worden beperkt.",R,1,R,R,R,R,R,R,R
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-25-NSC,Environment,"Toch geven de peilingen aan dat Nederland weinig behoefte heeft aan kathedralen.Een coalitie met VVD, PVV, **NSC** en BBB ligt namelijk voor de hand.Vier partijen die allemaal geen klimaatbeleid willen voeren waarmee de opwarming tot 1,5 graad kan worden beperkt.",R,1,R,R,R,R,R,R,R
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-25-PVV,Environment,"Toch geven de peilingen aan dat Nederland weinig behoefte heeft aan kathedralen.Een coalitie met VVD, **PVV**, NSC en BBB ligt namelijk voor de hand.Vier partijen die allemaal geen klimaatbeleid willen voeren waarmee de opwarming tot 1,5 graad kan worden beperkt.",R,1,R,R,R,R,R,R,R
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-25-VVD,Environment,"Toch geven de peilingen aan dat Nederland weinig behoefte heeft aan kathedralen.Een coalitie met **VVD**, PVV, NSC en BBB ligt namelijk voor de hand.Vier partijen die allemaal geen klimaatbeleid willen voeren waarmee de opwarming tot 1,5 graad kan worden beperkt.",R,1,R,R,R,R,R,R,R
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-28-BBB,Environment,"Vier partijen die allemaal zijn berispt door de Nederlandse Orde van Advocaten, omdat de plannen uit hun verkiezingsprogramma’s afbreuk doen aan de rechtsstaat.Terwijl links discussieert over ideologische principekwesties, lopen Yesilgöz, Wilders, Omtzigt en Van der **Plas** zich warm voor een cynisch potje coalitiekoehandel.Een stuk minder immigratie voor Omtzigt, een stuk minder klimaatbeleid voor Van der Plas.",R,0.5714285714285714,R,N,R,R,N,R,N
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-29-BBB,Environment,"Terwijl links discussieert over ideologische principekwesties, lopen Yesilgöz, Wilders, Omtzigt en Van der Plas zich warm voor een cynisch potje coalitiekoehandel.Een stuk minder immigratie voor Omtzigt, een stuk minder klimaatbeleid voor Van der **Plas**.Meer belastingvoordelen voor multinationals voor Yesilgöz, minder rechtsbescherming voor vluchtelingen voor Wilders.",R,0.7142857142857143,R,N,R,R,N,R,R
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-33-PVV,Environment,"Vriendelijk bedankt, het was prettig zaken met u te doen.Yesilgöz zal als beschermvrouwe van het klimaat **Wilders** ervan moeten weerhouden om ‘al het klimaatbeleid in de shredder’ te doen belanden, terwijl Van der Plas genoegzaam achterover leunt.Omtzigt zal de ambitie om de veestapel in te krimpen snel laten varen, als hij daarvoor in de plaats steun krijgt voor zijn Constitutioneel Hof, de wassen neus die hij presenteert als panacee voor alle problemen.",R,0.8571428571428571,R,N,R,R,R,R,R
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-33-VVD,Environment,"Vriendelijk bedankt, het was prettig zaken met u te doen.**Yesilgöz** zal als beschermvrouwe van het klimaat Wilders ervan moeten weerhouden om ‘al het klimaatbeleid in de shredder’ te doen belanden, terwijl Van der Plas genoegzaam achterover leunt.Omtzigt zal de ambitie om de veestapel in te krimpen snel laten varen, als hij daarvoor in de plaats steun krijgt voor zijn Constitutioneel Hof, de wassen neus die hij presenteert als panacee voor alle problemen.",L,0.8571428571428571,L,N,L,L,L,L,L
558,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-34-NSC,Environment,"Yesilgöz zal als beschermvrouwe van het klimaat Wilders ervan moeten weerhouden om ‘al het klimaatbeleid in de shredder’ te doen belanden, terwijl Van der Plas genoegzaam achterover leunt.**Omtzigt** zal de ambitie om de veestapel in te krimpen snel laten varen, als hij daarvoor in de plaats steun krijgt voor zijn Constitutioneel Hof, de wassen neus die hij presenteert als panacee voor alle problemen.Deze race to the bottom betekent niet alleen de stagnatie van het klimaatbeleid, maar ook de afbrokkeling van de rechtsstaat.",N,0.5714285714285714,R,N,N,N,N,R,R
