jobid,unit_id,topic,text,majority,agreement,Nel,Nisanur,Wouter
599,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-147-GL/PvdA,Environment,"Deze uitspraak wordt ook gebruikt door terroristische organisaties als Hamas en wordt gezien als een oproep tot de vernietiging van Israël.**Timmermans** zegt in het tv-programma Goedemorgen Nederland dat mensen door dit soort dingen afhaken.""Terwijl ik zou willen dat iedereen zich druk maakt over het klimaat en niet alleen maar één kant van het politieke spectrum.""",L,1,L,L,L
599,02cba6b801518598e5f2d2a34ef8677a6d254e9494a3abdeb9297683-45-CDA,Environment,De CDA-lijsttrekker speelt naast orgel ook piano en saxofoon.**Bontenbal** wil er graag voor zorgen dat kinderen met een beperking ook kunnen meedoen aan sport.En hij wil geld uitgeven om het milieu te verbeteren.,L,1,L,L,L
599,063825bf9ea1d03ea93460decdb9757c24a9889bf544533be5b22cf2-2-PvdD,Environment,De lijsttrekker:Esther **Ouwehand** (Partij voor de **Dieren**)Nederland moet klimaatneutraal zijn in 2030.,L,1,L,L,L
599,06531368c3a9d5cdf1aad913c02c675e36142bd647baf1f3a1f2e8d0-14-FvD,Environment,Ze hebben dan ook totaal verschillende redenen voor hun stellingname.**FvD** wil volledig stoppen met duurzaamheidseisen aan particulieren en bedrijven.De PvdD daarentegen wil verduurzaming van bedrijven juist realiseren door de geldkraan dicht te draaien voor wie niet voldoende duurzaam is.,R,1,R,R,R
599,0a1c42e4c576f272d5b50b3b18a057ef0b8222b24dd79e5f6e9ecf07-51-GL/PvdA,Environment,Inbinden**PvdA/GL-leider** **Timmermans** laat zijn eigen achterban in de kou staan.Zijn ambitieuze klimaatplannen leggen iedereen in het dagelijks leven beperkingen op.,L,1,L,L,L
599,0e71048d1bdfaa8271a82ebe817c3010eb3bc86d52d54d66e37f454e-139-PvdD,Environment,Alle plannen met betrekking tot het klimaat kosten ook geld.Daarover gaan Esther **Ouwehand** (**PvdD**) en Mirjam Bikker (CU) in debat.Ze willen beiden dat de grote vervuilers gaan betalen en dat die rekening voornamelijk niet bij de burger komt.,L,1,L,L,L
599,0e71048d1bdfaa8271a82ebe817c3010eb3bc86d52d54d66e37f454e-159-BBB,Environment,"niet enthousiast over windmolensHet gaat nu over het klimaat en **BBB-leider** Van der **Plas** voelt weinig voor veel windmolens op zee en grote parken op het land.""Het zijn wel 30.000 Eiffeltorens op zee.""",R,1,R,R,R
599,1e39efad1c48dbc29f222adb4d2724b4423fb04a08e25a1004509b7d-11-Overig,Environment,Van het belachelijk maken van iemands postuur (Wilders en VI Inside over Timmermans).Van beweren dat er de afgelopen jaren 'helemaal niets' aan een probleem is gedaan (Timmermans over **D66-klimaat-minister** Jetten).Van roepen dat Nederland kapot is gemaakt (verschillende lijsttrekkers over Rutte en Kaag).,N,1,N,N,N
599,27ba51a11b44a9f3840663e4ebf89d8c8f73acfb9689003ed9c193da-4-NSC,Environment,"Partijen als NSC en VVD tamboereren op die bestaanszekerheid, maar laten zich weinig gelegen liggen aan klimaat, natuur en milieu.Dat daarbij **NSC** en andere partijen, die het hardst roepen om transparantie bij de overheid, hun eigen partijprogramma ook op deze thematiek niet laten doorrekenen (Trouw, 9 november), is een gotspe.Rob Zakee Bunnik",R,1,R,R,R
599,29ba345cd965ab0e095ab1010e3d832b95b2c1b53001c657d97892fb-1-BBB,Environment,NA,R,1,R,R,R
599,32f38cdef8ffe8acbbe8850903dd3cf92c288b8698daa431d2e1adb8-10-CU,Environment,"Verder zijn veel partijen voor een verbod op de slechtste energielabels voor huurhuizen.De VVD bijvoorbeeld wil vanaf 2030 minimaal energielabel D, de **ChristenUnie** gaat met een ondergrens van energielabel C nog een stapje verder.16:48",L,1,L,L,L
599,32f38cdef8ffe8acbbe8850903dd3cf92c288b8698daa431d2e1adb8-31-GL/PvdA,Environment,"D66-lijsttrekker Jetten vindt de kritiek van GroenLinks-PvdA-voorman Timmermans op zijn klimaatbeleid ""een beetje klein en kinderachtig"".**Timmermans** zei vanmorgen dat Jetten deel uitmaakt van een kabinet dat op dit gebied ""niets heeft gedaan"".Volgens de GroenLinks-PvdA-lijsttrekker ""staan we in Nederland al duizend dagen stil"".",L,0.6666666666666666,N,L,L
599,32f38cdef8ffe8acbbe8850903dd3cf92c288b8698daa431d2e1adb8-95-Overig,Environment,"De GroenLinks-PvdA-voorman voegde eraan toe dat hij de afgelopen twee maanden in Nederland ook al met veel mensen heeft gepraat.Timmermans leverde verder scherpe kritiek op het klimaatbeleid van **D66-lijsttrekker** en demissionair **minister** Jetten.Volgens Timmermans maakt Jetten deel uit van een kabinet dat op dit gebied ""niets heeft gedaan"":",L,0.3333333333333333,N,R,L
599,33252be5b58974e97b43cf76a28073efae6dfdf1f05a886f5cdd7692-32-D66,Environment,"De GroenLinks-PvdA-voorman voegde eraan toe dat hij de afgelopen twee maanden in Nederland ook al met veel mensen heeft gepraat.Timmermans leverde verder scherpe kritiek op het klimaatbeleid van **D66-lijsttrekker** en demissionair minister **Jetten**.Volgens Timmermans maakt Jetten deel uit van een kabinet dat op dit gebied ""niets heeft gedaan"":",L,0.3333333333333333,N,R,L
