jobid,unit_id,topic,text,majority,agreement,Nisanur,n.p.reesink@student.vu.nl
632,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-16-GL/PvdA,Economic,Angelique Bosselaar**Timmermans**Timmermans probeert zich in de debatten voor komende verkiezingen te profileren als de sympathieke weldoener die de armoede in dit land zal halveren.,L,1,L,L
632,01dfe88160d086213654effae70d4ab7a72a914b4ddc93d0d25a6039-17-GL/PvdA,Economic,"Timmermans**Timmermans** probeert zich in de debatten voor komende verkiezingen te profileren als de sympathieke weldoener die de armoede in dit land zal halveren.Om dit te realiseren komt hij met een plan om niet alleen de bedrijfswinsten af te romen, maar ook om de financieel draagkrachtigen, o.a. miljonairs, eens flink aan te pakken.",L,1,L,L
632,1742b7fd0d434d0d4fe593f078025ac4ea517994e3170aef00e2f999-7-SP,Economic,"""Het opvangen van kinderen is geen verdienmodel"", vindt de ChristenUnie.Volgens de **SP** hebben investeerders maar één doel: ""Winst maken"".En NSC stelt dat we ""zijn doorgeschoten in een neoliberaal model waarin het rendement van aandeelhouders allesbepalend lijkt te zijn"".",L,0.5,N,L
632,1742b7fd0d434d0d4fe593f078025ac4ea517994e3170aef00e2f999-8-NSC,Economic,"Volgens de SP hebben investeerders maar één doel: ""Winst maken"".En **NSC** stelt dat we ""zijn doorgeschoten in een neoliberaal model waarin het rendement van aandeelhouders allesbepalend lijkt te zijn"".Daar komt bij dat de overheid de kinderopvang in 2027 bijna gratis wil maken voor ouders door het zelf te betalen.",L,1,L,L
632,1ccfc024243f1bf4244593c297a50c714d1e8b93f631ab3634ebb0b2-3-NSC,Economic,"In Brussel kijkt men met belangstelling en verbazing naar de grillige Nederlandse politiek.,Best lastig te vertalen: bestaanszekerheid.Zelfs Pieter **Omtzigt**, die het thema als lijsttrekker van Nieuw Sociaal **Contract** (**NSC**) bovenaan zijn politieke agenda heeft staan, haperde onlangs even toen een Duitse journalist hem om een vertaling vroeg (antwoord:‘Existenzsicherung’).",L,1,L,L
632,3b921af636b96420d95bfe2cfc667937eb94384ab8dc80f1ddb312a1-11-CDA,Economic,"Bij Rutte I was een centrale rol voor de PVV weggelegd, nadat Geert Wilders een puike verkiezingswinst had geboekt.De PVV werd gedoger van een rechts kabinet van VVD en **CDA**, dat ingrijpen beloofde na jaren van vermeende stilstand.Rutte I zat anderhalf jaar, tot de PVV extra bezuinigingen niet trok.",N,1,N,N
632,3b921af636b96420d95bfe2cfc667937eb94384ab8dc80f1ddb312a1-11-PVV,Economic,"Bij Rutte I was een centrale rol voor de PVV weggelegd, nadat Geert Wilders een puike verkiezingswinst had geboekt.De **PVV** werd gedoger van een rechts kabinet van VVD en CDA, dat ingrijpen beloofde na jaren van vermeende stilstand.Rutte I zat anderhalf jaar, tot de PVV extra bezuinigingen niet trok.",N,0.5,R,N
632,3b921af636b96420d95bfe2cfc667937eb94384ab8dc80f1ddb312a1-11-VVD,Economic,"Bij Rutte I was een centrale rol voor de PVV weggelegd, nadat Geert Wilders een puike verkiezingswinst had geboekt.De PVV werd gedoger van een rechts kabinet van **VVD** en CDA, dat ingrijpen beloofde na jaren van vermeende stilstand.Rutte I zat anderhalf jaar, tot de PVV extra bezuinigingen niet trok.",N,1,N,N
632,3b921af636b96420d95bfe2cfc667937eb94384ab8dc80f1ddb312a1-12-PVV,Economic,"De PVV werd gedoger van een rechts kabinet van VVD en CDA, dat ingrijpen beloofde na jaren van vermeende stilstand.Rutte I zat anderhalf jaar, tot de **PVV** extra bezuinigingen niet trok.Met het vertrek van premier Rutte verwelkomt Nederland wederom een politieke belofte die de boel belooft op te schudden.",N,0.5,R,N
632,3f6620d9662b7a8a037dbe56a63486913610015db6ed5d0974e54185-18-VVD,Economic,"Beiden schermden ze bij het EenVandaag-debat in Ahoy met de effecten van de CPB-doorrekeningen van hun programma’s.**Yesilgöz** verweet PvdA/GL dat de belastingverhogingen die hij voorstaat, funest uitpakken voor ondernemers: „U plukt mensen kaal.”„Ze doet het iedere keer weer, de zaken van mij en van Jetten verkeerd voorstellen”, zei Timmermans, die in het heetst van de strijd opnieuw zijn stem verhief.",R,1,R,R
632,3f6620d9662b7a8a037dbe56a63486913610015db6ed5d0974e54185-19-D66,Economic,"Yesilgöz verweet PvdA/GL dat de belastingverhogingen die hij voorstaat, funest uitpakken voor ondernemers: „U plukt mensen kaal.”„Ze doet het iedere keer weer, de zaken van mij en van **Jetten** verkeerd voorstellen”, zei Timmermans, die in het heetst van de strijd opnieuw zijn stem verhief.Het was niet de eerste keer dat hij tijdens het debat zo probeerde te overtuigen.",L,0.5,L,N
632,42e1c7278c7526ed24713afd5f9b23c820d180d083a9c6bcf163bde8-23-GL/PvdA,Economic,"Ze kijkt ontevreden bij zijn antwoord, haar gezicht licht op als Wilders over hem heen bulldozert.**Timmermans** met z’n 15.000 euro wachtgeld kan misschien wachten op een oplossing, zei Wilders, maar „deze mevrouw kan haar 385 euro nú niet betalen.”Na de uitzending werd duidelijk dat deze mevrouw een PVV-stemmer was.",N,1,N,N
632,42e1c7278c7526ed24713afd5f9b23c820d180d083a9c6bcf163bde8-23-PVV,Economic,"Ze kijkt ontevreden bij zijn antwoord, haar gezicht licht op als Wilders over hem heen bulldozert.Timmermans met z’n 15.000 euro wachtgeld kan misschien wachten op een oplossing, zei **Wilders**, maar „deze mevrouw kan haar 385 euro nú niet betalen.”Na de uitzending werd duidelijk dat deze mevrouw een PVV-stemmer was.",N,1,N,N
632,42e1c7278c7526ed24713afd5f9b23c820d180d083a9c6bcf163bde8-24-PVV,Economic,"Timmermans met z’n 15.000 euro wachtgeld kan misschien wachten op een oplossing, zei Wilders, maar „deze mevrouw kan haar 385 euro nú niet betalen.”Na de uitzending werd duidelijk dat deze mevrouw een **PVV-stemmer** was.Ze stond lachend op de foto met Wilders, die ze ontmoette toen ze op vakantie naar Hongarije met hem in vliegtuig bleek te zitten.",N,1,N,N
632,4c9c5c55356f46153c0eb2d22ad19580c5eb1d38facd23468107f4b8-28-CDA,Economic,"In het NOS-debat botste NSC-lijsttrekker Omtzigt hard met CDA-leider en oud-partijgenoot Bontenbal.„Ik hoor niet meer bij het oude **CDA**, ik wil daar ook niet meer bij horen”, haalde Omtzigt uit.„Ik ben het zat dat zij het probleem ontkennen, dat tienduizenden gezinnen onder het bestaansminimum leven.”",N,0.5,N,R
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-21-CDA,Economic,"Bontenbal reageerde verontwaardigd en had de ""harde aanval niet verwacht"".Ook ""uw vingerafdrukken"" zitten op het **CDA-beleid**, aldus de **CDA'er** richting Omtzigt.SP-leider Marijnissen, die er ook bij stond, held zich hierbij afzijdig, maar merkte wel op dat beiden te weinig concreet aan bestaanszekerheid doen.",N,1,N,N
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-21-NSC,Economic,"Bontenbal reageerde verontwaardigd en had de ""harde aanval niet verwacht"".Ook ""uw vingerafdrukken"" zitten op het CDA-beleid, aldus de CDA'er richting **Omtzigt**.SP-leider Marijnissen, die er ook bij stond, held zich hierbij afzijdig, maar merkte wel op dat beiden te weinig concreet aan bestaanszekerheid doen.",N,0.5,R,N
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-22-SP,Economic,"Ook ""uw vingerafdrukken"" zitten op het CDA-beleid, aldus de CDA'er richting Omtzigt.SP-leider **Marijnissen**, die er ook bij stond, held zich hierbij afzijdig, maar merkte wel op dat beiden te weinig concreet aan bestaanszekerheid doen.""Of het nou het oude CDA is, of het nieuwe CDA, merk ik dat het veel over bestaanszekerheid gaat.""",L,0.5,N,L
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-23-CDA,Economic,"SP-leider Marijnissen, die er ook bij stond, held zich hierbij afzijdig, maar merkte wel op dat beiden te weinig concreet aan bestaanszekerheid doen.""Of het nou het oude **CDA** is, of het nieuwe **CDA**, merk ik dat het veel over bestaanszekerheid gaat.""Maar het blijft bij te veel bij woorden en te weinig daden, zei Marijnissen.",L,0.5,L,N
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-24-SP,Economic,"""Of het nou het oude CDA is, of het nieuwe CDA, merk ik dat het veel over bestaanszekerheid gaat.""Maar het blijft bij te veel bij woorden en te weinig daden, zei **Marijnissen**.In het volgende debat botsten D66 en GroenLinks-PvdA over klimaat, niet voor het eerst deze campagne.",L,0.5,N,L
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-55-FvD,Economic,"""Mensen vóór winst"", bepleitte hij.**Baudet** stelde juist dat het overgrote deel van de arbeidsmigratie kan worden gestopt door Nederlanders aan het werk te krijgen.""Anderhalf miljoen mensen staan in Nederland langs de kant.""",L,0.5,L,N
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-57-CU,Economic,"""Anderhalf miljoen mensen staan in Nederland langs de kant.""**Bikker** betoogde dat de overheid beter naar de rol van werkgevers moet kijken.""Die hebben wel de lusten, niet de lasten.""",L,1,L,L
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-71-CU,Economic,"Het laatste onderwerp voor de kleinere partijen was 'geldzorgen'.**ChristenUnie-leider** **Bikker** benadrukte dat de plannen van haar partij armoede meer dan halveren en dat ze de lasten wil verlagen van gezinnen met één kostwinner.JA21-leider Eerdmans vindt armoedebestrijding ook belangrijk, maar zei dat we ""ook niet door moeten slaan"".",L,1,L,L
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-72-JA21,Economic,"ChristenUnie-leider Bikker benadrukte dat de plannen van haar partij armoede meer dan halveren en dat ze de lasten wil verlagen van gezinnen met één kostwinner.**JA21-leider** **Eerdmans** vindt armoedebestrijding ook belangrijk, maar zei dat we ""ook niet door moeten slaan"".Zijn partij wil toeslagen afschaffen en daar een huishoudtoelage en huurtoelage voor terug voor mensen die echt niet zonder kunnen.",R,1,R,R
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-74-Denk,Economic,"Zijn partij wil toeslagen afschaffen en daar een huishoudtoelage en huurtoelage voor terug voor mensen die echt niet zonder kunnen.**Denk-leider** Van **Baarle** noemde de plannen van Eerdmans ""een ramp voor armere mensen"".JA21 is volgens hem de enige partij die ervoor zorgt dat de armoede stijgt.",L,0.5,L,N
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-74-JA21,Economic,"Zijn partij wil toeslagen afschaffen en daar een huishoudtoelage en huurtoelage voor terug voor mensen die echt niet zonder kunnen.Denk-leider Van Baarle noemde de plannen van **Eerdmans** ""een ramp voor armere mensen"".JA21 is volgens hem de enige partij die ervoor zorgt dat de armoede stijgt.",R,1,R,R
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-75-JA21,Economic,"Denk-leider Van Baarle noemde de plannen van Eerdmans ""een ramp voor armere mensen"".**JA21** is volgens hem de enige partij die ervoor zorgt dat de armoede stijgt.Hij noemt Eerdmans een omgekeerde Robin Hood, ""hij steelt van de armen en geeft aan de rijken"".",R,1,R,R
632,50c240928ffc3afa229f0ec5a0046fffc3d341382b4623eef68e8aed-76-JA21,Economic,"JA21 is volgens hem de enige partij die ervoor zorgt dat de armoede stijgt.Hij noemt **Eerdmans** een omgekeerde Robin Hood, ""hij steelt van de armen en geeft aan de rijken"".En daarmee hebben deze zeventien partijen voor de laatste keer kunnen laten zien wat de verschillen zijn.",R,1,R,R
632,5fb966b242cf87da4bfcb78276d7303f10f8dd257adfee9744f17991-25-VVD,Economic,"Een dubbeltje op zijn kant waarin ik gezinnen hielp met hun financiële problemen, en was lid van het ’Elftal tegen Armoede’ dat destijds door burgemeester Eberhard van der Laan was opgericht.Dilan was net gemeenteraadslid voor de **VVD** in Amsterdam geworden en maakte zich zorgen om de groeiende armoede onder Amsterdammers.Zij belde me en vroeg of ze samen met Marianne Poot, destijds de VVD-fractievoorzitter in Amsterdam, langs kon komen om te bespreken wat de VVD zou kunnen doen om arme Amsterdammers te helpen.",L,1,L,L
632,5fb966b242cf87da4bfcb78276d7303f10f8dd257adfee9744f17991-26-VVD,Economic,"Dilan was net gemeenteraadslid voor de VVD in Amsterdam geworden en maakte zich zorgen om de groeiende armoede onder Amsterdammers.Zij belde me en vroeg of ze samen met Marianne Poot, destijds de **VVD-fractievoorzitter** in Amsterdam, langs kon komen om te bespreken wat de **VVD** zou kunnen doen om arme Amsterdammers te helpen.Wij hebben die dag uren gepraat over de oorzaak van armoede en ideeën uitgewisseld hoe gezinnen op een effectieve en duurzame manier uit armoede geholpen zouden kunnen worden.",L,1,L,L
632,5fb966b242cf87da4bfcb78276d7303f10f8dd257adfee9744f17991-37-GL/PvdA,Economic,"Kan hij, terwijl hij nauwelijks tegenslagen heeft gekend, zich de stress van iemand met betalingsproblemen voorstellen?**PvdA/GL** zal met haar beleid pleisters blijven plakken op de armoede.Hun oplossingen komen neer op het verkwisten van vele miljarden euro’s om de bijstandsuitkeringen en de toeslagen te verhogen.",L,1,L,L
632,5fb966b242cf87da4bfcb78276d7303f10f8dd257adfee9744f17991-40-GL/PvdA,Economic,"Ze gaan de armoede in ons land zeker niet oplossen, want dan zou de partij de bulk van haar kiezers verliezen.Als het aan **PvdA/GL** ligt, dijt het ambtenarenapparaat ook nóg verder uit, want zoals er in hun verkiezingsprogramma staat ’goede publieke voorzieningen staan of vallen met voldoende personeel’.En wie gaat dat betalen?",N,1,N,N
632,5fb966b242cf87da4bfcb78276d7303f10f8dd257adfee9744f17991-42-GL/PvdA,Economic,"En wie gaat dat betalen?Ja, bij wie nog geld te halen valt natuurlijk, en dat zijn in de ogen van **PvdA/GL** degenen die door hard werken wat vermogen hebben opgebouwd en natuurlijk de ondernemers.Ach ja, de ondernemers.",L,0.5,N,L
632,5fb966b242cf87da4bfcb78276d7303f10f8dd257adfee9744f17991-44-GL/PvdA,Economic,"Ach ja, de ondernemers.Dat mkb-ondernemers verantwoordelijk zijn voor het leeuwendeel van de banen en een flink deel van de inkomsten van dit land, is kennelijk van ondergeschikt belang voor **PvdA/GL.** Armoede los je niet op door iedereen armer te maken.Zelfredzaam",N,1,N,N
632,5fb966b242cf87da4bfcb78276d7303f10f8dd257adfee9744f17991-47-NSC,Economic,"De VVD wil de armoede wél oplossen, want hoe meer mensen zelfredzaam zijn, hoe minder armoedestress er is, hoe beter de kansen voor iedereen en hoe welvarender ons land wordt.**Omtzigt** zit er met **NSC** een beetje tussenin.Wel liefde voor ondernemers, maar aan de andere kant ook weer het tegengaan van de fiscale regeling voor expats en geen Engelstalige opleidingen meer om buitenlandse studenten te weren.",R,1,R,R
632,68d83741b6d968e34550df517a78f43b32bdb9245d80d805b9b66bff-18-VVD,Economic,"Timmermans lijkt er een principiële kwestie van te maken.De afgelopen weken is er daardoor zo'n grote afstand ontstaan tussen GL-PvdA en de **VVD**, dat samenwerken tussen die partijen ongeloofwaardig is geworden.Yesilgöz gruwelt op haar beurt weer van de belastingplannen bij de sociaalgroenen.",N,1,N,N
632,68d83741b6d968e34550df517a78f43b32bdb9245d80d805b9b66bff-19-VVD,Economic,"De afgelopen weken is er daardoor zo'n grote afstand ontstaan tussen GL-PvdA en de VVD, dat samenwerken tussen die partijen ongeloofwaardig is geworden.**Yesilgöz** gruwelt op haar beurt weer van de belastingplannen bij de sociaalgroenen.De partij wil bedrijven met maar liefst 25 miljard euro extra gaan belasten.",R,1,R,R
632,68d83741b6d968e34550df517a78f43b32bdb9245d80d805b9b66bff-22-VVD,Economic,"Het land wordt daarmee volgens de VVD-leider ""kapot"" bezuinigd.Veel wil **Yesilgöz** verder niet kwijt over de fase na de verkiezingen.Zoals ze het zelf omschrijft: ""de kiezer is eerst aan zet"".",L,0.5,L,N
632,68d83741b6d968e34550df517a78f43b32bdb9245d80d805b9b66bff-37-GL/PvdA,Economic,"Laat dat nou precies de bedoeling zijn van formeren.Ook lijkt Omtzigt geen diepgewortelde bezwaren te hebben tegen **GL-PvdA**.Hij noemt de nogal forse belastingplannen van die partij ""heel gevaarlijk"".",N,1,N,N
