jobid,unit_id,topic,text,majority,agreement,Karishma,Nisanur
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-101-SP,Economic,Door de gestegen prijzen van boodschappen en energie staan geldzorgen deze verkiezingen hoog op de Haagse agenda.- Zo komt de **SP** met een eigen wetsvoorstel om het minimumloon in een klap met 20 procent te verhogen.Al komend jaar zou het minimumloon dan op 16 euro per uur moeten liggen.,L,1,L,L
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-108-CU,Economic,"Maar de leden lieten zich daardoor niet afschrikken.- D66 en **ChristenUnie** verhogen het minimumloon ook, maar dan stapsgewijs.Beide partijen gaan voor een verhoging met 10 procent.",L,1,L,L
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-108-D66,Economic,"Maar de leden lieten zich daardoor niet afschrikken.- **D66** en ChristenUnie verhogen het minimumloon ook, maar dan stapsgewijs.Beide partijen gaan voor een verhoging met 10 procent.",L,1,L,L
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-118-NSC,Economic,"De uitkeringen stijgen niet mee, al krijgen AOW'ers er 0,7 procent bij.- Veel vager is **NSC**.De partij van Pieter Omtzigt heeft de plannen niet laten doorrekenen door het Centraal Planbureau (CPB) en ook op vragen van deze krant over hoe hoog het minimumloon zou moeten zijn, bleef het stil.",N,1,N,N
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-119-NSC,Economic,"- Veel vager is NSC.De partij van Pieter **Omtzigt** heeft de plannen niet laten doorrekenen door het Centraal Planbureau (CPB) en ook op vragen van deze krant over hoe hoog het minimumloon zou moeten zijn, bleef het stil.Dus moeten kiezers het doen met de regel in het verkiezingsprogramma dat NSC het minimumloon wil 'herijken', zonder dat duidelijk is wat daarmee wordt bedoeld.",N,1,N,N
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-120-NSC,Economic,"De partij van Pieter Omtzigt heeft de plannen niet laten doorrekenen door het Centraal Planbureau (CPB) en ook op vragen van deze krant over hoe hoog het minimumloon zou moeten zijn, bleef het stil.Dus moeten kiezers het doen met de regel in het verkiezingsprogramma dat **NSC** het minimumloon wil 'herijken', zonder dat duidelijk is wat daarmee wordt bedoeld.- BBB en PVV hebben hun programma evenmin aan het CPB voorgelegd en zijn al even onduidelijk.",N,1,N,N
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-121-BBB,Economic,"Dus moeten kiezers het doen met de regel in het verkiezingsprogramma dat NSC het minimumloon wil 'herijken', zonder dat duidelijk is wat daarmee wordt bedoeld.- **BBB** en PVV hebben hun programma evenmin aan het CPB voorgelegd en zijn al even onduidelijk.Beide partijen zeggen het minimumloon te willen verhogen, maar niet met hoeveel.",L,1,L,L
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-123-BBB,Economic,"Beide partijen zeggen het minimumloon te willen verhogen, maar niet met hoeveel.**BBB** wil dat bovendien pas 'op lange termijn'.Wel willen beide partijen de uitkeringen mee laten stijgen.",L,1,L,L
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-125-CDA,Economic,"Wel willen beide partijen de uitkeringen mee laten stijgen.Het **CDA** repte in het verkiezingsprogramma nog over een 'adequate verhoging van het minimumloon', maar in de CPB-doorrekening is die niet terug te vinden.- Een afwijkend geluid is te horen bij Ja21.",N,1,N,N
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-126-JA21,Economic,"Het CDA repte in het verkiezingsprogramma nog over een 'adequate verhoging van het minimumloon', maar in de CPB-doorrekening is die niet terug te vinden.- Een afwijkend geluid is te horen bij **Ja21**.Die partij onderscheidt zich door het minimumloon juist niet te willen opkrikken, uit angst dat hogere lonen de prijzen verder zullen opdrijven, waarna de lonen weer zouden moeten stijgen.",R,1,R,R
643,08bfbe92a0a49ed3a9125c5f67940313313233bb25956d9ef9b0b748-128-JA21,Economic,NA,R,1,R,R
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-10-GL/PvdA,Economic,"""Dat ging vrij hard.""En hij plaatste ook kritische kanttekeningen bij de manier waarop **GroenLinks-PvdA** vermogensbelasting heft en de spaartaks verhoogt.VVD-lijsttrekker Yesilgöz zegt daarover in het NOS Radio 1 Journaal:",L,1,L,L
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-11-Overig,Economic,"En hij plaatste ook kritische kanttekeningen bij de manier waarop GroenLinks-PvdA vermogensbelasting heft en de spaartaks verhoogt.**VVD-lijsttrekker** Yesilgöz zegt daarover in het NOS Radio 1 Journaal:""Als je ervoor kiest de doorrekening niet te laten maken, dan hebben mensen geen idee welke keuzes je gaat maken en hoe je die gaat betalen.",N,1,N,N
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-11-VVD,Economic,"En hij plaatste ook kritische kanttekeningen bij de manier waarop GroenLinks-PvdA vermogensbelasting heft en de spaartaks verhoogt.**VVD-lijsttrekker** **Yesilgöz** zegt daarover in het NOS Radio 1 Journaal:""Als je ervoor kiest de doorrekening niet te laten maken, dan hebben mensen geen idee welke keuzes je gaat maken en hoe je die gaat betalen.",N,1,N,N
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-67-CU,Economic,"Bewogenheid met de kwetsbaren, in Nederland en de rest van de wereld, is een speerpunt.Ook bij de nieuwe lijsttrekker **Bikker**.Zij moet als relatieve onbekende proberen zetelverlies te voorkomen of te beperken.",N,1,N,N
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-77-CDA,Economic,"BBB-leider Caroline van der Plas zei bij tv-programma Vandaag Inside dat ze het verstandiger vindt als Omtzigt ervoor kiest om gewoon Kamerlid te worden in plaats van premier.Het Centraal Planbureau kwam met de doorrekeningen van de verkiezingsprogramma's van VVD, D66, GroenLinks-PvdA, **CDA**, ChristenUnie, Volt, JA21, en SGP.De plannen van de partijen zijn onder meer doorgerekend op economische groei, werkgelegenheid en armoede.",N,1,N,N
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-77-CU,Economic,"BBB-leider Caroline van der Plas zei bij tv-programma Vandaag Inside dat ze het verstandiger vindt als Omtzigt ervoor kiest om gewoon Kamerlid te worden in plaats van premier.Het Centraal Planbureau kwam met de doorrekeningen van de verkiezingsprogramma's van VVD, D66, GroenLinks-PvdA, CDA, **ChristenUnie**, Volt, JA21, en SGP.De plannen van de partijen zijn onder meer doorgerekend op economische groei, werkgelegenheid en armoede.",N,1,N,N
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-77-D66,Economic,"BBB-leider Caroline van der Plas zei bij tv-programma Vandaag Inside dat ze het verstandiger vindt als Omtzigt ervoor kiest om gewoon Kamerlid te worden in plaats van premier.Het Centraal Planbureau kwam met de doorrekeningen van de verkiezingsprogramma's van VVD, **D66**, GroenLinks-PvdA, CDA, ChristenUnie, Volt, JA21, en SGP.De plannen van de partijen zijn onder meer doorgerekend op economische groei, werkgelegenheid en armoede.",N,1,N,N
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-77-GL/PvdA,Economic,"BBB-leider Caroline van der Plas zei bij tv-programma Vandaag Inside dat ze het verstandiger vindt als Omtzigt ervoor kiest om gewoon Kamerlid te worden in plaats van premier.Het Centraal Planbureau kwam met de doorrekeningen van de verkiezingsprogramma's van VVD, D66, **GroenLinks-PvdA**, CDA, ChristenUnie, Volt, JA21, en SGP.De plannen van de partijen zijn onder meer doorgerekend op economische groei, werkgelegenheid en armoede.",N,1,N,N
643,68099ae4cf5c2774dbbb9749359ece7c3adbf6bfa2ac83ee7428146e-77-JA21,Economic,"BBB-leider Caroline van der Plas zei bij tv-programma Vandaag Inside dat ze het verstandiger vindt als Omtzigt ervoor kiest om gewoon Kamerlid te worden in plaats van premier.Het Centraal Planbureau kwam met de doorrekeningen van de verkiezingsprogramma's van VVD, D66, GroenLinks-PvdA, CDA, ChristenUnie, Volt, **JA21**, en SGP.De plannen van de partijen zijn onder meer doorgerekend op economische groei, werkgelegenheid en armoede.",N,1,N,N
