jobid,unit_id,topic,text,majority,agreement,Amani,Karishma,Nel,Nisanur,n.p.reesink@student.vu.nl
651,1c5c85d270b3c15668f4b1ea8703655d5754fc9661d238752572a105-5-GL/PvdA,Agriculture,"De lobby van de industrie en de liberale fractie proberen de wet nog verder uit te kleden, zegt Nina Holland van de lobby-waakhond Corporate Europe Observatory.**Timmermans** wilde oorspronkelijk het pesticidengebruik halveren (in 2030), het gebruik van kunstmest met 20 procent verminderen en de biologische landbouw uitbreiden tot minstens een kwart van de Europese landbouwgrond.De milieucommissie van het parlement zwakte dat eerste doel af:",L,1,L,L,L,L,NA
651,259bc0d28759cc61f4945ef52a1be79a1acac81c7be880684aa4d838-24-BBB,Agriculture,"De kans op het gedroomde premierschap, gaf Keijzer recent toe, is inmiddels verkeken.Het zat vanaf het begin niet mee, zeggen **BBB'ers**.Over stikstof en landbouw, 'kroonjuwelen' van de partij, ging het deze campagne nauwelijks - een strategische zet van andere politieke partijen, denkt BBB-campagneleider Henk Vermeer.",N,0.75,N,N,R,N,NA
651,259bc0d28759cc61f4945ef52a1be79a1acac81c7be880684aa4d838-42-Overig,Agriculture,Toch geloven BBB'ers er nog in.Afgelopen vrijdag was **kandidaat-Kamerlid** Rummenie nog op werkbezoek bij een wijn- en delicatessenwinkel in Den Haag.Hij herhaalde daar het geluid dat overal in de BoerBurgerBeweging klinkt:,N,1,N,N,N,N,NA
651,29a44da102dbca1296be932daffa33ebe64d7e07ec09439506952b2b-43-PVV,Agriculture,"Hij duldde bovendien geen kritiek van een progressief politicus die tijdens de campagne al het stikstofdoel van 2030 had weggegeven.De gevatheid die in het SBS6-debat zo goed werkte voor **Wilders**, sloeg in Ahoy dood.'U zei net dat u geen seconde te verliezen heeft', sprak hij tegen Jetten.",N,1,N,N,N,N,NA
651,6235d94ff639bb60d13031a0871347e0b8e6ab6053d1f7181e85e0d0-135-GL/PvdA,Agriculture,"Vlak voor ik het stemhokje inga, zal ik de peilingen nog eens bekijken.Mocht de PVV er heel goed voorstaan, dan zou dat mijn stem zomaar ineens richting **GroenLinks-PvdA** kunnen duwen.Al ben ik niet zo'n fan van Timmermans, omdat hij 2030 als jaartal om stikstof terug te dringen heeft laten vallen.'",N,0.8,N,N,N,R,N
651,6235d94ff639bb60d13031a0871347e0b8e6ab6053d1f7181e85e0d0-135-PVV,Agriculture,"Vlak voor ik het stemhokje inga, zal ik de peilingen nog eens bekijken.Mocht de **PVV** er heel goed voorstaan, dan zou dat mijn stem zomaar ineens richting GroenLinks-PvdA kunnen duwen.Al ben ik niet zo'n fan van Timmermans, omdat hij 2030 als jaartal om stikstof terug te dringen heeft laten vallen.'",N,1,N,N,N,N,N
651,6235d94ff639bb60d13031a0871347e0b8e6ab6053d1f7181e85e0d0-136-GL/PvdA,Agriculture,NA,N,0.5,R,N,N,R,NA
651,6235d94ff639bb60d13031a0871347e0b8e6ab6053d1f7181e85e0d0-79-BBB,Agriculture,"Ik was niet per se bang, maar ik had toch het idee dat een groot deel van de politiek de boeren weg wilde hebben.Van der **Plas** heeft tegengas gegeven.In Mona Keijzer heb ik ook vertrouwen, zij heeft altijd haar woordje klaar.",R,1,R,R,R,R,R
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-10-VVD,Agriculture,"Het sparen van de kool en de geit wordt hier tot een ware kunstvorm verheven.Zo schrijft de **VVD** een 'realistisch tijdpad' voor stikstofreductie na te streven.'Het is belangrijker om op korte termijn te zorgen voor stikstofreductie, gebiedsgericht herstel van de natuur en normalisering van de verhoudingen in het land, dan om te verzanden in discussies over doelen en jaartallen.'",L,0.75,L,L,N,L,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-12-VVD,Agriculture,"'Het is belangrijker om op korte termijn te zorgen voor stikstofreductie, gebiedsgericht herstel van de natuur en normalisering van de verhoudingen in het land, dan om te verzanden in discussies over doelen en jaartallen.'Hieruit zou de argeloze kiezer kunnen opmaken dat de **VVD** zich niet wil laten vastpinnen op een bepaalde termijn en omvang van de beoogde daling van de stikstofuitstoot.Maar nee, dat begrijpt de kiezer dan verkeerd, want één zin verder stelt de VVD: 'We hanteren de doelstellingen over stikstofreductie in 2035 van de huidige Stikstofwet.",L,0.75,L,L,N,L,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-13-VVD,Agriculture,"Hieruit zou de argeloze kiezer kunnen opmaken dat de VVD zich niet wil laten vastpinnen op een bepaalde termijn en omvang van de beoogde daling van de stikstofuitstoot.Maar nee, dat begrijpt de kiezer dan verkeerd, want één zin verder stelt de **VVD**: 'We hanteren de doelstellingen over stikstofreductie in 2035 van de huidige Stikstofwet.Dat doel staat.'",L,0.75,L,L,N,L,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-18-GL/PvdA,Agriculture,"Dezelfde ambivalentie is terug te vinden bij GroenLinks-PvdA.De partij zegt in haar verkiezingsprogramma 'vast te houden aan het doel de stikstofuitstoot in 2030 te halveren', maar lijsttrekker Frans **Timmermans** heeft die doelstelling publiekelijk laten vallen.Hij zegt, net als de VVD, in debatten en interviews dat de discussie over 'jaartallen' niet productief is en dat de overheid (nog meer) moet luisteren naar boeren.",N,0.5,R,N,N,R,NA
651,72b95fe90d768709430980fa4462e1a7cf16d88ae49d85fdd684c046-18-Overig,Agriculture,"Dezelfde ambivalentie is terug te vinden bij GroenLinks-PvdA.De partij zegt in haar verkiezingsprogramma 'vast te houden aan het doel de stikstofuitstoot in 2030 te halveren', maar **lijsttrekker** Frans Timmermans heeft die doelstelling publiekelijk laten vallen.Hij zegt, net als de VVD, in debatten en interviews dat de discussie over 'jaartallen' niet productief is en dat de overheid (nog meer) moet luisteren naar boeren.",N,0.5,R,N,N,R,NA
