jobid,unit_id,topic,text,majority,agreement,Amani,Karishma,Nel,Nisanur
652,236bafb5ede2d53b4969efb4de49472cb02f87024538d4f210d225a3-24-CDA,Agriculture,"We hebben de afgelopen periode veel tijd verloren.Onder meer door **CDA-leider** Wopke Hoekstra, die vorig jaar zomer de hakken in het zand zette op stikstof.Het resultaat is dat de natuur er nog steeds slecht voorstaat, dat boeren niet weten wat de nieuwe verdienmodellen zijn en dat de vergunningverlening voor huizen onvoldoende loskomt.'",L,0.5,L,L,R,R
652,236bafb5ede2d53b4969efb4de49472cb02f87024538d4f210d225a3-72-Overig,Agriculture,"En er moet natuurlijk een oplossing komen voor de stikstofcrisis.''Zowel de **minister** van Wonen als ik heb grote stappen gezet om de vergunningverlening veel simpeler en sneller te maken.Maar het heeft dus wel 1,5 jaar gekost om die wetgeving te moderniseren.'",N,1,N,N,N,N
652,37ae25079118991b9619af06dd82415b964910f72e89363818f31b25-16-BBB,Agriculture,"Ook de actualiteit komt aan bod in de uitzendingen.Grote nieuwszaken - denk aan de opkomst van de **BBB** of de coronacrisis - blijven niet onbesproken in het universum van Sinterklaas.Maar, gezien het jonge kijkerspubliek, altijd met een speelse en gemoedelijke twist.",N,1,N,N,N,N
652,3ceaf08f1329207bf940aad489c3f3b2f21f44e724cbc4420b8f1c03-39-FvD,Agriculture,Tien boxen per week werden vijftienhonderd boxen.**Baudet** wilde blijven groeien.Maar in Oud Gastel raakte het vlees op.,N,1,N,N,N,N
652,3e3cbc3f7b93a801c2173062b0c7c575aa507cd6ebd60b27ab65d43e-3-Overig,Agriculture,"Gerda Verburg (Zwammerdam, 1957) begint haar carrière bij de Christelijke Plattelands Jongeren, stapt in 1982 over naar vakbond CNV en komt in 1998 voor het CDA in de Tweede Kamer waar ze vice-fractievoorzitter wordt.Van 2007 tot 2010 is Verburg **minister** van Landbouw, Natuur en Voedselkwaliteit.Van 2011 tot 2016 is zij ambassadeur bij de Wereldvoedselorganisatie FAO van de VN in Rome.",N,1,N,N,N,N
652,5d68852d685f4b90ea55b484f16d5f95872eb2b198288af13a954ac2-5-GL/PvdA,Agriculture,"De deur naar de VVD staat nog op een kier, maar niet van harte.Veel liever zoekt **Timmermans** naar de raakvlakken met NSC, zo bleek tijdens de verschillende debatten.U liet in het eerste RTL-debat 2030 los als jaartal om de stikstofuitstoot met de helft te verminderen.",N,1,N,N,N,N
652,5d68852d685f4b90ea55b484f16d5f95872eb2b198288af13a954ac2-5-NSC,Agriculture,"De deur naar de VVD staat nog op een kier, maar niet van harte.Veel liever zoekt Timmermans naar de raakvlakken met **NSC**, zo bleek tijdens de verschillende debatten.U liet in het eerste RTL-debat 2030 los als jaartal om de stikstofuitstoot met de helft te verminderen.",N,1,N,N,N,N
652,6cdb89865f97993cbe4cf1127124f44f225940aa3685a293387017ef-195-PvdD,Agriculture,"Ze wilde geen percentage noemen, maar ze benadrukte: ""De enige economie die aanvaardbaar is, is een economie die past bij de draagkracht van de aarde en waarin we recht doen aan alle sociale rechten die we willen veilig stellen.""De Partij voor de **Dieren** wil binnen twee jaar een reductie van de veestapel van 75 procent.Volgens Ouwehand is dat nodig om te zorgen voor gezond en betaalbaar voedsel voor iedereen.",L,1,L,L,L,L
652,6cdb89865f97993cbe4cf1127124f44f225940aa3685a293387017ef-196-PvdD,Agriculture,"De Partij voor de Dieren wil binnen twee jaar een reductie van de veestapel van 75 procent.Volgens **Ouwehand** is dat nodig om te zorgen voor gezond en betaalbaar voedsel voor iedereen.Ze vindt dat het veel te lang heeft geduurd voordat die omschakeling wordt gemaakt, waardoor boeren nu geconfronteerd worden met een heel korte termijn.",L,1,L,L,L,L
652,6cdb89865f97993cbe4cf1127124f44f225940aa3685a293387017ef-199-PvdD,Agriculture,"Ze wil dat boeren bij die transitie financieel worden beschermd en ""dat veevoederbedrijven flink bijlappen"".**Ouwehand** herhaalde dat ze graag wil meeregeren, maar dat er dan echt een ""groene koerswijziging"" moet komen.Volgens haar is politieke moed het belangrijkste criterium voor het vormen van een coalitie en moet het niet blijven bij het op papier zetten van ambities.",L,0.75,L,L,L,N
