jobid,unit_id,topic,text,majority,agreement,Karishma,Nel,Nisanur
653,0490cc775892fa87482f2f4a28e859a340868274c1fb9e003af4d377-33-BBB,Agriculture,"Vriendelijk bedankt, het was prettig zaken met u te doen.Yesilgöz zal als beschermvrouwe van het klimaat Wilders ervan moeten weerhouden om ‘al het klimaatbeleid in de shredder’ te doen belanden, terwijl Van der **Plas** genoegzaam achterover leunt.Omtzigt zal de ambitie om de veestapel in te krimpen snel laten varen, als hij daarvoor in de plaats steun krijgt voor zijn Constitutioneel Hof, de wassen neus die hij presenteert als panacee voor alle problemen.",N,0.6666666666666666,N,R,N
653,0c316e4f588bb43e876d71efd347f1a8dcb05f85ce6edf52a72207af-46-NSC,Agriculture,"Boerderij gezegd dat de veestapel moet krimpen: melkvee met 10%, varkens met 25%.Holman is uit de bocht gevlogen, sipt de entourage van **Omtzigt** in de Deventer Bergkerk, waar de partijleider een lezing over bestaanszekerheid geeft.Vooral het noemen van de percentages was een uitglijder, zegt een vertrouweling van Omtzigt.",N,0.6666666666666666,L,N,N
653,126040e4cef93d4980423c5311dc379cb489e0a92810bbc43b2221ca-2-GL/PvdA,Agriculture,"Geachte lezerDat Frans **Timmermans** zich niet koste wat het kost aan het plan om de stikstofuitstoot in 2030 te halveren wil vasthouden, heeft tot verwarring geleid, niet in het minst bij leden van **PvdA/GL.** Lezers vinden dat hij met twee monden spreekt.Jan Muijs denkt dat Timmermans alles zal zeggen om ‘zieltjes te winnen’ voor de verkiezingen:",N,0.6666666666666666,L,N,N
653,1765881bb49c7f4db3592869be2188dcb1841f9807f1a856f2abeb90-27-VVD,Agriculture,"Kamerleden spoorden ministers meermaals aan om niet alleen boeren te laten opdraaien voor de stikstofproblemen, maar ook afspraken te maken met de industrie.Minister Van der Wal (**VVD**) voor Natuur en Stikstof schreef een jaar geleden in een Kamerbrief dat het kabinet zou gaan spreken met alle industriële piekbelasters.Met de bedrijven zou worden gesproken over technische ingrepen om de stikstofuitstoot te reduceren of over het aanscherpen van de vergunningen.",L,1,L,L,L
653,1c1c6fab74079c10ef47c9fee9c004c11e63eaded615873c60958d02-29-NSC,Agriculture,"Van der Plas (BBB): 'Boeren kijken met angst en beven naar Pieter'Hoewel BBB-lijsttrekker Van der Plas een coalitie met Nieuw Sociaal **Contract** (**NSC**) mogelijk acht, heeft die partij ook standpunten waar zij over twijfelt.""Ik zie ook dingen in de programma's staan waarvan ik denk: tja, ik weet 't niet helemaal"", zegt ze bij NU.nl .",N,1,N,N,N
653,1c1c6fab74079c10ef47c9fee9c004c11e63eaded615873c60958d02-32-BBB,Agriculture,"Zo is NSC voor een krimp van de intensieve varkenshouderij, en wil de partij toe naar grondgebonden melkveehouderij.Dat baart boeren zorgen, stelt Van der **Plas**.""Veel boeren willen door.",R,1,R,R,R
653,21959f9f346b1656c352e1526d3372596a69a07db90e7d0d17095b57-91-NSC,Agriculture,"Zoals vaker zit de ChristenUnie er tussenin met 20 procent.**NSC**, de partij van Pieter **Omtzigt**, deed niet mee aan deze doorrekening, maar denkt overigens ook dat de veestapel zal moeten krimpen.De VVD kiest voor intensieve landbouw met coulante regels, D66 voor kringlooplandbouw met strikte regels, Groenlinks-PvdA en Volt voor natuurinclusieve, kleinschalige landbouw met strikte regels en ChristenUnie voor landschapsbeheer door boeren met matige regulering.",L,1,L,L,L
653,21959f9f346b1656c352e1526d3372596a69a07db90e7d0d17095b57-94-D66,Agriculture,De vijf partijen weten allemaal de uitstoot van stikstof meer te verlagen dan het gevallen kabinet.Maar **D66** en Groenlinks-PvdA doen dat veel sneller dan VVD en ChristenUnie:grofweg weten de groene partijen de stikstofuitstoot in 2030 te halveren.,L,1,L,L,L
653,2a9045ed15ac8141a6ad3e1441e908ea6e1f318c6dcae09495bd0d2a-129-NSC,Agriculture,"In het NOS-Radio 1 journaal was Joost Eerdmans te gast die onder meer pleitte voor een tijdelijke asielstop.En **NSC** lijsttrekker **Omtzigt** en GroenLinks/PvdA lijsttrekker Timmermans spraken in het verkiezingsprogramma van NOS op 3 onder meer over het inkrimpen van de veestapel, de verhoging van het minimumloon, en asiel en migratie.De twee partijen, die volgens de peilingen samen met de VVD kans maken de grootste te worden zijn het niet eens over wat voor kabinet het beste voor het land zou zijn.",N,0.6666666666666666,L,N,N
653,2ab53bf8240ba4f068c1fd1097d3c31ebfef6a23654c440ab9b2c6c6-8-BBB,Agriculture,"De partij werd in 2019 opgericht door onder anderen het gezicht van de partij, Caroline van der Plas.De boerenprotesten tegen het stikstofbeleid waren net begonnen en de **BBB** steunde die (maar nam afstand van al te radicale uitingen).De partij vindt dat er te weinig wordt geluisterd naar de mensen op het platteland.",R,0.6666666666666666,N,R,R
653,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-121-BBB,Agriculture,"Net na het middaguur rijdt de melkwagen van Campina het erf op van boer Hubert Bodde (56).Uiteraard ging zijn stem in maart naar de **BBB**, zegt hij met uitzicht op de kerktoren van Lattrop.'Mijn vrouw, ik, onze kinderen: allemaal op de BBB.",N,1,N,N,N
653,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-48-BBB,Agriculture,"En geen enkele provincie wil meewerken aan het gedwongen uitkopen van boeren.**BBB** heeft geleverd, zou je kunnen concluderen.Maar de kiezer maalt amper nog om stikstof, blijkt uit onderzoek van I&O Research in opdracht van de Volkskrant.",N,1,N,N,N
653,382485877a0d9ef01e52f1026bd06f008c9dd32277f992eda62321fe-72-NSC,Agriculture,"'Ze zijn niet zozeer teleurgesteld in BBB, maar hebben nog meer vertrouwen in het alternatief:**Omtzigt**.'En omdat stikstof voor Omtzigt niet zo'n belangrijk onderwerp is, gaat het er in debatten amper over.",N,1,N,N,N
653,3dd4a7fd522ec4e43b03e46a6325a3dc231cacfe0de36ce96feef46a-176-BBB,Agriculture,"""Daar moet zeker wat gebeuren, maar ik ga nog met Pieter praten.""Van der **Plas** beloofde de boeren dat ze voor hen zal strijden.10:29",R,1,R,R,R
