epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
1,2e-05,8,1,0.1,128,0.7583333333333333,,,,,,
,,,,,,,L,0.8045977011494253,0.6796116504854369,0.7368421052631579,103.0,
,,,,,,,N,0.7416267942583732,0.8908045977011494,0.8093994778067886,174.0,
,,,,,,,R,0.75,0.5783132530120482,0.6530612244897959,83.0,
,,,,,,0.7583333333333333,,,,,,
,,,,,,,macro avg,0.7654081651359328,0.7162431670662115,0.7331009358532473,360.0,
,,,,,,,weighted avg,0.7615739594981881,0.7583333333333333,0.7525953544809432,360.0,
1,2e-05,8,1,0.1,256,0.7666666666666667,,,,,,
,,,,,,,L,0.7934782608695652,0.7087378640776699,0.7487179487179487,103.0,
,,,,,,,N,0.7383177570093458,0.9080459770114943,0.8144329896907216,174.0,
,,,,,,,R,0.8333333333333334,0.5421686746987951,0.656934306569343,83.0,
,,,,,,0.7666666666666667,,,,,,
,,,,,,,macro avg,0.7883764504040814,0.7196508385959864,0.7400284149926711,360.0,
,,,,,,,weighted avg,0.7760061590440502,0.7666666666666667,0.7593189899149716,360.0,
1,2e-05,8,1,0.3,128,0.7611111111111111,,,,,,
,,,,,,,L,0.8170731707317073,0.6504854368932039,0.7243243243243244,103.0,
,,,,,,,N,0.7536231884057971,0.896551724137931,0.8188976377952756,174.0,
,,,,,,,R,0.7183098591549296,0.6144578313253012,0.6623376623376623,83.0,
,,,,,,0.7611111111111111,,,,,,
,,,,,,,macro avg,0.7630020727641447,0.7204983307854788,0.7351865414857541,360.0,
,,,,,,,weighted avg,0.7636352491050936,0.7611111111111111,0.7557433898772482,360.0,
1,2e-05,8,1,0.3,256,0.7416666666666667,,,,,,
,,,,,,,L,0.7931034482758621,0.6699029126213593,0.7263157894736842,103.0,
,,,,,,,N,0.7389162561576355,0.8620689655172413,0.7957559681697612,174.0,
,,,,,,,R,0.6857142857142857,0.5783132530120482,0.6274509803921569,83.0,
,,,,,,0.7416666666666667,,,,,,
,,,,,,,macro avg,0.7392446633825944,0.7034283770502162,0.7165075793452008,360.0,
,,,,,,,weighted avg,0.7421538040503557,0.7416666666666667,0.737084711527436,360.0,
1,2e-05,8,2,0.1,128,0.775,,,,,,
,,,,,,,L,0.8021978021978022,0.7087378640776699,0.7525773195876289,103.0,
,,,,,,,N,0.7559808612440191,0.9080459770114943,0.825065274151436,174.0,
,,,,,,,R,0.8,0.5783132530120482,0.6713286713286714,83.0,
,,,,,,0.775,,,,,,
,,,,,,,macro avg,0.786059554480607,0.7316990313670707,0.749657088355912,360.0,
,,,,,,,weighted avg,0.7793528985634249,0.775,0.7688808370559872,360.0,
2,2e-05,8,2,0.1,128,0.775,,,,,,
,,,,,,,L,0.8,0.7378640776699029,0.7676767676767676,103.0,
,,,,,,,N,0.7872340425531915,0.8505747126436781,0.8176795580110497,174.0,
,,,,,,,R,0.7142857142857143,0.6626506024096386,0.6875,83.0,
,,,,,,0.775,,,,,,
,,,,,,,macro avg,0.7671732522796354,0.7503631309077399,0.7576187752292723,360.0,
