epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
1,2e-05,8,1,0.1,128,0.7002398081534772,,,,,,
,,,,,,,L,0.7068062827225131,0.6585365853658537,0.6818181818181818,205.0,
,,,,,,,N,0.663768115942029,0.7024539877300614,0.6825633383010432,326.0,
,,,,,,,R,0.738255033557047,0.7260726072607261,0.7321131447587355,303.0,
,,,,,,0.7002398081534772,,,,,,
,,,,,,,macro avg,0.702943144073863,0.6956877267855471,0.6988315549593201,834.0,
,,,,,,,weighted avg,0.701408835639091,0.7002398081534772,0.7003820844373672,834.0,
1,2e-05,8,1,0.1,256,0.7014388489208633,,,,,,
,,,,,,,L,0.7024390243902439,0.7024390243902439,0.7024390243902439,205.0,
,,,,,,,N,0.6706948640483383,0.6809815950920245,0.6757990867579908,326.0,
,,,,,,,R,0.7348993288590604,0.7227722772277227,0.7287853577371048,303.0,
,,,,,,0.7014388489208633,,,,,,
,,,,,,,macro avg,0.7026777390992143,0.7020642989033302,0.7023411562951131,834.0,
,,,,,,,weighted avg,0.7018237677746445,0.7014388489208633,0.7015976806684027,834.0,
1,2e-05,8,1,0.3,128,0.6906474820143885,,,,,,
,,,,,,,L,0.6994818652849741,0.6585365853658537,0.678391959798995,205.0,
,,,,,,,N,0.6962457337883959,0.6257668711656442,0.6591276252019386,326.0,
,,,,,,,R,0.6810344827586207,0.7821782178217822,0.728110599078341,303.0,
,,,,,,0.6906474820143885,,,,,,
,,,,,,,macro avg,0.6922540272773302,0.6888272247844268,0.6885433946930916,834.0,
,,,,,,,weighted avg,0.6915147960123488,0.6906474820143885,0.6889250228961189,834.0,
1,2e-05,8,1,0.3,256,0.6786570743405276,,,,,,
,,,,,,,L,0.6836158192090396,0.5902439024390244,0.6335078534031413,205.0,
,,,,,,,N,0.6755852842809364,0.6196319018404908,0.6464,326.0,
,,,,,,,R,0.6787709497206704,0.801980198019802,0.735249621785174,303.0,
,,,,,,0.6786570743405276,,,,,,
,,,,,,,macro avg,0.6793240177368821,0.6706186674331057,0.6717191583961051,834.0,
,,,,,,,weighted avg,0.6787165987755414,0.6786570743405276,0.6755109656457453,834.0,
1,2e-05,8,2,0.1,128,0.7230215827338129,,,,,,
,,,,,,,L,0.6882591093117408,0.8292682926829268,0.7522123893805309,205.0,
,,,,,,,N,0.7142857142857143,0.6441717791411042,0.6774193548387096,326.0,
,,,,,,,R,0.7610921501706485,0.735973597359736,0.7483221476510067,303.0,
,,,,,,0.7230215827338129,,,,,,
,,,,,,,macro avg,0.7212123245893679,0.7364712230612557,0.7259846306234158,834.0,
,,,,,,,weighted avg,0.7248935033186525,0.7230215827338129,0.721563381581155,834.0,
2,2e-05,8,2,0.1,128,0.7637889688249401,,,,,,
,,,,,,,L,0.7699530516431925,0.8,0.784688995215311,205.0,
,,,,,,,N,0.7785714285714286,0.6687116564417178,0.7194719471947195,326.0,
,,,,,,,R,0.7478005865102639,0.8415841584158416,0.7919254658385093,303.0,
,,,,,,0.7637889688249401,,,,,,
,,,,,,,macro avg,0.7654416889082949,0.7700986049525197,0.7653621360828465,834.0,
,,,,,,,weighted avg,0.7652736678821945,0.7637889688249401,0.761825557498424,834.0,
1,2e-05,8,2,0.1,256,0.7362110311750599,,,,,,
,,,,,,,L,0.7085201793721974,0.7707317073170732,0.7383177570093458,205.0,
,,,,,,,N,0.6918767507002801,0.7576687116564417,0.7232796486090776,326.0,
,,,,,,,R,0.8228346456692913,0.6897689768976898,0.7504488330341114,303.0,
,,,,,,0.7362110311750599,,,,,,
,,,,,,,macro avg,0.7410771919139229,0.7393897986237349,0.7373487462175116,834.0,
,,,,,,,weighted avg,0.7435459893733657,0.7362110311750599,0.7368468849434184,834.0,
2,2e-05,8,2,0.1,256,0.7685851318944844,,,,,,
,,,,,,,L,0.8216216216216217,0.7414634146341463,0.7794871794871795,205.0,
,,,,,,,N,0.7355623100303952,0.7423312883435583,0.7389312977099237,326.0,
,,,,,,,R,0.771875,0.8151815181518152,0.7929373996789727,303.0,
,,,,,,0.7685851318944844,,,,,,
,,,,,,,macro avg,0.7763529772173389,0.7663254070431732,0.770451958958692,834.0,
,,,,,,,weighted avg,0.7699087176287065,0.7685851318944844,0.7685209915480044,834.0,
1,2e-05,8,2,0.3,128,0.7038369304556354,,,,,,
,,,,,,,L,0.7692307692307693,0.6829268292682927,0.7235142118863049,205.0,
,,,,,,,N,0.7521367521367521,0.5398773006134969,0.6285714285714286,326.0,
,,,,,,,R,0.6483253588516746,0.8943894389438944,0.7517337031900139,303.0,
,,,,,,0.7038369304556354,,,,,,
,,,,,,,macro avg,0.7232309600730652,0.7057311896085614,0.7012731145492491,834.0,
,,,,,,,weighted avg,0.7186228688500556,0.7038369304556354,0.6966546897092956,834.0,
2,2e-05,8,2,0.3,128,0.7709832134292566,,,,,,
,,,,,,,L,0.8019323671497585,0.8097560975609757,0.8058252427184466,205.0,
,,,,,,,N,0.7676056338028169,0.6687116564417178,0.7147540983606557,326.0,
,,,,,,,R,0.7551020408163265,0.8547854785478548,0.8018575851393189,303.0,
,,,,,,0.7709832134292566,,,,,,
,,,,,,,macro avg,0.7748800139229672,0.7777510775168494,0.7741456420728071,834.0,
,,,,,,,weighted avg,0.7715005878330525,0.7709832134292566,0.7687852027818574,834.0,
1,2e-05,8,2,0.3,256,0.7302158273381295,,,,,,
,,,,,,,L,0.7584541062801933,0.7658536585365854,0.7621359223300971,205.0,
,,,,,,,N,0.7805907172995781,0.5674846625766872,0.6571936056838366,326.0,
,,,,,,,R,0.6846153846153846,0.8811881188118812,0.7705627705627706,303.0,
,,,,,,0.7302158273381295,,,,,,
,,,,,,,macro avg,0.7412200693983854,0.7381754799750513,0.7299640995255681,834.0,
,,,,,,,weighted avg,0.7402807280162633,0.7302158273381295,0.7241768573274822,834.0,
2,2e-05,8,2,0.3,256,0.7889688249400479,,,,,,
,,,,,,,L,0.825,0.8048780487804879,0.8148148148148148,205.0,
,,,,,,,N,0.7712418300653595,0.7239263803680982,0.7468354430379747,326.0,
,,,,,,,R,0.7835365853658537,0.8481848184818482,0.8145800316957211,303.0,
,,,,,,0.7889688249400479,,,,,,
,,,,,,,macro avg,0.7932594718104045,0.7923297492101448,0.7920767631828368,834.0,
,,,,,,,weighted avg,0.7889225683059482,0.7889688249400479,0.7881572434906717,834.0,
1,2e-05,8,3,0.1,128,0.7422062350119905,,,,,,
,,,,,,,L,0.8675496688741722,0.6390243902439025,0.7359550561797753,205.0,
,,,,,,,N,0.6899441340782123,0.7576687116564417,0.7222222222222222,326.0,
,,,,,,,R,0.7415384615384616,0.7953795379537953,0.767515923566879,303.0,
