epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
1,2e-05,8,1,0.1,128,0.7675070028011205,,,,,,
,,,,,,,L,0.6331877729257642,0.7107843137254902,0.6697459584295612,204.0,
,,,,,,,N,0.8365180467091295,0.9057471264367816,0.869757174392936,435.0,
,,,,,,,R,0.6428571428571429,0.12,0.20224719101123595,75.0,
,,,,,,0.7675070028011205,,,,,,
,,,,,,,macro avg,0.7041876541640123,0.578843813387424,0.5805834412779111,714.0,
,,,,,,,weighted avg,0.7580811508537996,0.7675070028011205,0.7424945177960789,714.0,
1,2e-05,8,1,0.1,256,0.773109243697479,,,,,,
,,,,,,,L,0.625,0.7598039215686274,0.6858407079646017,204.0,
,,,,,,,N,0.852017937219731,0.8735632183908046,0.8626560726447219,435.0,
,,,,,,,R,0.85,0.22666666666666666,0.35789473684210527,75.0,
,,,,,,0.773109243697479,,,,,,
,,,,,,,macro avg,0.7756726457399102,0.6200112688753662,0.6354638391504762,714.0,
,,,,,,,weighted avg,0.786943701247315,0.773109243697479,0.7591162483030681,714.0,
1,2e-05,8,1,0.3,128,0.7661064425770309,,,,,,
,,,,,,,L,0.6229508196721312,0.7450980392156863,0.6785714285714286,204.0,
,,,,,,,N,0.8451327433628318,0.8781609195402299,0.8613303269447576,435.0,
,,,,,,,R,0.7222222222222222,0.17333333333333334,0.27956989247311825,75.0,
,,,,,,0.7661064425770309,,,,,,
,,,,,,,macro avg,0.7301019284190619,0.5988640973630832,0.6064905493297682,714.0,
,,,,,,,weighted avg,0.7687414247095423,0.7661064425770309,0.748004209502836,714.0,
1,2e-05,8,1,0.3,256,0.7464985994397759,,,,,,
,,,,,,,L,0.5975609756097561,0.7205882352941176,0.6533333333333333,204.0,
,,,,,,,N,0.8278145695364238,0.8620689655172413,0.8445945945945946,435.0,
,,,,,,,R,0.7333333333333333,0.14666666666666667,0.24444444444444444,75.0,
,,,,,,0.7464985994397759,,,,,,
,,,,,,,macro avg,0.7195696261598378,0.5764412891593419,0.5807907907907909,714.0,
,,,,,,,weighted avg,0.7521033288133538,0.7464985994397759,0.7269075377898907,714.0,
1,2e-05,8,2,0.1,128,0.7759103641456583,,,,,,
,,,,,,,L,0.624,0.7647058823529411,0.6872246696035242,204.0,
,,,,,,,N,0.8649885583524027,0.8689655172413793,0.8669724770642202,435.0,
,,,,,,,R,0.7407407407407407,0.26666666666666666,0.39215686274509803,75.0,
,,,,,,0.7759103641456583,,,,,,
,,,,,,,macro avg,0.7432430996977145,0.6334460220869956,0.6487846698042808,714.0,
,,,,,,,weighted avg,0.7830834431916677,0.7759103641456583,0.7657403709074749,714.0,
2,2e-05,8,2,0.1,128,0.8053221288515406,,,,,,
,,,,,,,L,0.7136150234741784,0.7450980392156863,0.7290167865707434,204.0,
,,,,,,,N,0.8565022421524664,0.8781609195402299,0.8671963677639046,435.0,
,,,,,,,R,0.7454545454545455,0.5466666666666666,0.6307692307692307,75.0,
,,,,,,0.8053221288515406,,,,,,
,,,,,,,macro avg,0.7718572703603969,0.7233085418075277,0.742327461701293,714.0,
,,,,,,,weighted avg,0.8040126485072076,0.8053221288515406,0.8028817041252416,714.0,
