epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
1,2e-05,8,1,0.1,128,0.7591836734693878,,,,,,
,,,,,,,L,0.7863436123348018,0.8283062645011601,0.8067796610169492,431.0,
,,,,,,,N,0.7443037974683544,0.7313432835820896,0.7377666248431619,402.0,
,,,,,,,R,0.7099236641221374,0.6326530612244898,0.6690647482014388,147.0,
,,,,,,0.7591836734693878,,,,,,
,,,,,,,macro avg,0.7468570246417645,0.7307675364359132,0.7378703446871833,980.0,
,,,,,,,weighted avg,0.7576357164536043,0.7591836734693878,0.7578129949702731,980.0,
1,2e-05,8,1,0.1,256,0.7428571428571429,,,,,,
,,,,,,,L,0.7458677685950413,0.8375870069605569,0.7890710382513662,431.0,
,,,,,,,N,0.73,0.7263681592039801,0.7281795511221946,402.0,
,,,,,,,R,0.78125,0.5102040816326531,0.6172839506172839,147.0,
,,,,,,0.7428571428571429,,,,,,
,,,,,,,macro avg,0.7523725895316805,0.6913864159323967,0.7115115133302816,980.0,
,,,,,,,weighted avg,0.7446660798616968,0.7428571428571429,0.7383250385491854,980.0,
1,2e-05,8,1,0.3,128,0.7561224489795918,,,,,,
,,,,,,,L,0.775377969762419,0.8329466357308585,0.8031319910514542,431.0,
,,,,,,,N,0.7361809045226131,0.7288557213930348,0.7325,402.0,
,,,,,,,R,0.7478991596638656,0.6054421768707483,0.6691729323308271,147.0,
,,,,,,0.7561224489795918,,,,,,
,,,,,,,macro avg,0.7531526779829658,0.7224148446648805,0.7349349744607604,980.0,
,,,,,,,weighted avg,0.7551773520982463,0.7561224489795918,0.7540646012202126,980.0,
1,2e-05,8,1,0.3,256,0.7653061224489796,,,,,,
,,,,,,,L,0.8040540540540541,0.8283062645011601,0.816,431.0,
,,,,,,,N,0.7418546365914787,0.736318407960199,0.7390761548064919,402.0,
,,,,,,,R,0.708029197080292,0.6598639455782312,0.6830985915492958,147.0,
,,,,,,0.7653061224489796,,,,,,
,,,,,,,macro avg,0.7513126292419415,0.7414962060131968,0.7460582487852626,980.0,
,,,,,,,weighted avg,0.7641358705896679,0.7653061224489796,0.7645103134591389,980.0,
1,2e-05,8,2,0.1,128,0.7663265306122449,,,,,,
,,,,,,,L,0.773469387755102,0.8793503480278422,0.8230184581976113,431.0,
,,,,,,,N,0.7899408284023669,0.664179104477612,0.7216216216216216,402.0,
,,,,,,,R,0.6907894736842105,0.7142857142857143,0.7023411371237458,147.0,
,,,,,,0.7663265306122449,,,,,,
,,,,,,,macro avg,0.7513998966138932,0.7526050555970561,0.7489937389809929,980.0,
,,,,,,,weighted avg,0.7678240528283463,0.7663265306122449,0.7633234638084213,980.0,
2,2e-05,8,2,0.1,128,0.7857142857142857,,,,,,
,,,,,,,L,0.8220720720720721,0.8468677494199536,0.8342857142857143,431.0,
,,,,,,,N,0.7593052109181141,0.7611940298507462,0.760248447204969,402.0,
,,,,,,,R,0.7443609022556391,0.673469387755102,0.7071428571428572,147.0,
,,,,,,0.7857142857142857,,,,,,
,,,,,,,macro avg,0.7752460617486084,0.7605103890086006,0.7672256728778469,980.0,
,,,,,,,weighted avg,0.7846681739629836,0.7857142857142857,0.7848438965648372,980.0,
1,2e-05,8,2,0.1,256,0.7551020408163265,,,,,,
,,,,,,,L,0.8170731707317073,0.777262180974478,0.7966706302021404,431.0,
,,,,,,,N,0.6961206896551724,0.8034825870646766,0.745958429561201,402.0,
,,,,,,,R,0.7735849056603774,0.5578231292517006,0.6482213438735178,147.0,
,,,,,,0.7551020408163265,,,,,,
,,,,,,,macro avg,0.762259588682419,0.7128559657636183,0.730283467878953,980.0,
,,,,,,,weighted avg,0.760934729549817,0.7551020408163265,0.7536008855613595,980.0,
2,2e-05,8,2,0.1,256,0.7755102040816326,,,,,,
,,,,,,,L,0.8097345132743363,0.8491879350348028,0.8289920724801813,431.0,
,,,,,,,N,0.7626666666666667,0.7114427860696517,0.7361647361647362,402.0,
,,,,,,,R,0.7058823529411765,0.7346938775510204,0.72,147.0,
,,,,,,0.7755102040816326,,,,,,
,,,,,,,macro avg,0.75942784429406,0.765108199551825,0.7617189362149724,980.0,
,,,,,,,weighted avg,0.7748492664322366,0.7755102040816326,0.7745651093644716,980.0,
1,2e-05,8,2,0.3,128,0.7642857142857142,,,,,,
,,,,,,,L,0.8233890214797136,0.8004640371229699,0.8117647058823529,431.0,
,,,,,,,N,0.7178899082568807,0.7786069651741293,0.747016706443914,402.0,
,,,,,,,R,0.728,0.6190476190476191,0.6691176470588235,147.0,
,,,,,,0.7642857142857142,,,,,,
,,,,,,,macro avg,0.7564263099121981,0.7327062071149061,0.7426330197950302,980.0,
,,,,,,,weighted avg,0.765804501405125,0.7642857142857142,0.7638077534116272,980.0,
2,2e-05,8,2,0.3,128,0.7806122448979592,,,,,,
,,,,,,,L,0.8212669683257918,0.8422273781902552,0.8316151202749141,431.0,
,,,,,,,N,0.7608142493638677,0.7437810945273632,0.7522012578616353,402.0,
,,,,,,,R,0.7103448275862069,0.7006802721088435,0.7054794520547946,147.0,
,,,,,,0.7806122448979592,,,,,,
,,,,,,,macro avg,0.7641420150919555,0.7622295816088207,0.7630986100637812,980.0,
,,,,,,,weighted avg,0.7798306951508811,0.7806122448979592,0.7801188795417553,980.0,
1,2e-05,8,2,0.3,256,0.7561224489795918,,,,,,
,,,,,,,L,0.7817796610169492,0.8561484918793504,0.8172757475083057,431.0,
,,,,,,,N,0.790273556231003,0.6467661691542289,0.7113543091655267,402.0,
,,,,,,,R,0.6256983240223464,0.7619047619047619,0.6871165644171779,147.0,
,,,,,,0.7561224489795918,,,,,,
,,,,,,,macro avg,0.7325838470900995,0.7549398076461138,0.7385822070303368,980.0,
,,,,,,,weighted avg,0.7618516909535238,0.7561224489795918,0.7543024637040271,980.0,
2,2e-05,8,2,0.3,256,0.7857142857142857,,,,,,
,,,,,,,L,0.8247191011235955,0.851508120649652,0.8378995433789954,431.0,
,,,,,,,N,0.7702349869451697,0.7338308457711443,0.7515923566878981,402.0,
,,,,,,,R,0.7105263157894737,0.7346938775510204,0.7224080267558528,147.0,
,,,,,,0.7857142857142857,,,,,,
,,,,,,,macro avg,0.7684934679527462,0.773344281323939,0.7706333089409155,980.0,
,,,,,,,weighted avg,0.7852405773033474,0.7857142857142857,0.7851722556306044,980.0,
1,2e-05,8,3,0.1,128,0.7448979591836735,,,,,,
,,,,,,,L,0.8497267759562842,0.7215777262180975,0.7804265997490589,431.0,
,,,,,,,N,0.6673469387755102,0.8134328358208955,0.7331838565022422,402.0,
,,,,,,,R,0.7419354838709677,0.6258503401360545,0.6789667896678967,147.0,
,,,,,,0.7448979591836735,,,,,,
,,,,,,,macro avg,0.7530030662009208,0.7202869673916824,0.7308590819730659,980.0,
,,,,,,,weighted avg,0.7587451285244344,0.7448979591836735,0.745828462129517,980.0,
2,2e-05,8,3,0.1,128,0.7816326530612245,,,,,,
,,,,,,,L,0.7895833333333333,0.8793503480278422,0.8320526893523601,431.0,
,,,,,,,N,0.7789757412398922,0.7189054726368159,0.7477360931435963,402.0,
,,,,,,,R,0.7596899224806202,0.6666666666666666,0.7101449275362319,147.0,
,,,,,,0.7816326530612245,,,,,,
,,,,,,,macro avg,0.7760829990179485,0.7549741624437748,0.7633112366773961,980.0,
,,,,,,,weighted avg,0.7807480441324024,0.7816326530612245,0.7791795131657338,980.0,
3,2e-05,8,3,0.1,128,0.7857142857142857,,,,,,
,,,,,,,L,0.8061002178649237,0.8584686774941995,0.8314606741573034,431.0,
,,,,,,,N,0.776,0.7238805970149254,0.749034749034749,402.0,
,,,,,,,R,0.7465753424657534,0.7414965986394558,0.7440273037542662,147.0,
,,,,,,0.7857142857142857,,,,,,
,,,,,,,macro avg,0.7762251867768923,0.774615291049527,0.7748409089821062,980.0,
,,,,,,,weighted avg,0.7848242543288244,0.7857142857142857,0.7845342176792285,980.0,
1,2e-05,8,3,0.1,256,0.7704081632653061,,,,,,
,,,,,,,L,0.8225806451612904,0.8283062645011601,0.8254335260115607,431.0,
,,,,,,,N,0.7538461538461538,0.7313432835820896,0.7424242424242424,402.0,
,,,,,,,R,0.6666666666666666,0.7074829931972789,0.6864686468646864,147.0,
,,,,,,0.7704081632653061,,,,,,
,,,,,,,macro avg,0.7476978218913702,0.7557108470935096,0.7514421384334965,980.0,
,,,,,,,weighted avg,0.7709983795006836,0.7704081632653061,0.7705380471986092,980.0,
2,2e-05,8,3,0.1,256,0.7724489795918368,,,,,,
,,,,,,,L,0.8167420814479638,0.8375870069605569,0.827033218785796,431.0,
,,,,,,,N,0.7480719794344473,0.7238805970149254,0.7357774968394437,402.0,
,,,,,,,R,0.7046979865771812,0.7142857142857143,0.7094594594594594,147.0,
,,,,,,0.7724489795918368,,,,,,
,,,,,,,macro avg,0.7565040158198642,0.7585844394203988,0.7574233916948998,980.0,
,,,,,,,weighted avg,0.7717667110852713,0.7724489795918368,0.7719636852721173,980.0,
3,2e-05,8,3,0.1,256,0.7775510204081633,,,,,,
,,,,,,,L,0.820627802690583,0.8491879350348028,0.8346636259977195,431.0,
,,,,,,,N,0.7578947368421053,0.7164179104477612,0.7365728900255755,402.0,
,,,,,,,R,0.7012987012987013,0.7346938775510204,0.717607973421927,147.0,
,,,,,,0.7775510204081633,,,,,,
,,,,,,,macro avg,0.7599404136104632,0.7667665743445281,0.7629481631484074,980.0,
,,,,,,,weighted avg,0.7769950778174253,0.7775510204081633,0.7768680578452262,980.0,
1,2e-05,8,3,0.3,128,0.7765306122448979,,,,,,
,,,,,,,L,0.8369304556354916,0.8097447795823666,0.8231132075471698,431.0,
,,,,,,,N,0.726027397260274,0.7910447761194029,0.7571428571428571,402.0,
,,,,,,,R,0.752,0.6394557823129252,0.6911764705882353,147.0,
,,,,,,0.7765306122448979,,,,,,
,,,,,,,macro avg,0.7716526176319217,0.7467484460048982,0.7571441784260875,980.0,
,,,,,,,weighted avg,0.7786980000791092,0.7765306122448979,0.7762613900007442,980.0,
2,2e-05,8,3,0.3,128,0.7877551020408163,,,,,,
,,,,,,,L,0.8299319727891157,0.8491879350348028,0.8394495412844036,431.0,
,,,,,,,N,0.7639593908629442,0.7487562189054726,0.7562814070351759,402.0,
,,,,,,,R,0.7241379310344828,0.7142857142857143,0.7191780821917808,147.0,
,,,,,,0.7877551020408163,,,,,,
,,,,,,,macro avg,0.7726764315621808,0.7707432894086632,0.7716363435037867,980.0,
,,,,,,,weighted avg,0.7870006441439605,0.7877551020408163,0.7872929142897046,980.0,
3,2e-05,8,3,0.3,128,0.7918367346938775,,,,,,
,,,,,,,L,0.82,0.8561484918793504,0.8376844494892168,431.0,
,,,,,,,N,0.7760416666666666,0.7412935323383084,0.7582697201017812,402.0,
,,,,,,,R,0.7465753424657534,0.7414965986394558,0.7440273037542662,147.0,
,,,,,,0.7918367346938775,,,,,,
,,,,,,,macro avg,0.7808723363774733,0.7796462076190381,0.7799938244484214,980.0,
,,,,,,,weighted avg,0.7909544136147608,0.7918367346938775,0.7910596314924955,980.0,
1,2e-05,8,3,0.3,256,0.7673469387755102,,,,,,
,,,,,,,L,0.7918552036199095,0.8120649651972158,0.8018327605956472,431.0,
,,,,,,,N,0.748780487804878,0.763681592039801,0.7561576354679803,402.0,
,,,,,,,R,0.7421875,0.6462585034013606,0.6909090909090909,147.0,
,,,,,,0.7673469387755102,,,,,,
,,,,,,,macro avg,0.7609410638082625,0.7406683535461257,0.7496331623242395,980.0,
,,,,,,,weighted avg,0.7667356238344306,0.7673469387755102,0.7664580873862127,980.0,
2,2e-05,8,3,0.3,256,0.7755102040816326,,,,,,
,,,,,,,L,0.8200455580865603,0.8352668213457076,0.8275862068965517,431.0,
,,,,,,,N,0.7518987341772152,0.7388059701492538,0.7452948557089084,402.0,
,,,,,,,R,0.7054794520547946,0.7006802721088435,0.7030716723549488,147.0,
,,,,,,0.7755102040816326,,,,,,
,,,,,,,macro avg,0.75914124810619,0.7582510212012683,0.7586509116534698,980.0,
,,,,,,,weighted avg,0.7749065368638804,0.7755102040816326,0.7751527785750739,980.0,
3,2e-05,8,3,0.3,256,0.786734693877551,,,,,,
,,,,,,,L,0.8210290827740492,0.851508120649652,0.835990888382688,431.0,
,,,,,,,N,0.7666666666666667,0.7437810945273632,0.7550505050505051,402.0,
,,,,,,,R,0.7342657342657343,0.7142857142857143,0.7241379310344828,147.0,
,,,,,,0.786734693877551,,,,,,
,,,,,,,macro avg,0.7739871612354833,0.7698583098209099,0.7717264414892253,980.0,
,,,,,,,weighted avg,0.7857148955231411,0.786734693877551,0.7860108691686843,980.0,
1,2e-05,8,4,0.1,128,0.7602040816326531,,,,,,
,,,,,,,L,0.8354430379746836,0.765661252900232,0.7990314769975787,431.0,
,,,,,,,N,0.6937901498929336,0.8059701492537313,0.7456846950517837,402.0,
,,,,,,,R,0.7711864406779662,0.6190476190476191,0.6867924528301886,147.0,
,,,,,,0.7602040816326531,,,,,,
,,,,,,,macro avg,0.7668065428485278,0.7302263404005275,0.7438362082931836,980.0,
,,,,,,,weighted avg,0.7676979555139889,0.7602040816326531,0.760312555676338,980.0,
2,2e-05,8,4,0.1,128,0.7928571428571428,,,,,,
,,,,,,,L,0.8243243243243243,0.8491879350348028,0.8365714285714285,431.0,
,,,,,,,N,0.7757731958762887,0.7487562189054726,0.7620253164556962,402.0,
,,,,,,,R,0.7432432432432432,0.7482993197278912,0.7457627118644068,147.0,
,,,,,,0.7928571428571428,,,,,,
,,,,,,,macro avg,0.7811135878146187,0.7820811578893889,0.7814531522971772,980.0,
,,,,,,,weighted avg,0.7922462911049067,0.7928571428571428,0.7923710016056564,980.0,
3,2e-05,8,4,0.1,128,0.7744897959183673,,,,,,
,,,,,,,L,0.7974413646055437,0.8677494199535963,0.8311111111111111,431.0,
,,,,,,,N,0.7634408602150538,0.7064676616915423,0.7338501291989664,402.0,
,,,,,,,R,0.7266187050359713,0.6870748299319728,0.7062937062937062,147.0,
,,,,,,0.7744897959183673,,,,,,
,,,,,,,macro avg,0.7625003099521895,0.7537639705257039,0.7570849822012612,980.0,
,,,,,,,weighted avg,0.7728708199915599,0.7744897959183673,0.7724916486245389,980.0,
4,2e-05,8,4,0.1,128,0.7857142857142857,,,,,,
,,,,,,,L,0.8167770419426048,0.8584686774941995,0.8371040723981901,431.0,
,,,,,,,N,0.7718832891246684,0.7238805970149254,0.7471116816431322,402.0,
,,,,,,,R,0.7266666666666667,0.7414965986394558,0.734006734006734,147.0,
,,,,,,0.7857142857142857,,,,,,
,,,,,,,macro avg,0.7717756659113132,0.774615291049527,0.7727408293493521,980.0,
,,,,,,,weighted avg,0.7848448850054892,0.7857142857142857,0.7847242256358664,980.0,
1,2e-05,8,4,0.1,256,0.763265306122449,,,,,,
,,,,,,,L,0.790948275862069,0.851508120649652,0.8201117318435754,431.0,
,,,,,,,N,0.7602179836512262,0.6940298507462687,0.7256176853055917,402.0,
,,,,,,,R,0.6845637583892618,0.6938775510204082,0.6891891891891891,147.0,
,,,,,,0.763265306122449,,,,,,
,,,,,,,macro avg,0.7452433393008523,0.7464718408054428,0.7449728687794521,980.0,
,,,,,,,weighted avg,0.7623849069464961,0.763265306122449,0.7617115068655508,980.0,
2,2e-05,8,4,0.1,256,0.7806122448979592,,,,,,
,,,,,,,L,0.8194130925507901,0.8422273781902552,0.8306636155606407,431.0,
,,,,,,,N,0.7543859649122807,0.7487562189054726,0.7515605493133583,402.0,
,,,,,,,R,0.7318840579710145,0.6870748299319728,0.7087719298245614,147.0,
,,,,,,0.7806122448979592,,,,,,
,,,,,,,macro avg,0.7685610384780285,0.7593528090092335,0.7636653648995201,980.0,
,,,,,,,weighted avg,0.7796093441896597,0.7806122448979592,0.7799314620559354,980.0,
3,2e-05,8,4,0.1,256,0.7877551020408163,,,,,,
,,,,,,,L,0.8181818181818182,0.8561484918793504,0.8367346938775511,431.0,
,,,,,,,N,0.7676240208877284,0.7313432835820896,0.7490445859872611,402.0,
,,,,,,,R,0.7465753424657534,0.7414965986394558,0.7440273037542662,147.0,
,,,,,,0.7877551020408163,,,,,,
,,,,,,,macro avg,0.7774603938451,0.776329458033632,0.7766021945396928,980.0,
,,,,,,,weighted avg,0.7867018320160167,0.7877551020408163,0.7868577451836537,980.0,
4,2e-05,8,4,0.1,256,0.7826530612244897,,,,,,
,,,,,,,L,0.8127753303964758,0.8561484918793504,0.8338983050847457,431.0,
,,,,,,,N,0.7706666666666667,0.7189054726368159,0.7438867438867439,402.0,
,,,,,,,R,0.7218543046357616,0.7414965986394558,0.7315436241610739,147.0,
,,,,,,0.7826530612244897,,,,,,
,,,,,,,macro avg,0.7684321005663013,0.772183521051874,0.7697762243775211,980.0,
,,,,,,,weighted avg,0.7818640307983041,0.7826530612244897,0.7816219931486471,980.0,
1,2e-05,8,4,0.3,128,0.7765306122448979,,,,,,
,,,,,,,L,0.7944915254237288,0.8700696055684455,0.8305647840531561,431.0,
,,,,,,,N,0.773936170212766,0.7238805970149254,0.7480719794344473,402.0,
,,,,,,,R,0.7196969696969697,0.6462585034013606,0.6810035842293907,147.0,
,,,,,,0.7765306122448979,,,,,,
,,,,,,,macro avg,0.7627082217778215,0.7467362353282438,0.753213449238998,980.0,
,,,,,,,weighted avg,0.7748404514577689,0.7765306122448979,0.774291718919672,980.0,
2,2e-05,8,4,0.3,128,0.7806122448979592,,,,,,
,,,,,,,L,0.8224719101123595,0.8491879350348028,0.8356164383561644,431.0,
,,,,,,,N,0.7415458937198067,0.763681592039801,0.7524509803921569,402.0,
,,,,,,,R,0.7603305785123967,0.6258503401360545,0.6865671641791045,147.0,
,,,,,,0.7806122448979592,,,,,,
,,,,,,,macro avg,0.7747827941148544,0.7462399557368862,0.7582115276424752,980.0,
,,,,,,,weighted avg,0.7799545281378689,0.7806122448979592,0.7791442369219207,980.0,
3,2e-05,8,4,0.3,128,0.7979591836734694,,,,,,
,,,,,,,L,0.8371559633027523,0.8468677494199536,0.8419838523644751,431.0,
,,,,,,,N,0.782051282051282,0.7587064676616916,0.7702020202020202,402.0,
,,,,,,,R,0.7272727272727273,0.7619047619047619,0.7441860465116279,147.0,
,,,,,,0.7979591836734694,,,,,,
,,,,,,,macro avg,0.7821599908755873,0.7891596596621356,0.7854573063593744,980.0,
,,,,,,,weighted avg,0.7980693127318291,0.7979591836734694,0.7978689809464391,980.0,
4,2e-05,8,4,0.3,128,0.7918367346938775,,,,,,
,,,,,,,L,0.827354260089686,0.8561484918793504,0.8415051311288484,431.0,
,,,,,,,N,0.783068783068783,0.736318407960199,0.7589743589743589,402.0,
,,,,,,,R,0.7115384615384616,0.7551020408163265,0.7326732673267327,147.0,
,,,,,,0.7918367346938775,,,,,,
,,,,,,,macro avg,0.7739871682323103,0.7825229802186252,0.7777175858099801,980.0,
,,,,,,,weighted avg,0.7918158068759789,0.7918367346938775,0.791325891960465,980.0,
1,2e-05,8,4,0.3,256,0.7622448979591837,,,,,,
,,,,,,,L,0.7804347826086957,0.8329466357308585,0.8058361391694725,431.0,
,,,,,,,N,0.753968253968254,0.7089552238805971,0.7307692307692307,402.0,
,,,,,,,R,0.7253521126760564,0.7006802721088435,0.71280276816609,147.0,
,,,,,,0.7622448979591837,,,,,,
,,,,,,,macro avg,0.7532517164176687,0.7475273772400998,0.7498027127015977,980.0,
,,,,,,,weighted avg,0.761315704043843,0.7622448979591837,0.7610883812976416,980.0,
2,2e-05,8,4,0.3,256,0.7836734693877551,,,,,,
,,,,,,,L,0.8337236533957846,0.8259860788863109,0.8298368298368298,431.0,
,,,,,,,N,0.7512437810945274,0.7512437810945274,0.7512437810945274,402.0,
,,,,,,,R,0.7284768211920529,0.7482993197278912,0.738255033557047,147.0,
,,,,,,0.7836734693877551,,,,,,
,,,,,,,macro avg,0.7711480852274549,0.7751763932362432,0.7731118814961347,980.0,
,,,,,,,weighted avg,0.7841030482947091,0.7836734693877551,0.7838603710128159,980.0,
3,2e-05,8,4,0.3,256,0.7887755102040817,,,,,,
,,,,,,,L,0.8078602620087336,0.8584686774941995,0.8323959505061868,431.0,
,,,,,,,N,0.7786666666666666,0.7263681592039801,0.7516087516087516,402.0,
,,,,,,,R,0.7551020408163265,0.7551020408163265,0.7551020408163265,147.0,
,,,,,,0.7887755102040817,,,,,,
,,,,,,,macro avg,0.7805429898305757,0.7799796258381688,0.7797022476437551,980.0,
,,,,,,,weighted avg,0.7879711968630246,0.7887755102040817,0.7876626253213108,980.0,
4,2e-05,8,4,0.3,256,0.789795918367347,,,,,,
,,,,,,,L,0.8131868131868132,0.8584686774941995,0.835214446952596,431.0,
,,,,,,,N,0.7828418230563002,0.7263681592039801,0.7535483870967742,402.0,
,,,,,,,R,0.7368421052631579,0.7619047619047619,0.7491638795986622,147.0,
,,,,,,0.789795918367347,,,,,,
,,,,,,,macro avg,0.7776235805020905,0.7822471995343139,0.7793089045493441,980.0,
,,,,,,,weighted avg,0.7892874681896258,0.789795918367347,0.7888071107657912,980.0,
1,2e-05,16,1,0.1,128,0.7326530612244898,,,,,,
,,,,,,,L,0.7584650112866818,0.7795823665893271,0.7688787185354691,431.0,
,,,,,,,N,0.7056179775280899,0.7810945273631841,0.7414403778040142,402.0,
,,,,,,,R,0.7391304347826086,0.46258503401360546,0.5690376569037657,147.0,
,,,,,,0.7326530612244898,,,,,,
,,,,,,,macro avg,0.73440447453246,0.6744206426553722,0.6931189177477496,980.0,
,,,,,,,weighted avg,0.7338867558611178,0.7326530612244898,0.7276472399294432,980.0,
1,2e-05,16,1,0.1,256,0.736734693877551,,,,,,
,,,,,,,L,0.76905311778291,0.7726218097447796,0.7708333333333334,431.0,
,,,,,,,N,0.6979405034324943,0.7587064676616916,0.7270560190703218,402.0,
,,,,,,,R,0.7636363636363637,0.5714285714285714,0.6536964980544747,147.0,
,,,,,,0.736734693877551,,,,,,
,,,,,,,macro avg,0.7435433282839226,0.7009189496116809,0.7171952834860433,980.0,
,,,,,,,weighted avg,0.7390699199988188,0.736734693877551,0.7353051750479017,980.0,
1,2e-05,16,1,0.3,128,0.7275510204081632,,,,,,
,,,,,,,L,0.7527839643652561,0.7842227378190255,0.7681818181818182,431.0,
,,,,,,,N,0.7083333333333334,0.7611940298507462,0.7338129496402878,402.0,
,,,,,,,R,0.696969696969697,0.46938775510204084,0.5609756097560976,147.0,
,,,,,,0.7275510204081632,,,,,,
,,,,,,,macro avg,0.7193623315560954,0.6716015075906041,0.6876567925260678,980.0,
,,,,,,,weighted avg,0.7261779939754804,0.7275510204081632,0.7230026367611282,980.0,
1,2e-05,16,1,0.3,256,0.7183673469387755,,,,,,
,,,,,,,L,0.7117296222664016,0.8306264501160093,0.7665952890792291,431.0,
,,,,,,,N,0.7231920199501247,0.7213930348258707,0.7222914072229141,402.0,
,,,,,,,R,0.7368421052631579,0.38095238095238093,0.5022421524663677,147.0,
,,,,,,0.7183673469387755,,,,,,
,,,,,,,macro avg,0.7239212491598948,0.644323955298087,0.6637096162561703,980.0,
,,,,,,,weighted avg,0.720198417031075,0.7183673469387755,0.7087686854176686,980.0,
1,2e-05,16,2,0.1,128,0.7551020408163265,,,,,,
,,,,,,,L,0.7945205479452054,0.8074245939675174,0.8009205983889528,431.0,
,,,,,,,N,0.7358024691358025,0.7412935323383084,0.7385377942998761,402.0,
,,,,,,,R,0.6861313868613139,0.6394557823129252,0.6619718309859155,147.0,
,,,,,,0.7551020408163265,,,,,,
,,,,,,,macro avg,0.7388181346474406,0.729391302872917,0.7338100745582481,980.0,
,,,,,,,weighted avg,0.7541757781893769,0.7551020408163265,0.7544886024174677,980.0,
2,2e-05,16,2,0.1,128,0.7795918367346939,,,,,,
,,,,,,,L,0.7846790890269151,0.8793503480278422,0.8293216630196937,431.0,
,,,,,,,N,0.7884615384615384,0.7139303482587065,0.7493472584856397,402.0,
,,,,,,,R,0.7368421052631579,0.6666666666666666,0.7,147.0,
,,,,,,0.7795918367346939,,,,,,
,,,,,,,macro avg,0.7699942442505372,0.7533157876510718,0.7595563071684444,980.0,
,,,,,,,weighted avg,0.7790551176590031,0.7795918367346939,0.7771175864007297,980.0,
1,2e-05,16,2,0.1,256,0.7540816326530613,,,,,,
,,,,,,,L,0.8066037735849056,0.7935034802784223,0.8,431.0,
,,,,,,,N,0.7186761229314421,0.7562189054726368,0.7369696969696969,402.0,
,,,,,,,R,0.6992481203007519,0.6326530612244898,0.6642857142857143,147.0,
,,,,,,0.7540816326530613,,,,,,
,,,,,,,macro avg,0.7415093389390331,0.727458482325183,0.7337518037518037,980.0,
,,,,,,,weighted avg,0.7544321444058618,0.7540816326530613,0.7537875695732837,980.0,
2,2e-05,16,2,0.1,256,0.773469387755102,,,,,,
