epoch,learning_rate,batch_size,num_epochs,dropout_rate,max_length,accuracy,class_name,precision,recall,f1-score,support,time
1,2e-05,8,1,0.1,128,0.8027867095391211,,,,,,
,,,,,,,L,0.5757575757575758,0.21348314606741572,0.3114754098360656,89.0,
,,,,,,,N,0.8423566878980892,0.921602787456446,0.8801996672212978,574.0,
,,,,,,,R,0.7389705882352942,0.7444444444444445,0.7416974169741697,270.0,
,,,,,,0.8027867095391211,,,,,,
,,,,,,,macro avg,0.7190282839636529,0.6265101259894353,0.644457498010511,933.0,
,,,,,,,weighted avg,0.7870066687239623,0.8027867095391211,0.7858673344517264,933.0,
1,2e-05,8,1,0.1,256,0.7952840300107181,,,,,,
,,,,,,,L,0.56,0.15730337078651685,0.24561403508771928,89.0,
,,,,,,,N,0.8472668810289389,0.9181184668989547,0.8812709030100334,574.0,
,,,,,,,R,0.7027972027972028,0.7444444444444445,0.7230215827338129,270.0,
,,,,,,0.7952840300107181,,,,,,
,,,,,,,macro avg,0.703354694608714,0.6066220940433054,0.6166355069438553,933.0,
,,,,,,,weighted avg,0.7780561998562225,0.7952840300107181,0.7748392012740575,933.0,
1,2e-05,8,1,0.3,128,0.789924973204716,,,,,,
,,,,,,,L,0.6956521739130435,0.1797752808988764,0.2857142857142857,89.0,
,,,,,,,N,0.829153605015674,0.921602787456446,0.8729372937293729,574.0,
,,,,,,,R,0.7058823529411765,0.7111111111111111,0.7084870848708487,270.0,
,,,,,,0.789924973204716,,,,,,
,,,,,,,macro avg,0.7435627106232979,0.6041630598221445,0.6223795547715024,933.0,
,,,,,,,weighted avg,0.7807453891225888,0.789924973204716,0.7693312871858098,933.0,
1,2e-05,8,1,0.3,256,0.7963558413719185,,,,,,
,,,,,,,L,0.72,0.20224719101123595,0.3157894736842105,89.0,
,,,,,,,N,0.8322784810126582,0.9163763066202091,0.8723051409618574,574.0,
,,,,,,,R,0.7210144927536232,0.737037037037037,0.7289377289377289,270.0,
,,,,,,0.7963558413719185,,,,,,
,,,,,,,macro avg,0.7577643245887605,0.6185535115561608,0.639010781194599,933.0,
,,,,,,,weighted avg,0.7893695189118372,0.7963558413719185,0.7777294757590435,933.0,
1,2e-05,8,2,0.1,128,0.7867095391211146,,,,,,
,,,,,,,L,0.5666666666666667,0.38202247191011235,0.4563758389261745,89.0,
,,,,,,,N,0.8709677419354839,0.8466898954703833,0.8586572438162544,574.0,
,,,,,,,R,0.6793650793650794,0.7925925925925926,0.7316239316239316,270.0,
,,,,,,0.7867095391211146,,,,,,
,,,,,,,macro avg,0.7056664959890767,0.6737683199910295,0.6822190047887869,933.0,
,,,,,,,weighted avg,0.7864923779559191,0.7867095391211146,0.7835210816221019,933.0,
2,2e-05,8,2,0.1,128,0.8177920685959271,,,,,,
,,,,,,,L,0.6,0.5056179775280899,0.5487804878048781,89.0,
,,,,,,,N,0.8626465661641541,0.8972125435540069,0.8795900939368061,574.0,
,,,,,,,R,0.7777777777777778,0.7518518518518519,0.7645951035781544,270.0,
,,,,,,0.8177920685959271,,,,,,
,,,,,,,macro avg,0.7468081146473106,0.7182274576446496,0.7309885617732795,933.0,
,,,,,,,weighted avg,0.8130322925811624,0.8177920685959271,0.8147554719190381,933.0,
1,2e-05,8,2,0.1,256,0.8177920685959271,,,,,,
